ID,Class,Percent,Subclass
211857482296579_1018506035492343,Person,0.88,object
211857482296579_1018506035492343,Person,0.86,object
211857482296579_1018506035492343,Person,0.83,object
211857482296579_1018506035492343,Person,0.78,object
211857482296579_1018506035492343,Person,0.76,object
211857482296579_1018506035492343,Person,0.56,object
211857482296579_1018506035492343,Motorcycle,0.54,object
211857482296579_1018506035492343,Cloud,0.97,item
211857482296579_1018506035492343,Sky,0.97,item
211857482296579_1018506035492343,Plant,0.93,item
211857482296579_1018506035492343,Vehicle,0.91,item
211857482296579_1018506035492343,Tree,0.89,item
211857482296579_1018506035492343,Asphalt,0.88,item
211857482296579_1018506035492343,Motor vehicle,0.87,item
211857482296579_1018506035492343,Thoroughfare,0.84,item
211857482296579_1018506035492343,Road surface,0.84,item
211857482296579_1018506035492343,Road,0.79,item
211857482296579_1018506035492343,Hat,1.0,face
211857482296579_1023573935005558,Person,0.89,object
211857482296579_1023573935005558,Person,0.88,object
211857482296579_1023573935005558,Person,0.87,object
211857482296579_1023573935005558,Person,0.86,object
211857482296579_1023573935005558,Chair,0.89,item
211857482296579_1023573935005558,Crowd,0.77,item
211857482296579_1023573935005558,Suit,0.76,item
211857482296579_1023573935005558,Leisure,0.76,item
211857482296579_1023573935005558,Event,0.74,item
211857482296579_1023573935005558,Fan,0.71,item
211857482296579_1023573935005558,Public event,0.66,item
211857482296579_1023573935005558,Competition event,0.66,item
211857482296579_1023573935005558,Audience,0.66,item
211857482296579_1023573935005558,Stadium,0.6,item
211857482296579_1023573935005558,Blurred,1.0,face
211857482296579_1027596431257689,Person,0.91,object
211857482296579_1027596431257689,Person,0.89,object
211857482296579_1027596431257689,Person,0.84,object
211857482296579_1027596431257689,Hat,0.84,object
211857482296579_1027596431257689,Clothing,0.83,object
211857482296579_1027596431257689,Clothing,0.8,object
211857482296579_1027596431257689,Person,0.79,object
211857482296579_1027596431257689,Clothing,0.79,object
211857482296579_1027596431257689,Sky,0.94,item
211857482296579_1027596431257689,Hat,0.9,item
211857482296579_1027596431257689,Yellow,0.84,item
211857482296579_1027596431257689,Tree,0.84,item
211857482296579_1027596431257689,Crowd,0.82,item
211857482296579_1027596431257689,T-shirt,0.82,item
211857482296579_1027596431257689,Fan,0.8,item
211857482296579_1027596431257689,Leisure,0.76,item
211857482296579_1027596431257689,Fun,0.75,item
211857482296579_1027596431257689,Event,0.74,item
211857482296579_1027596431257689,Hat,1.0,face
211857482296579_1027596431257689,Joy,1.0,face
211857482296579_1029535261260524,Person,0.91,object
211857482296579_1029535261260524,Person,0.87,object
211857482296579_1029535261260524,Helmet,0.85,object
211857482296579_1029535261260524,Motorcycle,0.82,object
211857482296579_1029535261260524,Person,0.81,object
211857482296579_1029535261260524,Person,0.79,object
211857482296579_1029535261260524,Motorcycle,0.78,object
211857482296579_1029535261260524,Person,0.66,object
211857482296579_1029535261260524,Motorcycle,0.65,object
211857482296579_1029535261260524,Cloud,0.97,item
211857482296579_1029535261260524,Tire,0.97,item
211857482296579_1029535261260524,Wheel,0.96,item
211857482296579_1029535261260524,Sky,0.96,item
211857482296579_1029535261260524,Land vehicle,0.96,item
211857482296579_1029535261260524,Vehicle,0.93,item
211857482296579_1029535261260524,Helmet,0.92,item
211857482296579_1029535261260524,Motorcycle helmet,0.92,item
211857482296579_1029535261260524,Automotive tire,0.91,item
211857482296579_1029535261260524,Motor vehicle,0.9,item
211857482296579_1029535261260524,Hat,1.0,face
211857482296579_1029535261260524,Apica_QMK_7133_PRE_1300,1.0,text
211857482296579_1039426320070464,Person,0.87,object
211857482296579_1039426320070464,Person,0.86,object
211857482296579_1039426320070464,Person,0.82,object
211857482296579_1039426320070464,Person,0.81,object
211857482296579_1039426320070464,Person,0.8,object
211857482296579_1039426320070464,Person,0.79,object
211857482296579_1039426320070464,Top,0.78,object
211857482296579_1039426320070464,Person,0.78,object
211857482296579_1039426320070464,Clothing,0.78,object
211857482296579_1039426320070464,Entertainment,0.8,item
211857482296579_1039426320070464,Music,0.8,item
211857482296579_1039426320070464,Crowd,0.79,item
211857482296579_1039426320070464,Suit,0.78,item
211857482296579_1039426320070464,Event,0.75,item
211857482296579_1039426320070464,Performing arts,0.71,item
211857482296579_1039426320070464,T-shirt,0.7,item
211857482296579_1039426320070464,Audience,0.66,item
211857482296579_1039426320070464,Leisure,0.64,item
211857482296579_1039426320070464,Fan,0.64,item
211857482296579_1039426320070464,Blurred,1.0,face
211857482296579_1045438286342846,Person,0.9,object
211857482296579_1045438286342846,Wheel,0.9,object
211857482296579_1045438286342846,Helmet,0.89,object
211857482296579_1045438286342846,Person,0.87,object
211857482296579_1045438286342846,Motorcycle,0.86,object
211857482296579_1045438286342846,Person,0.86,object
211857482296579_1045438286342846,Motorcycle,0.84,object
211857482296579_1045438286342846,Clothing,0.73,object
211857482296579_1045438286342846,Helmet,0.7,object
211857482296579_1045438286342846,Tire,0.97,item
211857482296579_1045438286342846,Wheel,0.96,item
211857482296579_1045438286342846,Motor vehicle,0.93,item
211857482296579_1045438286342846,Automotive lighting,0.93,item
211857482296579_1045438286342846,Vehicle,0.92,item
211857482296579_1045438286342846,Automotive tire,0.88,item
211857482296579_1045438286342846,Headlamp,0.81,item
211857482296579_1045438286342846,Public space,0.81,item
211857482296579_1045438286342846,Fender,0.81,item
211857482296579_1045438286342846,Automotive design,0.8,item
211857482296579_1045438286342846,Exposed,1.0,face
211857482296579_1045438286342846,Hat,1.0,face
211857482296579_1045438286342846,1/22_lava,1.0,text
211857482296579_1049153849066105,Person,0.88,object
211857482296579_1049153849066105,Person,0.84,object
211857482296579_1049153849066105,Pants,0.81,object
211857482296579_1049153849066105,Person,0.79,object
211857482296579_1049153849066105,Person,0.7,object
211857482296579_1049153849066105,Clothing,0.66,object
211857482296579_1049153849066105,Clothing,0.57,object
211857482296579_1049153849066105,Person,0.56,object
211857482296579_1049153849066105,Person,0.53,object
211857482296579_1049153849066105,Top,0.51,object
211857482296579_1049153849066105,Music,0.84,item
211857482296579_1049153849066105,Entertainment,0.82,item
211857482296579_1049153849066105,Musician,0.8,item
211857482296579_1049153849066105,Performing arts,0.8,item
211857482296579_1049153849066105,Crowd,0.8,item
211857482296579_1049153849066105,Music artist,0.78,item
