ID,Class,Percent,Subclass
267949976607343_1022288148465402,Glasses,0.91,object
267949976607343_1022288148465402,Microphone,0.76,object
267949976607343_1022288148465402,Person,0.73,object
267949976607343_1022288148465402,Person,0.72,object
267949976607343_1022288148465402,Packaged goods,0.65,object
267949976607343_1022288148465402,Clothing,0.56,object
267949976607343_1022288148465402,Person,0.51,object
267949976607343_1022288148465402,Forehead,0.98,item
267949976607343_1022288148465402,Hair,0.98,item
267949976607343_1022288148465402,Nose,0.98,item
267949976607343_1022288148465402,Microphone,0.98,item
267949976607343_1022288148465402,Cheek,0.98,item
267949976607343_1022288148465402,Skin,0.97,item
267949976607343_1022288148465402,Head,0.97,item
267949976607343_1022288148465402,Chin,0.97,item
267949976607343_1022288148465402,Eye,0.94,item
267949976607343_1022288148465402,Public address system,0.93,item
267949976607343_1022288148465402,Joy,1.0,face
267949976607343_1022288148465402,PRESIDENTE_ALCKMIN VICE_13,1.0,text
267949976607343_1063592294546464,Person,0.87,object
267949976607343_1063592294546464,Person,0.86,object
267949976607343_1063592294546464,Person,0.85,object
267949976607343_1063592294546464,Person,0.84,object
267949976607343_1063592294546464,Person,0.83,object
267949976607343_1063592294546464,Clothing,0.8,object
267949976607343_1063592294546464,Shirt,0.94,item
267949976607343_1063592294546464,Red,0.81,item
267949976607343_1063592294546464,Crowd,0.8,item
267949976607343_1063592294546464,T-shirt,0.8,item
267949976607343_1063592294546464,Leisure,0.76,item
267949976607343_1063592294546464,Hat,0.75,item
267949976607343_1063592294546464,Event,0.74,item
267949976607343_1063592294546464,Fan,0.72,item
267949976607343_1063592294546464,Team,0.7,item
267949976607343_1063592294546464,Audience,0.69,item
267949976607343_1063592294546464,Blurred,1.0,face
267949976607343_1063592294546464,Hat,1.0,face
267949976607343_1063592294546464,Exposed,1.0,face
267949976607343_1063592294546464,ivan valente_VAMOS JUNTO_PELO BRASIL,1.0,text
267949976607343_1096391607730578,Person,0.92,object
267949976607343_1096391607730578,Person,0.86,object
267949976607343_1096391607730578,Person,0.85,object
267949976607343_1096391607730578,Person,0.81,object
267949976607343_1096391607730578,Dress,0.69,object
267949976607343_1096391607730578,Outerwear,0.65,object
267949976607343_1096391607730578,Clothing,0.6,object
267949976607343_1096391607730578,Clothing,0.59,object
267949976607343_1096391607730578,Photograph,0.94,item
267949976607343_1096391607730578,Product,0.91,item
267949976607343_1096391607730578,Human,0.89,item
267949976607343_1096391607730578,Community,0.81,item
267949976607343_1096391607730578,Font,0.78,item
267949976607343_1096391607730578,Suit,0.77,item
267949976607343_1096391607730578,Technology,0.77,item
267949976607343_1096391607730578,Television presenter,0.75,item
267949976607343_1096391607730578,Snapshot,0.74,item
267949976607343_1096391607730578,Microphone,0.74,item
267949976607343_1096391607730578,Joy,1.0,face
267949976607343_1096391607730578,Hat,1.0,face
267949976607343_1096391607730578,"PRESIDENTE_ALCKMIN VICE_13_GRAS_KU_A_abras_nova,_manha_AU",1.0,text
267949976607343_1118232028852532,Person,0.84,object
267949976607343_1118232028852532,Person,0.83,object
267949976607343_1118232028852532,Outerwear,0.81,object
267949976607343_1118232028852532,Person,0.81,object
267949976607343_1118232028852532,Person,0.8,object
267949976607343_1118232028852532,Top,0.72,object
267949976607343_1118232028852532,Person,0.72,object
267949976607343_1118232028852532,Outerwear,0.65,object
267949976607343_1118232028852532,Clothing,0.59,object
267949976607343_1118232028852532,Outerwear,0.95,item
267949976607343_1118232028852532,Coat,0.9,item
267949976607343_1118232028852532,Font,0.83,item
267949976607343_1118232028852532,Laptop,0.79,item
267949976607343_1118232028852532,News,0.77,item
267949976607343_1118232028852532,Shelf,0.76,item
267949976607343_1118232028852532,Event,0.73,item
267949976607343_1118232028852532,Advertising,0.72,item
267949976607343_1118232028852532,Suit,0.71,item
267949976607343_1118232028852532,Job,0.7,item
267949976607343_1118232028852532,Sad,1.0,face
267949976607343_1118232028852532,MIX 18 horas_100.7 FM_MANAUS_LUIZ INÁCIO LULA DA SILVA_CANDIDATO A PRESIDÊNCIA DA REPÚBLICA_18h_18here_18 horas,1.0,text
267949976607343_1120654965534751,Person,0.89,object
267949976607343_1120654965534751,Person,0.85,object
267949976607343_1120654965534751,Luggage & bags,0.84,object
267949976607343_1120654965534751,Person,0.84,object
267949976607343_1120654965534751,Person,0.83,object
267949976607343_1120654965534751,Person,0.82,object
267949976607343_1120654965534751,Person,0.77,object
267949976607343_1120654965534751,Plant,0.94,item
267949976607343_1120654965534751,Purple,0.89,item
267949976607343_1120654965534751,Entertainment,0.85,item
267949976607343_1120654965534751,Tie,0.85,item
267949976607343_1120654965534751,Hat,0.8,item
267949976607343_1120654965534751,Fun,0.79,item
267949976607343_1120654965534751,Crowd,0.78,item
267949976607343_1120654965534751,Leisure,0.75,item
267949976607343_1120654965534751,Event,0.75,item
267949976607343_1120654965534751,Performing arts,0.74,item
267949976607343_1120654965534751,Joy,1.0,face
267949976607343_1120654965534751,Exposed,1.0,face
267949976607343_1120654965534751,PRESIDENTE_ALCKMIN VICE_13,1.0,text
267949976607343_1138428193765728,Person,0.86,object
267949976607343_1138428193765728,Person,0.85,object
267949976607343_1138428193765728,Person,0.83,object
267949976607343_1138428193765728,Person,0.82,object
267949976607343_1138428193765728,Person,0.81,object
267949976607343_1138428193765728,Person,0.8,object
267949976607343_1138428193765728,Person,0.79,object
267949976607343_1138428193765728,Shirt,0.94,item
267949976607343_1138428193765728,Hat,0.86,item
267949976607343_1138428193765728,T-shirt,0.82,item
267949976607343_1138428193765728,Motor vehicle,0.8,item
267949976607343_1138428193765728,Crowd,0.8,item
267949976607343_1138428193765728,Fan,0.76,item
267949976607343_1138428193765728,Event,0.74,item
267949976607343_1138428193765728,Umbrella,0.68,item
267949976607343_1138428193765728,Entertainment,0.67,item
267949976607343_1138428193765728,Audience,0.64,item
267949976607343_1138428193765728,Blurred,1.0,face
267949976607343_1138428193765728,Exposed,1.0,face
267949976607343_1138428193765728,LULA 13_PRESIDENTE_ALCKMIN VICE,1.0,text
267949976607343_1144202029843229,Person,0.88,object
267949976607343_1144202029843229,Person,0.85,object
267949976607343_1144202029843229,Person,0.82,object
267949976607343_1144202029843229,Clothing,0.8,object
