ID,Class,Percent,Subclass
17843455442832730,Person,0.88,object
17843455442832730,Microphone,0.82,object
17843455442832730,Clothing,0.66,object
17843455442832730,Microphone,0.93,item
17843455442832730,Product,0.91,item
17843455442832730,Red,0.8,item
17843455442832730,Font,0.8,item
17843455442832730,Adaptation,0.79,item
17843455442832730,News,0.78,item
17843455442832730,Event,0.75,item
17843455442832730,Spokesperson,0.73,item
17843455442832730,Advertising,0.72,item
17843455442832730,Photo caption,0.7,item
17843455442832730,LULA 13_PRESIDENTE_ALCKMIN VICE_NOSSOS_CORAÇÕES_E NOSSAS VOZES_FARÃO O BRASIL_TRANSBORDAR_AMOR,1.0,text
17844615032861392,Person,0.86,object
17844615032861392,Person,0.74,object
17844615032861392,Person,0.7,object
17844615032861392,Microphone,0.98,item
17844615032861392,Facial expression,0.93,item
17844615032861392,Entertainment,0.85,item
17844615032861392,Music artist,0.85,item
17844615032861392,Font,0.82,item
17844615032861392,Music,0.81,item
17844615032861392,Lipstick,0.81,item
17844615032861392,Poster,0.78,item
17844615032861392,News,0.77,item
17844615032861392,Movie,0.75,item
17844615032861392,LULA 13_PRESIDENTE_ALCKMIN VICE_LULA VOCÊ_PERMITIU QUE_OS FILHOS_DOS CRENTES_PUDESSEM_SONHAR,1.0,text
17845604192839325,Person,0.89,object
17845604192839325,Person,0.85,object
17845604192839325,Necklace,0.83,object
17845604192839325,Lamp,0.83,object
17845604192839325,Clothing,0.72,object
17845604192839325,Picture frame,0.92,item
17845604192839325,Greeting,0.9,item
17845604192839325,Coat,0.88,item
17845604192839325,Lighting,0.87,item
17845604192839325,Smile,0.87,item
17845604192839325,Chair,0.86,item
17845604192839325,Gesture,0.85,item
17845604192839325,Plant,0.85,item
17845604192839325,Yellow,0.85,item
17845604192839325,Interior design,0.84,item
17845604192839325,Joy,1.0,face
17845604192839325,66.99,1.0,text
17847836144821482,Person,0.89,object
17847836144821482,Person,0.88,object
17847836144821482,Person,0.87,object
17847836144821482,Person,0.86,object
17847836144821482,Person,0.84,object
17847836144821482,Person,0.83,object
17847836144821482,Person,0.8,object
17847836144821482,Person,0.76,object
17847836144821482,Person,0.7,object
17847836144821482,Clothing,0.68,object
17847836144821482,Green,0.91,item
17847836144821482,Product,0.91,item
17847836144821482,Entertainment,0.86,item
17847836144821482,Social group,0.83,item
17847836144821482,Performing arts,0.82,item
17847836144821482,Fan,0.81,item
17847836144821482,Crowd,0.79,item
17847836144821482,Leisure,0.79,item
17847836144821482,Suit,0.79,item
17847836144821482,Technology,0.76,item
17847836144821482,VAAA_AAAAAAAAAAA_ORDEM E PROOR_1,1.0,text
17847963803795429,Person,0.87,object
17847963803795429,Clothing,0.73,object
17847963803795429,Shirt,0.55,object
17847963803795429,Product,0.91,item
17847963803795429,Human,0.9,item
17847963803795429,Happy,0.85,item
17847963803795429,Beard,0.85,item
17847963803795429,Poster,0.79,item
17847963803795429,People,0.78,item
17847963803795429,Font,0.77,item
17847963803795429,Publication,0.74,item
17847963803795429,Photo caption,0.72,item
17847963803795429,Event,0.72,item
17847963803795429,Joy,1.0,face
17847963803795429,30_VAMOS REDUZIR_JUROS E RESOLVER_A VIDA DOS_ENDIVIDADOS,1.0,text
17848308242845188,Top,0.93,object
17848308242845188,Person,0.93,object
17848308242845188,Pants,0.69,object
17848308242845188,Vision care,0.92,item
17848308242845188,Eyewear,0.88,item
17848308242845188,Goggles,0.88,item
17848308242845188,Sleeve,0.87,item
17848308242845188,Sunglasses,0.87,item
17848308242845188,Gesture,0.85,item
17848308242845188,Wood,0.79,item
17848308242845188,Waist,0.78,item
17848308242845188,Thumb,0.76,item
17848308242845188,Trunk,0.75,item
17848308242845188,Joy,1.0,face
17849573453845495,Person,0.87,object
17849573453845495,Person,0.86,object
17849573453845495,Person,0.79,object
17849573453845495,Outerwear,0.72,object
17849573453845495,Shirt,0.72,object
17849573453845495,Outerwear,0.62,object
17849573453845495,Coat,0.55,object
17849573453845495,Smile,0.97,item
17849573453845495,Dress shirt,0.88,item
17849573453845495,Sleeve,0.87,item
17849573453845495,Gesture,0.85,item
17849573453845495,Collar,0.84,item
17849573453845495,Suit,0.82,item
17849573453845495,Window,0.79,item
17849573453845495,Blazer,0.78,item
17849573453845495,Formal wear,0.77,item
17849573453845495,Event,0.74,item
17849573453845495,Joy,1.0,face
17849724335843435,Person,0.73,object
17849724335843435,Smile,0.94,item
17849724335843435,Green,0.92,item
17849724335843435,Happy,0.86,item
17849724335843435,Gesture,0.85,item
17849724335843435,Grass,0.84,item
17849724335843435,Font,0.81,item
17849724335843435,Leisure,0.78,item
17849724335843435,Tree,0.72,item
17849724335843435,Fan,0.72,item
17849724335843435,Event,0.71,item
17849724335843435,Joy,1.0,face
17849724335843435,ARTE SACRO_AMANHA,1.0,text
17851552055843745,Person,0.89,object
17851552055843745,Person,0.86,object
17851552055843745,Person,0.85,object
17851552055843745,Person,0.84,object
17851552055843745,Person,0.82,object
17851552055843745,World,0.83,item
17851552055843745,Flag,0.83,item
17851552055843745,Fan,0.82,item
17851552055843745,Red,0.81,item
17851552055843745,Crowd,0.8,item
