ID,Class,Percent,Subclass
7150280209315417349,Person,0.84,object
7150280209315417349,Clothing,0.78,object
7150280209315417349,Forehead,0.98,item
7150280209315417349,Nose,0.98,item
7150280209315417349,Cheek,0.98,item
7150280209315417349,Chin,0.97,item
7150280209315417349,Jaw,0.88,item
7150280209315417349,Microphone,0.86,item
7150280209315417349,Hat,0.83,item
7150280209315417349,Public address system,0.8,item
7150280209315417349,T-shirt,0.76,item
7150280209315417349,Eyelash,0.68,item
7150280209315417349,"NÓS VENCEMOS A MENTIRA_NO DIA DE HOJE,",1.0,text
7150687987012013317,Tie,0.96,object
7150687987012013317,Person,0.88,object
7150687987012013317,Microphone,0.94,item
7150687987012013317,Tie,0.88,item
7150687987012013317,World,0.88,item
7150687987012013317,Spokesperson,0.83,item
7150687987012013317,Suit,0.82,item
7150687987012013317,Motor vehicle,0.82,item
7150687987012013317,Blazer,0.78,item
7150687987012013317,Font,0.78,item
7150687987012013317,Formal wear,0.77,item
7150687987012013317,White-collar worker,0.76,item
7150687987012013317,Hat,1.0,face
7150687987012013317,MENOR N° DE_HOMICÍDIOS_EM10 ANOS,1.0,text
7151055678486990085,Hat,0.87,object
7151055678486990085,Person,0.84,object
7151055678486990085,Hat,0.79,object
7151055678486990085,Person,0.71,object
7151055678486990085,Person,0.57,object
7151055678486990085,Toy,0.56,object
7151055678486990085,Person,0.56,object
7151055678486990085,Glasses,0.5,object
7151055678486990085,Smile,0.89,item
7151055678486990085,Gesture,0.85,item
7151055678486990085,Finger,0.83,item
7151055678486990085,Happy,0.78,item
7151055678486990085,Thumb,0.71,item
7151055678486990085,Event,0.67,item
7151055678486990085,Fun,0.67,item
7151055678486990085,Wrinkle,0.59,item
7151055678486990085,Recreation,0.5,item
7151055678486990085,Joy,1.0,face
7151055678486990085,PRENOS,1.0,text
7151517516244864262,Person,0.83,object
7151517516244864262,Forehead,0.98,item
7151517516244864262,Chin,0.97,item
7151517516244864262,Arm,0.94,item
7151517516244864262,Sleeve,0.87,item
7151517516244864262,Font,0.8,item
7151517516244864262,Event,0.72,item
7151517516244864262,Eyelash,0.67,item
7151517516244864262,Wrist,0.67,item
7151517516244864262,Eyewear,0.66,item
7151517516244864262,Audio equipment,0.65,item
7151517516244864262,ਇਹ_ASIL_CARTA A NAÇÃO_Sempre vai haver alguém de_quem você não gosta,1.0,text
7151583849414266117,Hat,0.93,object
7151583849414266117,Person,0.9,object
7151583849414266117,Cricket cap,0.93,item
7151583849414266117,Beard,0.92,item
7151583849414266117,Cap,0.91,item
7151583849414266117,Sleeve,0.87,item
7151583849414266117,Baseball cap,0.83,item
7151583849414266117,Eyewear,0.82,item
7151583849414266117,Facial hair,0.8,item
7151583849414266117,Moustache,0.77,item
7151583849414266117,T-shirt,0.76,item
7151583849414266117,Audio equipment,0.74,item
7151583849414266117,Hat,1.0,face
7151583849414266117,TUCKER CARLSON-TONIGHT-_AIRS TONIGHT 8PM ET,1.0,text
7151733451157261573,Person,0.72,object
7151733451157261573,Glasses,0.71,object
7151733451157261573,Top,0.62,object
7151733451157261573,Person,0.59,object
7151733451157261573,Person,0.52,object
7151733451157261573,Glasses,0.98,item
7151733451157261573,Skin,0.97,item
7151733451157261573,Hand,0.96,item
7151733451157261573,Arm,0.95,item
7151733451157261573,Facial expression,0.93,item
7151733451157261573,Eyelash,0.9,item
7151733451157261573,Comfort,0.89,item
7151733451157261573,Ear,0.89,item
7151733451157261573,Happy,0.86,item
7151733451157261573,Vision care,0.86,item
7151733451157261573,Pro_BOLSONARO_CX,1.0,text
7151888457101675782,Person,0.93,object
7151888457101675782,Person,0.92,object
7151888457101675782,Person,0.91,object
7151888457101675782,Jersey,0.89,item
7151888457101675782,Shorts,0.83,item
7151888457101675782,Sportswear,0.8,item
7151888457101675782,Player,0.79,item
7151888457101675782,Fun,0.79,item
7151888457101675782,T-shirt,0.77,item
7151888457101675782,Font,0.77,item
7151888457101675782,Ball,0.76,item
7151888457101675782,Event,0.75,item
7151888457101675782,Team,0.75,item
7151888457101675782,Blurred,1.0,face
7151888457101675782,Exposed,1.0,face
7151888457101675782,Joy,1.0,face
7151888457101675782,Cins_PATRIA,1.0,text
7151895134433512709,Person,0.91,object
7151895134433512709,Person,0.82,object
7151895134433512709,Table top,0.72,object
7151895134433512709,Glasses,0.66,object
7151895134433512709,Clothing,0.6,object
7151895134433512709,World,0.92,item
7151895134433512709,Blue,0.9,item
7151895134433512709,Table,0.89,item
7151895134433512709,Community,0.81,item
7151895134433512709,Chair,0.8,item
7151895134433512709,Adaptation,0.79,item
7151895134433512709,People,0.79,item
7151895134433512709,Event,0.74,item
7151895134433512709,Flag,0.73,item
7151895134433512709,Recreation,0.72,item
7151895134433512709,Code_PROGRESSO_Brasil tem_homicídios_anuário_Dados do 16 anuário do_Publica mostram que par_mortes por dia ao longo de,1.0,text
7152116839567363334,Person,0.83,object
7152116839567363334,Person,0.74,object
7152116839567363334,Forehead,0.98,item
7152116839567363334,Smile,0.91,item
7152116839567363334,Sleeve,0.87,item
7152116839567363334,Font,0.81,item
7152116839567363334,T-shirt,0.75,item
