ID,Class,Percent,Subclass
7115033431473474822,Clothing,0.63,object
7115033431473474822,Forehead,0.98,item
7115033431473474822,Nose,0.98,item
7115033431473474822,Chin,0.97,item
7115033431473474822,Mouth,0.92,item
7115033431473474822,Beard,0.91,item
7115033431473474822,Jaw,0.88,item
7115033431473474822,Dress shirt,0.87,item
7115033431473474822,Gesture,0.85,item
7115033431473474822,Ear,0.82,item
7115033431473474822,Facial hair,0.82,item
7115033431473474822,O futuro do país!,1.0,text
7115174031162215686,Person,0.78,object
7115174031162215686,Clothing,0.69,object
7115174031162215686,Smile,0.94,item
7115174031162215686,Facial expression,0.93,item
7115174031162215686,Product,0.91,item
7115174031162215686,Organ,0.9,item
7115174031162215686,Natural environment,0.89,item
7115174031162215686,Happy,0.84,item
7115174031162215686,Community,0.81,item
7115174031162215686,Font,0.81,item
7115174031162215686,Adaptation,0.79,item
7115174031162215686,Poster,0.77,item
7115174031162215686,Joy,1.0,face
7115174031162215686,VAMOS DAR OPORTUNIDADES A QUEM NUNCA TEVE,1.0,text
7115357413712153861,Person,0.78,object
7115357413712153861,Sunglasses,0.67,object
7115357413712153861,Glasses,0.98,item
7115357413712153861,Head,0.97,item
7115357413712153861,Vision care,0.94,item
7115357413712153861,Goggles,0.93,item
7115357413712153861,Sunglasses,0.93,item
7115357413712153861,Beard,0.89,item
7115357413712153861,Eyewear,0.88,item
7115357413712153861,Cool,0.82,item
7115357413712153861,Entertainment,0.8,item
7115357413712153861,Magenta,0.77,item
7115357413712153861,Joy,1.0,face
7115357413712153861,HULA * Chama,1.0,text
7115560675824422149,Person,0.93,object
7115560675824422149,Person,0.91,object
7115560675824422149,Person,0.68,object
7115560675824422149,Smile,0.89,item
7115560675824422149,Poster,0.87,item
7115560675824422149,Gesture,0.85,item
7115560675824422149,Font,0.82,item
7115560675824422149,Publication,0.79,item
7115560675824422149,Happy,0.76,item
7115560675824422149,Event,0.73,item
7115560675824422149,Advertising,0.72,item
7115560675824422149,Photo caption,0.72,item
7115560675824422149,Suit,0.7,item
7115560675824422149,Joy,1.0,face
7115560675824422149,GRANDE ATO DO DOIS DE JULHO MU AS VAMOS JUNTOS PELO BRASIL SÁBADO 10H30 ARENA FONTE NOVA Vem com a gente SALVADOR-BA na live aqui no tiktok!● ●,1.0,text
7115793869152734470,Sunglasses,0.91,object
7115793869152734470,Person,0.82,object
7115793869152734470,Hat,0.78,object
7115793869152734470,Top,0.63,object
7115793869152734470,Person,0.61,object
7115793869152734470,Person,0.6,object
7115793869152734470,Hat,0.6,object
7115793869152734470,Clothing,0.52,object
7115793869152734470,Person,0.51,object
7115793869152734470,Vision care,0.9,item
7115793869152734470,Green,0.9,item
7115793869152734470,Human,0.89,item
7115793869152734470,Eyewear,0.88,item
7115793869152734470,Goggles,0.88,item
7115793869152734470,Sunglasses,0.86,item
7115793869152734470,Gesture,0.85,item
7115793869152734470,Pink,0.83,item
7115793869152734470,Crowd,0.83,item
7115793869152734470,Community,0.82,item
7115793869152734470,Exposed,1.0,face
7115793869152734470,Blurred,1.0,face
7115793869152734470,Joy,1.0,face
7115793869152734470,Hat,1.0,face
7115793869152734470,INDEPENDÊNCIA DA BAHIA,1.0,text
7115851955330632965,Person,0.51,object
7115851955330632965,World,0.92,item
7115851955330632965,Fan,0.87,item
7115851955330632965,Social group,0.82,item
7115851955330632965,Community,0.81,item
7115851955330632965,Crowd,0.8,item
7115851955330632965,Event,0.75,item
7115851955330632965,Plant,0.74,item
7115851955330632965,Urban design,0.74,item
7115851955330632965,Font,0.72,item
7115851955330632965,Competition event,0.71,item
7115851955330632965,02 de Julho_Viva a Bahia+_Inshor,1.0,text
7115921826542292229,Person,0.83,object
7115921826542292229,Person,0.82,object
7115921826542292229,Clothing,0.61,object
7115921826542292229,Hat,0.6,object
7115921826542292229,Clothing,0.57,object
7115921826542292229,Person,0.57,object
7115921826542292229,Product,0.91,item
7115921826542292229,Happy,0.87,item
7115921826542292229,Gesture,0.85,item
7115921826542292229,Fence,0.84,item
7115921826542292229,Smile,0.84,item
7115921826542292229,Fun,0.81,item
7115921826542292229,Adaptation,0.79,item
7115921826542292229,Leisure,0.79,item
7115921826542292229,Youth,0.75,item
7115921826542292229,Event,0.74,item
7115921826542292229,Hat,1.0,face
7115921826542292229,Joy,1.0,face
7115921826542292229,Obrigado Bahia,1.0,text
7116192377101946118,Top,0.92,object
7116192377101946118,Top,0.87,object
7116192377101946118,Top,0.86,object
7116192377101946118,Person,0.86,object
7116192377101946118,Top,0.81,object
7116192377101946118,Person,0.78,object
7116192377101946118,Clothing,0.72,object
7116192377101946118,Glasses,0.65,object
7116192377101946118,Clothing,0.64,object
7116192377101946118,Person,0.6,object
7116192377101946118,Smile,0.98,item
7116192377101946118,Facial expression,0.93,item
7116192377101946118,Product,0.91,item
7116192377101946118,Organ,0.9,item
7116192377101946118,Happy,0.86,item
7116192377101946118,Gesture,0.85,item
7116192377101946118,Crowd,0.84,item
7116192377101946118,T-shirt,0.84,item
7116192377101946118,Interaction,0.83,item
7116192377101946118,Social group,0.83,item
7116192377101946118,Hat,1.0,face
7116192377101946118,Joy,1.0,face
7116192377101946118,2M_LUGAR DE MULHER_E ONDE_ELA QUISER,1.0,text
7117039482418892038,Person,0.85,object
7117039482418892038,Microphone,0.83,object
7117039482418892038,Person,0.73,object
7117039482418892038,Outerwear,0.68,object
7117039482418892038,Microphone,0.97,item
7117039482418892038,Coat,0.9,item
7117039482418892038,Tie,0.86,item
7117039482418892038,Suit,0.82,item
7117039482418892038,Font,0.81,item
7117039482418892038,Blazer,0.77,item
7117039482418892038,Publication,0.77,item
7117039482418892038,Poster,0.76,item
7117039482418892038,Spokesperson,0.75,item
7117039482418892038,Entertainment,0.75,item
7117039482418892038,ULALU_LA_CA_O POVO DEVE PARTICIPAR_ATIVAMENTE DA GOVERNANÇA,1.0,text
7117411123879496966,Person,0.91,object
7117411123879496966,Tie,0.89,object
7117411123879496966,Person,0.88,object
7117411123879496966,Scarf,0.86,object
7117411123879496966,Coat,0.77,object
7117411123879496966,Coat,0.7,object
7117411123879496966,Suit,0.53,object
7117411123879496966,Person,0.52,object
7117411123879496966,Smile,0.96,item
7117411123879496966,Happy,0.87,item
7117411123879496966,Gesture,0.85,item
7117411123879496966,Tie,0.83,item
7117411123879496966,Bow tie,0.81,item
7117411123879496966,Formal wear,0.77,item
7117411123879496966,Suit,0.76,item
7117411123879496966,Friendship,0.74,item
7117411123879496966,Event,0.73,item
7117411123879496966,White-collar worker,0.73,item
7117411123879496966,Joy,1.0,face
7117411123879496966,LULA É DO POVO_COM ANICE LAWSON,1.0,text
7118042601000881413,Person,0.89,object
7118042601000881413,Clothing,0.68,object
7118042601000881413,Forehead,0.98,item
7118042601000881413,Smile,0.97,item
7118042601000881413,Chin,0.97,item
7118042601000881413,Beard,0.9,item
7118042601000881413,Happy,0.81,item
7118042601000881413,Facial hair,0.79,item
7118042601000881413,Collar,0.79,item
7118042601000881413,Moustache,0.76,item
7118042601000881413,Wrinkle,0.76,item
7118042601000881413,Event,0.71,item
7118042601000881413,Joy,1.0,face
7118042601000881413,Clareza_a,1.0,text
7118447789050252549,Person,0.86,object
7118447789050252549,Flag,0.8,object
7118447789050252549,Person,0.64,object
