,ID,Autor,Data,Texto,Link,Rede,Tipo,Curtidas,Comentários,Compart.,Hora,Curtidas Normalizadas,Class
3517,267949976607343_654829902670696,Lula,2022-08-21,"Conto com vocês para vencermos as eleições e construirmos um país fraterno de combate ao ódio e às fake news. #BrasilDaEsperança 

??: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/654829902670696,facebook,video,10000,2868,1771,16:00:53,0.0401124,Event
3518,267949976607343_654829902670696,Lula,2022-08-21,"Conto com vocês para vencermos as eleições e construirmos um país fraterno de combate ao ódio e às fake news. #BrasilDaEsperança 

??: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/654829902670696,facebook,video,10000,2868,1771,16:00:53,0.0401124,Spokesperson
3519,267949976607343_654829902670696,Lula,2022-08-21,"Conto com vocês para vencermos as eleições e construirmos um país fraterno de combate ao ódio e às fake news. #BrasilDaEsperança 

??: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/654829902670696,facebook,video,10000,2868,1771,16:00:53,0.0401124,News
3520,267949976607343_654829902670696,Lula,2022-08-21,"Conto com vocês para vencermos as eleições e construirmos um país fraterno de combate ao ódio e às fake news. #BrasilDaEsperança 

??: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/654829902670696,facebook,video,10000,2868,1771,16:00:53,0.0401124,Font
3521,267949976607343_654829902670696,Lula,2022-08-21,"Conto com vocês para vencermos as eleições e construirmos um país fraterno de combate ao ódio e às fake news. #BrasilDaEsperança 

??: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/654829902670696,facebook,video,10000,2868,1771,16:00:53,0.0401124,Adaptation
3522,267949976607343_654829902670696,Lula,2022-08-21,"Conto com vocês para vencermos as eleições e construirmos um país fraterno de combate ao ódio e às fake news. #BrasilDaEsperança 

??: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/654829902670696,facebook,video,10000,2868,1771,16:00:53,0.0401124,Red
3523,267949976607343_654829902670696,Lula,2022-08-21,"Conto com vocês para vencermos as eleições e construirmos um país fraterno de combate ao ódio e às fake news. #BrasilDaEsperança 

??: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/654829902670696,facebook,video,10000,2868,1771,16:00:53,0.0401124,Product
3648,267949976607343_657251455761874,Lula,2022-08-23,"Ao Brasil não interessa crescer se os seus vizinhos ficarem pobres. Nós temos que crescer juntos.

Video: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/657251455761874,facebook,video,10000,2735,2323,17:32:53,0.0401124,Blazer
3649,267949976607343_657251455761874,Lula,2022-08-23,"Ao Brasil não interessa crescer se os seus vizinhos ficarem pobres. Nós temos que crescer juntos.

Video: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/657251455761874,facebook,video,10000,2735,2323,17:32:53,0.0401124,Audio equipment
3650,267949976607343_657251455761874,Lula,2022-08-23,"Ao Brasil não interessa crescer se os seus vizinhos ficarem pobres. Nós temos que crescer juntos.

Video: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/657251455761874,facebook,video,10000,2735,2323,17:32:53,0.0401124,Podium
3651,267949976607343_657251455761874,Lula,2022-08-23,"Ao Brasil não interessa crescer se os seus vizinhos ficarem pobres. Nós temos que crescer juntos.

Video: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/657251455761874,facebook,video,10000,2735,2323,17:32:53,0.0401124,Spokesperson
3652,267949976607343_657251455761874,Lula,2022-08-23,"Ao Brasil não interessa crescer se os seus vizinhos ficarem pobres. Nós temos que crescer juntos.

Video: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/657251455761874,facebook,video,10000,2735,2323,17:32:53,0.0401124,Tie
3653,267949976607343_657251455761874,Lula,2022-08-23,"Ao Brasil não interessa crescer se os seus vizinhos ficarem pobres. Nós temos que crescer juntos.

Video: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/657251455761874,facebook,video,10000,2735,2323,17:32:53,0.0401124,Public address system
3654,267949976607343_657251455761874,Lula,2022-08-23,"Ao Brasil não interessa crescer se os seus vizinhos ficarem pobres. Nós temos que crescer juntos.

Video: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/657251455761874,facebook,video,10000,2735,2323,17:32:53,0.0401124,Microphone
3655,267949976607343_657251455761874,Lula,2022-08-23,"Ao Brasil não interessa crescer se os seus vizinhos ficarem pobres. Nós temos que crescer juntos.

Video: Ricardo Stuckert",https://www.facebook.com/532424834911204/posts/657251455761874,facebook,video,10000,2735,2323,17:32:53,0.0401124,Coat
