ID,Class,Percent,Subclass
211857482296579_5518919818190956,Coat,0.5,object
211857482296579_1536892533431131,Person,0.5,object
17994728887556273,Person,0.5,object
17940832151240061,Circle,0.5,item
17968124608889814,Clothing,0.5,object
17968124608889814,Luggage & bags,0.5,object
17926918331397684,Glasses,0.5,object
211857482296579_656356205545064,Person,0.5,object
211857482296579_771930020924913,Tent,0.5,object
211857482296579_724702415673849,Person,0.5,object
17938204379417796,Hat,0.5,object
17983854571603363,Brand,0.5,item
17937881750196379,Science,0.5,item
211857482296579_1055121855375094,Suit,0.5,object
17967584497763362,Hat,0.5,object
17966513899816928,Document,0.5,item
211857482296579_647851003356009,Motorcycle,0.5,object
211857482296579_527693419197415,Outerwear,0.5,object
211857482296579_679794240164667,Top,0.5,object
17962881514829799,Packaged goods,0.5,object
17997678307551027,Logo,0.5,item
211857482296579_682958796514878,Glasses,0.5,object
17966765209927678,Number,0.5,item
211857482296579_654097865962600,Person,0.5,object
17985799030562315,Clothing,0.5,object
211857482296579_611348683675890,Top,0.5,object
17929185599275389,Graphics,0.5,item
18324748780025136,Furniture,0.5,object
17965720894761816,Luggage & bags,0.5,object
211857482296579_717671103043647,Clothing,0.5,object
211857482296579_606662617477830,Clothing,0.5,object
17943957347506560,Packaged goods,0.5,object
18231340024135815,Hat,0.5,object
18045784819360077,Chair,0.5,object
18104479048293660,Happy,0.5,item
211857482296579_637734911037267,Person,0.5,object
211857482296579_635878124556279,Top,0.5,object
211857482296579_700093851468039,Clothing,0.5,object
17936424944269259,Terrestrial animal,0.5,item
17976677491745514,Person,0.5,object
211857482296579_418848013592462,Flag,0.5,object
211857482296579_667544531389638,Logo,0.5,item
211857482296579_1239765139900928,Person,0.5,object
211857482296579_639355477541877,Top,0.5,object
211857482296579_713430486801042,Media,0.5,item
211857482296579_728998281910929,Coat,0.5,object
17950541405113905,Person,0.5,object
211857482296579_663838648426893,Graphics,0.5,item
211857482296579_794950648352732,Coat,0.5,object
211857482296579_698717804938977,Clothing,0.5,object
18178392799229523,Parallel,0.5,item
211857482296579_631037241707034,Number,0.5,item
211857482296579_5880812035280838,Clothing,0.5,object
17978306161657468,Clothing,0.5,object
17935427087280526,Food,0.51,object
211857482296579_712897820187642,Insect,0.51,object
17951327201067120,Person,0.51,object
17853465005832375,Rectangle,0.51,item
211857482296579_570656808189926,Person,0.51,object
211857482296579_5065616536876169,Tourism,0.51,item
211857482296579_655768742567217,Furniture,0.51,object
17930124074324958,Outerwear,0.51,object
211857482296579_711170513693706,Glasses,0.51,object
211857482296579_830543331244577,Person,0.51,object
17918295695624170,Person,0.51,object
17936775662293181,Coat,0.51,object
18223502698199824,Hat,0.51,object
211857482296579_717370313073726,Tie,0.51,object
211857482296579_611348683675890,Mesh,0.51,item
17884498805716897,Clothing,0.51,object
17907886313615009,Number,0.51,item
17852051906844844,Person,0.51,object
18178392799229523,Event,0.51,item
211857482296579_667544531389638,Parallel,0.51,item
17957391511974833,Table,0.51,object
211857482296579_800260727659419,Person,0.51,object
211857482296579_3382251578678990,Packaged goods,0.51,object
211857482296579_433379325442338,Sportswear,0.51,item
211857482296579_660423542101737,Ship,0.51,object
18211820713094021,Person,0.51,object
17870682881743855,Person,0.51,object
211857482296579_656356205545064,Lighting,0.51,object
211857482296579_719500292860728,Belt,0.51,object
211857482296579_660996655377759,Clothing,0.51,object
211857482296579_603211881156237,Clothing,0.51,object
17983854571603363,Rectangle,0.51,item
211857482296579_677556213721803,Outerwear,0.51,object
17948466449238860,Person,0.51,object
17933273741230719,Container,0.51,object
211857482296579_737906517686772,Outerwear,0.51,object
211857482296579_668862077924550,Number,0.51,item
211857482296579_605514780925947,Person,0.51,object
