ID,Class,Percent,Subclass
211857482296579_794950648352732,Coat,0.5,object
211857482296579_647851003356009,Motorcycle,0.5,object
211857482296579_717671103043647,Clothing,0.5,object
211857482296579_5880812035280838,Clothing,0.5,object
211857482296579_606662617477830,Clothing,0.5,object
211857482296579_418848013592462,Flag,0.5,object
211857482296579_679794240164667,Top,0.5,object
211857482296579_682958796514878,Glasses,0.5,object
211857482296579_667544531389638,Logo,0.5,item
211857482296579_771930020924913,Tent,0.5,object
211857482296579_1055121855375094,Suit,0.5,object
211857482296579_527693419197415,Outerwear,0.5,object
211857482296579_5518919818190956,Coat,0.5,object
211857482296579_639355477541877,Top,0.5,object
211857482296579_698717804938977,Clothing,0.5,object
211857482296579_713430486801042,Media,0.5,item
211857482296579_1239765139900928,Person,0.5,object
211857482296579_656356205545064,Person,0.5,object
211857482296579_700093851468039,Clothing,0.5,object
211857482296579_724702415673849,Person,0.5,object
211857482296579_1536892533431131,Person,0.5,object
211857482296579_728998281910929,Coat,0.5,object
211857482296579_663838648426893,Graphics,0.5,item
211857482296579_637734911037267,Person,0.5,object
211857482296579_611348683675890,Top,0.5,object
211857482296579_635878124556279,Top,0.5,object
211857482296579_654097865962600,Person,0.5,object
211857482296579_631037241707034,Number,0.5,item
211857482296579_656356205545064,Lighting,0.51,object
211857482296579_3382251578678990,Packaged goods,0.51,object
211857482296579_617191466593331,Shirt,0.51,object
211857482296579_1049153849066105,Top,0.51,object
211857482296579_647891333354958,Table top,0.51,object
211857482296579_5518919818190956,Person,0.51,object
211857482296579_800260727659419,Person,0.51,object
211857482296579_712897820187642,Insect,0.51,object
211857482296579_707219174088840,Glasses,0.51,object
211857482296579_637564561054302,Number,0.51,item
211857482296579_707132717051183,Street light,0.51,object
211857482296579_7910885785619764,Glasses,0.51,object
211857482296579_5065616536876169,Tourism,0.51,item
211857482296579_730696901741067,Clothing,0.51,object
211857482296579_611348683675890,Mesh,0.51,item
211857482296579_677556213721803,Outerwear,0.51,object
211857482296579_668862077924550,Number,0.51,item
211857482296579_697960051681419,Necklace,0.51,object
211857482296579_610646480412777,Microphone,0.51,object
211857482296579_725862865557804,Suit,0.51,object
211857482296579_660423542101737,Ship,0.51,object
211857482296579_605514780925947,Person,0.51,object
211857482296579_717370313073726,Tie,0.51,object
211857482296579_570656808189926,Person,0.51,object
211857482296579_731795581631199,Home appliance,0.51,object
211857482296579_603211881156237,Clothing,0.51,object
211857482296579_646777790132979,Packaged goods,0.51,object
211857482296579_737906517686772,Outerwear,0.51,object
211857482296579_660996655377759,Clothing,0.51,object
211857482296579_785919862536854,Clothing,0.51,object
211857482296579_1056291088420621,Person,0.51,object
211857482296579_655768742567217,Furniture,0.51,object
211857482296579_2009196089281454,Person,0.51,object
211857482296579_667544531389638,Parallel,0.51,item
211857482296579_713367533474004,Document,0.51,item
211857482296579_647579806719444,Pants,0.51,object
211857482296579_830543331244577,Person,0.51,object
211857482296579_647847223359369,Advertising,0.51,item
211857482296579_485956643202119,Clothing,0.51,object
211857482296579_433379325442338,Sportswear,0.51,item
211857482296579_619468086197283,Book,0.51,object
211857482296579_844150083147078,Drink,0.51,object
211857482296579_654885109322247,Shirt,0.51,object
211857482296579_719500292860728,Belt,0.51,object
211857482296579_711170513693706,Glasses,0.51,object
211857482296579_699618014848956,Parallel,0.51,item
211857482296579_482968580417886,Top,0.51,object
211857482296579_630469175097174,Rectangle,0.51,item
211857482296579_730176764875248,Person,0.51,object
211857482296579_631037241707034,Happy,0.51,item
211857482296579_634382034705888,Screenshot,0.51,item
211857482296579_624166005727491,Clothing,0.52,object
211857482296579_707168717427219,Clothing,0.52,object
211857482296579_629207971886293,Bookcase,0.52,object
211857482296579_1079398742996612,Building,0.52,object
211857482296579_737400491070708,Media,0.52,item
211857482296579_647579806719444,Hat,0.52,object
211857482296579_795700508376353,Person,0.52,object
211857482296579_612195380356740,Luggage & bags,0.52,object
211857482296579_689800259164065,Person,0.52,object
211857482296579_734643014679789,Person,0.52,object
211857482296579_620052152805543,Packaged goods,0.52,object
211857482296579_733066411504116,Window,0.52,object
211857482296579_707132717051183,Motorcycle,0.52,object
211857482296579_679794240164667,Clothing,0.52,object
211857482296579_433379325442338,Person,0.52,object
211857482296579_668862077924550,Rectangle,0.52,item
211857482296579_493596082623537,Motorcycle,0.52,object
211857482296579_2798509730283206,Packaged goods,0.52,object
211857482296579_658030032341088,Screenshot,0.52,item
211857482296579_658030032341088,Parallel,0.52,item
211857482296579_644575880189187,Person,0.52,object
211857482296579_323698493294972,Clothing,0.52,object
211857482296579_817961622542831,Clothing,0.52,object
211857482296579_731523748325049,Glasses,0.52,object
211857482296579_766653877965417,Clothing,0.52,object
211857482296579_711170513693706,Hat,0.52,object
211857482296579_1125978111285259,Person,0.52,object
211857482296579_660996655377759,Table top,0.52,object
211857482296579_611348683675890,Rectangle,0.52,item
211857482296579_5880812035280838,Packaged goods,0.52,object
211857482296579_5518919818190956,Flag,0.52,object
211857482296579_641701903973901,Event,0.52,item
211857482296579_736624284481662,Musical instrument,0.52,object
211857482296579_577987230684345,Clothing,0.52,object
211857482296579_666604761483615,Coat,0.52,object
211857482296579_700093851468039,Person,0.52,object
211857482296579_635016171309141,Person,0.52,object
211857482296579_634895821321176,1D barcode,0.52,object
211857482296579_637784024365689,Smile,0.52,item
211857482296579_443990691108485,Clothing,0.52,object
211857482296579_665600864917338,Packaged goods,0.52,object
211857482296579_636338057843619,Clothing,0.52,object
211857482296579_1075874079786483,Clothing,0.53,object
211857482296579_603211881156237,Smile,0.53,item
211857482296579_660981305379294,Slope,0.53,item
211857482296579_2431389433685062,Person,0.53,object
211857482296579_628007395545354,Person,0.53,object
211857482296579_672349807575777,Person,0.53,object
211857482296579_697662175044540,Glasses,0.53,object
211857482296579_636183544525737,Slope,0.53,item
211857482296579_817087206323385,Glasses,0.53,object
211857482296579_602463304800420,Packaged goods,0.53,object
211857482296579_974671419868681,Clothing,0.53,object
211857482296579_620890722721686,Packaged goods,0.53,object
211857482296579_448046930551181,Tie,0.53,object
211857482296579_660981305379294,Clothing,0.53,object
211857482296579_705525777591513,Suit,0.53,object
211857482296579_729031315000687,Clothing,0.53,object
211857482296579_817961622542831,Person,0.53,object
211857482296579_688494489294642,Number,0.53,item
211857482296579_731523748325049,Clothing,0.53,object
211857482296579_692192615591496,Suit,0.53,object
211857482296579_418848013592462,Glasses,0.53,object
211857482296579_611348683675890,Photo caption,0.53,item
211857482296579_692173315593426,Web page,0.53,item
211857482296579_1093002511335969,Top,0.53,object
211857482296579_647499440060814,Outerwear,0.53,object
211857482296579_641701903973901,Number,0.53,item
211857482296579_641701903973901,Parallel,0.53,item
211857482296579_1075874079786483,Mobile phone,0.53,object
211857482296579_726896338787790,Person,0.53,object
211857482296579_1659728367745019,Top,0.53,object
211857482296579_650290219781736,Media,0.53,item
211857482296579_1523845968045907,Luggage and bags,0.53,item
211857482296579_672349807575777,Watch,0.53,object
211857482296579_734643014679789,Hat,0.53,object
211857482296579_625828312227927,Furniture,0.53,object
211857482296579_581949653400160,Clothing,0.53,object
211857482296579_629715065338222,Person,0.53,object
211857482296579_616263803184378,Person,0.53,object
211857482296579_663658685111556,Luggage & bags,0.53,object
211857482296579_668862077924550,Brand,0.53,item
211857482296579_663658685111556,Picture frame,0.53,object
211857482296579_664433618367396,Clothing,0.53,object
211857482296579_661728985304526,Fictional character,0.53,item
211857482296579_726896338787790,Coat,0.53,object
211857482296579_736681591142598,Shoe,0.53,object
211857482296579_614631950014230,Graphics,0.53,item
211857482296579_484788530361270,Car,0.53,object
211857482296579_433379325442338,Top,0.53,object
211857482296579_1988398091353713,Car,0.53,object
211857482296579_668932477917510,Suit,0.53,object
211857482296579_974671419868681,Bookcase,0.53,object
211857482296579_1987339468121211,Clothing,0.53,object
211857482296579_686705636140194,Media,0.53,item
211857482296579_733120238165400,Clothing,0.53,object
211857482296579_671409167669841,Clothing,0.53,object
211857482296579_730897781720979,Hat,0.53,object
211857482296579_646220440188714,Graphic design,0.53,item
211857482296579_625510252259733,Microphone,0.53,object
211857482296579_1069971647050883,Person,0.53,object
211857482296579_3274167222855225,Clothing,0.53,object
211857482296579_625510252259733,Outerwear,0.53,object
211857482296579_735170614627029,Person,0.53,object
211857482296579_1049153849066105,Person,0.53,object
211857482296579_646220440188714,Brand,0.54,item
211857482296579_606977720779653,Slope,0.54,item
211857482296579_602463304800420,Night,0.54,item
211857482296579_668862077924550,Media,0.54,item
211857482296579_729031315000687,Pants,0.54,object
211857482296579_1075874079786483,Person,0.54,object
211857482296579_642051880605570,Brand,0.54,item
211857482296579_655768742567217,Machine,0.54,item
211857482296579_673914894085935,Flag,0.54,object
211857482296579_728944211916336,Clothing,0.54,object
211857482296579_655768742567217,Screenshot,0.54,item
211857482296579_323698493294972,Outerwear,0.54,object
211857482296579_1018506035492343,Motorcycle,0.54,object
211857482296579_602463304800420,Circle,0.54,item
211857482296579_459500755651995,Car,0.54,object
211857482296579_726056565538434,Symbol,0.54,item
211857482296579_688675509276540,Coat,0.54,object
211857482296579_733066411504116,Top,0.54,object
211857482296579_414705214048413,Footwear,0.54,object
211857482296579_701147231362701,Uniform,0.54,item
211857482296579_475435904537817,Person,0.54,object
211857482296579_602938024516956,Tire,0.54,object
211857482296579_647847223359369,Signage,0.54,item
211857482296579_1783920361972777,Top,0.54,object
211857482296579_713430486801042,Circle,0.54,item
211857482296579_771930020924913,Person,0.54,object
211857482296579_698970971580327,Person,0.54,object
211857482296579_628007395545354,Top,0.54,object
211857482296579_581949653400160,Person,0.54,object
211857482296579_602938024516956,Wheel,0.54,object
211857482296579_664009188409839,Coat,0.54,object
211857482296579_728192865324804,Person,0.54,object
211857482296579_1987339468121211,Video camera,0.54,object
211857482296579_3271876679749794,Clothing,0.54,object
211857482296579_443990691108485,Person,0.54,object
211857482296579_615843163226442,Person,0.54,object
211857482296579_713767340100690,Rectangle,0.54,item
211857482296579_639355477541877,Hat,0.55,object
211857482296579_644319153712176,Automotive mirror,0.55,item
211857482296579_686705636140194,Sandal,0.55,item
211857482296579_644319153712176,Windshield,0.55,item
211857482296579_644319153712176,Logo,0.55,item
211857482296579_1420134305138600,Packaged goods,0.55,object
211857482296579_433379325442338,Back,0.55,item
211857482296579_2040109376191240,Person,0.55,object
211857482296579_1128618488059597,Clothing,0.55,object
211857482296579_602463304800420,Room,0.55,item
211857482296579_602463304800420,Metal,0.55,item
211857482296579_713367533474004,Person,0.55,object
211857482296579_701147231362701,Sitting,0.55,item
211857482296579_735170614627029,Jeans,0.55,object
211857482296579_666970371447054,Person,0.55,object
211857482296579_1212057259567293,Clothing,0.55,object
211857482296579_452703726748827,Person,0.55,object
211857482296579_659075268903231,Suit,0.55,object
211857482296579_1563209950798225,Clothing,0.55,object
211857482296579_605416981224421,Person,0.55,object
211857482296579_728998281910929,Outerwear,0.55,object
