ID,Class,Percent,Subclass
211857482296579_639355477541877,Top,0.5,object
211857482296579_5880812035280838,Clothing,0.5,object
211857482296579_667544531389638,Logo,0.5,item
267949976607343_658155822338104,Clothing,0.5,object
267949976607343_702023997951286,Symbol,0.5,item
211857482296579_794950648352732,Coat,0.5,object
267949976607343_713771973443155,Belt,0.5,object
267949976607343_658152609005092,Poster,0.5,object
211857482296579_663838648426893,Graphics,0.5,item
267949976607343_689595942527425,Trumpet,0.5,object
267949976607343_657814782372208,Slope,0.5,item
267949976607343_727417038745315,Slope,0.5,item
267949976607343_656157069204646,Belt,0.5,object
211857482296579_713430486801042,Media,0.5,item
267949976607343_683562103130809,Wrinkle,0.5,item
267949976607343_632207551599598,Coat,0.5,object
211857482296579_418848013592462,Flag,0.5,object
211857482296579_611348683675890,Top,0.5,object
267949976607343_632310651589288,Clothing,0.5,object
267949976607343_701247411362278,Shoe,0.5,object
211857482296579_656356205545064,Person,0.5,object
211857482296579_717671103043647,Clothing,0.5,object
267949976607343_2265960520237609,Clothing,0.5,object
211857482296579_606662617477830,Clothing,0.5,object
267949976607343_699653678188318,Shirt,0.5,object
267949976607343_707972010689818,Person,0.5,object
267949976607343_682336139920072,Jacket,0.5,object
267949976607343_609366103883743,Logo,0.5,item
211857482296579_1055121855375094,Suit,0.5,object
267949976607343_730108328476186,Brand,0.5,item
211857482296579_698717804938977,Clothing,0.5,object
267949976607343_716277536525932,Flag,0.5,object
267949976607343_619149542905399,Clothing,0.5,object
267949976607343_608636757290011,Clothing,0.5,object
267949976607343_730201275133558,Hat,0.5,object
211857482296579_700093851468039,Clothing,0.5,object
211857482296579_682958796514878,Glasses,0.5,object
267949976607343_682336139920072,Outerwear,0.5,object
211857482296579_679794240164667,Top,0.5,object
267949976607343_691066992380320,Packaged goods,0.5,object
211857482296579_527693419197415,Outerwear,0.5,object
267949976607343_681731193313900,Pants,0.5,object
267949976607343_693984715421881,Slope,0.5,item
267949976607343_497636425379280,Person,0.5,object
267949976607343_625917035561983,Person,0.5,object
211857482296579_5518919818190956,Coat,0.5,object
211857482296579_1536892533431131,Person,0.5,object
267949976607343_660140615472958,Packaged goods,0.5,object
211857482296579_637734911037267,Person,0.5,object
267949976607343_663147911838895,Glasses,0.5,object
267949976607343_610918670395153,Clothing,0.5,object
267949976607343_665511521602534,Person,0.5,object
211857482296579_724702415673849,Person,0.5,object
211857482296579_771930020924913,Tent,0.5,object
267949976607343_474886751260980,Clothing,0.5,object
267949976607343_705071264313226,Clothing,0.5,object
267949976607343_712481033572249,Hat,0.5,object
211857482296579_631037241707034,Number,0.5,item
267949976607343_734339754719710,Symbol,0.5,item
211857482296579_654097865962600,Person,0.5,object
267949976607343_640991527387867,Outerwear,0.5,object
211857482296579_1239765139900928,Person,0.5,object
211857482296579_728998281910929,Coat,0.5,object
267949976607343_642147010605652,Person,0.5,object
211857482296579_635878124556279,Top,0.5,object
267949976607343_713274156826270,Publication,0.5,item
211857482296579_647851003356009,Motorcycle,0.5,object
267949976607343_455705249800252,Person,0.5,object
211857482296579_630469175097174,Rectangle,0.51,item
267949976607343_637660991054254,Slope,0.51,item
267949976607343_624908082329545,House,0.51,object
267949976607343_661373382016348,Clothing,0.51,object
211857482296579_646777790132979,Packaged goods,0.51,object
211857482296579_668862077924550,Number,0.51,item
211857482296579_5518919818190956,Person,0.51,object
267949976607343_645453610274992,Top,0.51,object
267949976607343_659296352224051,Chair,0.51,object
211857482296579_631037241707034,Happy,0.51,item
267949976607343_644558987031121,Top,0.51,object
267949976607343_698943064926046,Symbol,0.51,item
211857482296579_570656808189926,Person,0.51,object
267949976607343_659326088887744,Furniture,0.51,object
267949976607343_682374923249527,Wine glass,0.51,object
267949976607343_662445808575772,Job,0.51,item
267949976607343_650492059771147,Person,0.51,object
267949976607343_638834297603590,Person,0.51,object
211857482296579_637564561054302,Number,0.51,item
267949976607343_708969160590103,Symbol,0.51,item
267949976607343_620161246137562,Number,0.51,item
267949976607343_665411898345556,Clothing,0.51,object
211857482296579_731795581631199,Home appliance,0.51,object
211857482296579_482968580417886,Top,0.51,object
211857482296579_800260727659419,Person,0.51,object
267949976607343_722047049282314,Symbol,0.51,item
211857482296579_485956643202119,Clothing,0.51,object
267949976607343_716277536525932,Jeans,0.51,object
267949976607343_1228848604562330,Clothing,0.51,object
267949976607343_647755540044799,Person,0.51,object
211857482296579_1056291088420621,Person,0.51,object
267949976607343_664283635058656,Glasses,0.51,object
211857482296579_634382034705888,Screenshot,0.51,item
211857482296579_5065616536876169,Tourism,0.51,item
267949976607343_709269007226785,Top,0.51,object
267949976607343_686072572879762,Person,0.51,object
267949976607343_639517127535307,Glasses,0.51,object
267949976607343_637569997730020,Flag,0.51,object
211857482296579_677556213721803,Outerwear,0.51,object
267949976607343_681302463356773,Glasses,0.51,object
211857482296579_667544531389638,Parallel,0.51,item
267949976607343_726908315462854,Person,0.51,object
267949976607343_719140246239661,Clothing,0.51,object
211857482296579_619468086197283,Book,0.51,object
211857482296579_611348683675890,Mesh,0.51,item
267949976607343_632376381582715,Packaged goods,0.51,object
267949976607343_635388327948187,Outerwear,0.51,object
267949976607343_649518329868520,Shirt,0.51,object
211857482296579_656356205545064,Lighting,0.51,object
267949976607343_632387418248278,Outerwear,0.51,object
211857482296579_737906517686772,Outerwear,0.51,object
267949976607343_700678588085827,Packaged goods,0.51,object
211857482296579_617191466593331,Shirt,0.51,object
267949976607343_688336609320025,Rainbow,0.51,item
267949976607343_967648847292826,Person,0.51,object
267949976607343_651702369650116,Footwear,0.51,object
267949976607343_651702369650116,Person,0.51,object
267949976607343_651019169718436,Person,0.51,object
267949976607343_650746289745724,Person,0.51,object
267949976607343_650746289745724,Clothing,0.51,object
267949976607343_634918124661874,Symbol,0.51,item
211857482296579_655768742567217,Furniture,0.51,object
267949976607343_789939668921368,Coat,0.51,object
211857482296579_654885109322247,Shirt,0.51,object
267949976607343_699620904858262,Circle,0.51,item
211857482296579_785919862536854,Clothing,0.51,object
267949976607343_3270472216500378,Tie,0.51,object
267949976607343_651702369650116,Luggage & bags,0.51,object
211857482296579_610646480412777,Microphone,0.51,object
267949976607343_2045730582295664,Person,0.51,object
267949976607343_648132230007130,Person,0.51,object
267949976607343_684528903034129,Top,0.51,object
267949976607343_699224418231244,Pillow,0.51,object
267949976607343_646539226833097,Clothing,0.51,object
267949976607343_723253509161668,Slope,0.51,item
211857482296579_647579806719444,Pants,0.51,object
211857482296579_647847223359369,Advertising,0.51,item
267949976607343_629957965157890,Clothing,0.51,object
211857482296579_647891333354958,Table top,0.51,object
267949976607343_657814782372208,Symbol,0.51,item
267949976607343_726802088806810,Glasses,0.51,object
211857482296579_603211881156237,Clothing,0.51,object
267949976607343_657165725770447,Tie,0.51,object
211857482296579_7910885785619764,Glasses,0.51,object
211857482296579_660996655377759,Clothing,0.51,object
267949976607343_5806679662731444,Packaged goods,0.51,object
267949976607343_656786172475069,Graphic design,0.51,item
267949976607343_470293148483638,Glasses,0.51,object
211857482296579_605514780925947,Person,0.51,object
267949976607343_723774445776241,Top,0.51,object
267949976607343_683562103130809,Glasses,0.51,object
211857482296579_2009196089281454,Person,0.51,object
211857482296579_660423542101737,Ship,0.51,object
267949976607343_687799236040429,Person,0.51,object
267949976607343_720923409394678,Symbol,0.51,item
267949976607343_681174196702933,Symbol,0.51,item
267949976607343_658430645643955,Person,0.51,object
267949976607343_654629956024024,Clothing,0.51,object
267949976607343_641266254027061,Packaged goods,0.51,object
267949976607343_713274156826270,Signature,0.51,item
211857482296579_725862865557804,Suit,0.51,object
267949976607343_666288104858209,Person,0.51,object
211857482296579_713367533474004,Document,0.51,item
267949976607343_713137266839959,Symbol,0.51,item
267949976607343_695451751941844,Hat,0.51,object
211857482296579_830543331244577,Person,0.51,object
267949976607343_667192128101140,Clothing,0.51,object
267949976607343_609449847208702,Brand,0.51,item
211857482296579_707219174088840,Glasses,0.51,object
211857482296579_707132717051183,Street light,0.51,object
267949976607343_730201275133558,Top,0.51,object
211857482296579_730176764875248,Person,0.51,object
211857482296579_844150083147078,Drink,0.51,object
267949976607343_674323707387982,Symbol,0.51,item
267949976607343_846436616405531,Top,0.51,object
211857482296579_3382251578678990,Packaged goods,0.51,object
211857482296579_717370313073726,Tie,0.51,object
267949976607343_693984715421881,Symbol,0.51,item
267949976607343_695292048624481,Suit,0.51,object
267949976607343_680507633436256,Clothing,0.51,object
267949976607343_695127308640955,Hat,0.51,object
267949976607343_614365440050476,Clothing,0.51,object
267949976607343_713439213476431,Clothing,0.51,object
267949976607343_731757728311246,Glasses,0.51,object
267949976607343_713771973443155,Jeans,0.51,object
267949976607343_615296843290669,Clothing,0.51,object
211857482296579_719500292860728,Belt,0.51,object
211857482296579_712897820187642,Insect,0.51,object
267949976607343_615810759905944,Number,0.51,item
267949976607343_713771973443155,Top,0.51,object
267949976607343_668343891319297,Clothing,0.51,object
267949976607343_679692936851059,Clothing,0.51,object
211857482296579_1049153849066105,Top,0.51,object
267949976607343_731096365044049,Slope,0.51,item
211857482296579_711170513693706,Glasses,0.51,object
211857482296579_699618014848956,Parallel,0.51,item
211857482296579_697960051681419,Necklace,0.51,object
267949976607343_712477063572646,Clothing,0.51,object
267949976607343_1022288148465402,Person,0.51,object
267949976607343_704222087731477,Person,0.51,object
211857482296579_433379325442338,Sportswear,0.51,item
267949976607343_611819133638440,Slope,0.51,item
267949976607343_611819133638440,Logo,0.51,item
211857482296579_730696901741067,Clothing,0.51,object
267949976607343_679118943575125,Person,0.52,object
267949976607343_652367572916929,Flag,0.52,object
267949976607343_632998978187122,Person,0.52,object
211857482296579_666604761483615,Coat,0.52,object
211857482296579_612195380356740,Luggage & bags,0.52,object
211857482296579_711170513693706,Hat,0.52,object
211857482296579_736624284481662,Musical instrument,0.52,object
211857482296579_665600864917338,Packaged goods,0.52,object
267949976607343_652947229525630,Person,0.52,object
211857482296579_5880812035280838,Packaged goods,0.52,object
267949976607343_629488955204791,Shirt,0.52,object
211857482296579_737400491070708,Media,0.52,item
267949976607343_614380206715666,Person,0.52,object
211857482296579_611348683675890,Rectangle,0.52,item
267949976607343_630598575093829,Symbol,0.52,item
211857482296579_660996655377759,Table top,0.52,object
267949976607343_683334896486863,Building,0.52,object
267949976607343_689403619213324,Event,0.52,item
211857482296579_433379325442338,Person,0.52,object
267949976607343_615358983284455,Clothing,0.52,object
267949976607343_689392222547797,Clothing,0.52,object
267949976607343_630233195130367,Coat,0.52,object
267949976607343_5518460998223403,Clothing,0.52,object
267949976607343_671047391048947,Slope,0.52,item
211857482296579_658030032341088,Screenshot,0.52,item
211857482296579_658030032341088,Parallel,0.52,item
211857482296579_1079398742996612,Building,0.52,object
267949976607343_719547246198961,Clothing,0.52,object
267949976607343_632310651589288,Shirt,0.52,object
267949976607343_671367257683627,Packaged goods,0.52,object
267949976607343_671367257683627,Glasses,0.52,object
211857482296579_731523748325049,Glasses,0.52,object
267949976607343_650762926410727,Outerwear,0.52,object
267949976607343_731757728311246,Coat,0.52,object
211857482296579_629207971886293,Bookcase,0.52,object
267949976607343_676056990547987,Person,0.52,object
267949976607343_469828481417036,Person,0.52,object
267949976607343_712493080237711,Sharing,0.52,item
267949976607343_645390620281291,Glasses,0.52,object
267949976607343_695460431940976,Glasses,0.52,object
211857482296579_323698493294972,Clothing,0.52,object
211857482296579_644575880189187,Person,0.52,object
267949976607343_697939615026391,2D barcode,0.52,object
267949976607343_638839647603055,Clothing,0.52,object
267949976607343_637660991054254,Person,0.52,object
267949976607343_686761269477559,Symbol,0.52,item
267949976607343_611572483663105,Person,0.52,object
211857482296579_634895821321176,1D barcode,0.52,object
267949976607343_642803583873328,Top,0.52,object
267949976607343_640991527387867,Screenshot,0.52,item
211857482296579_635016171309141,Person,0.52,object
211857482296579_1125978111285259,Person,0.52,object
211857482296579_637784024365689,Smile,0.52,item
211857482296579_636338057843619,Clothing,0.52,object
211857482296579_766653877965417,Clothing,0.52,object
211857482296579_641701903973901,Event,0.52,item
267949976607343_723253509161668,Symbol,0.52,item
211857482296579_647579806719444,Hat,0.52,object
267949976607343_713274156826270,Person,0.52,object
267949976607343_651702369650116,Toddler,0.52,item
267949976607343_610847373735616,Outerwear,0.52,object
267949976607343_688336609320025,Symbol,0.52,item
267949976607343_725541535372030,Flag,0.52,object
211857482296579_795700508376353,Person,0.52,object
267949976607343_710289937124692,Symbol,0.52,item
267949976607343_710289937124692,Screenshot,0.52,item
267949976607343_732438284909857,Glasses,0.52,object
267949976607343_846436616405531,Glasses,0.52,object
267949976607343_674524050701281,Bed,0.52,object
267949976607343_732755381544814,Outerwear,0.52,object
267949976607343_649518329868520,Outerwear,0.52,object
267949976607343_725260088961010,Clothing,0.52,object
267949976607343_648785646608455,Person,0.52,object
267949976607343_648673909952962,Clothing,0.52,object
267949976607343_708260007327685,Coat,0.52,object
211857482296579_620052152805543,Packaged goods,0.52,object
267949976607343_720396876113998,Top,0.52,object
267949976607343_636368891183464,Clothing,0.52,object
267949976607343_636659574487729,Screenshot,0.52,item
211857482296579_624166005727491,Clothing,0.52,object
267949976607343_636757957811224,Clothing,0.52,object
267949976607343_723781435775542,Clothing,0.52,object
211857482296579_2798509730283206,Packaged goods,0.52,object
267949976607343_727525275401158,Person,0.52,object
267949976607343_728165582003794,Top,0.52,object
267949976607343_664276945059325,Person,0.52,object
267949976607343_879915296273605,Outerwear,0.52,object
267949976607343_730108328476186,Logo,0.52,item
267949976607343_621414356012251,Happy,0.52,item
267949976607343_621414356012251,Number,0.52,item
267949976607343_692151975605155,Signage,0.52,item
211857482296579_734643014679789,Person,0.52,object
267949976607343_608760133944340,Tire,0.52,object
267949976607343_664276945059325,Poster,0.52,object
267949976607343_602259271473509,Outerwear,0.52,object
211857482296579_5518919818190956,Flag,0.52,object
211857482296579_689800259164065,Person,0.52,object
211857482296579_493596082623537,Motorcycle,0.52,object
267949976607343_629489035204783,Suit,0.52,object
267949976607343_711027553717597,Person,0.52,object
267949976607343_623105895843097,Outerwear,0.52,object
267949976607343_692056432281376,Top,0.52,object
267949976607343_662997408520612,Graphic design,0.52,item
211857482296579_817961622542831,Clothing,0.52,object
267949976607343_664467331706953,Clothing,0.52,object
211857482296579_700093851468039,Person,0.52,object
267949976607343_625831902237163,Person,0.52,object
267949976607343_660140615472958,Person,0.52,object
267949976607343_616797866473900,Top,0.52,object
267949976607343_623129455840741,Tie,0.52,object
267949976607343_622947585858928,Number,0.52,item
267949976607343_663444865142533,Person,0.52,object
267949976607343_621414356012251,Coat,0.52,object
267949976607343_703541814466171,Slope,0.52,item
267949976607343_727774505376235,Person,0.52,object
267949976607343_711890430297976,Clothing,0.52,object
211857482296579_679794240164667,Clothing,0.52,object
267949976607343_733845741435778,Clothing,0.52,object
211857482296579_443990691108485,Clothing,0.52,object
211857482296579_733066411504116,Window,0.52,object
211857482296579_707132717051183,Motorcycle,0.52,object
267949976607343_665411898345556,Luggage & bags,0.52,object
211857482296579_707168717427219,Clothing,0.52,object
267949976607343_752950772492321,Person,0.52,object
267949976607343_691170399036646,Graphic design,0.52,item
267949976607343_618220489664971,Logo,0.52,item
267949976607343_662662998551734,Outerwear,0.52,object
211857482296579_577987230684345,Clothing,0.52,object
267949976607343_789331875695259,Glasses,0.52,object
267949976607343_690806165739736,Person,0.52,object
267949976607343_623611949125825,Symbol,0.52,item
267949976607343_729638121856540,Packaged goods,0.52,object
267949976607343_623611949125825,Clothing,0.52,object
267949976607343_693984715421881,Person,0.52,object
211857482296579_668862077924550,Rectangle,0.52,item
267949976607343_703594461127573,Clothing,0.52,object
267949976607343_720519742768378,Person,0.53,object
267949976607343_648050676681952,Symbol,0.53,item
267949976607343_612840646869622,T-shirt,0.53,item
267949976607343_709329287220757,Monochrome,0.53,item
211857482296579_620890722721686,Packaged goods,0.53,object
267949976607343_694357402051279,Pleased,0.53,item
211857482296579_650290219781736,Media,0.53,item
267949976607343_664283635058656,Camera,0.53,object
267949976607343_635814704572216,Symbol,0.53,item
267949976607343_720316299455389,Luggage & bags,0.53,object
267949976607343_619100159577004,History,0.53,item
267949976607343_716779453142407,Slope,0.53,item
267949976607343_684612819692404,Suit,0.53,object
211857482296579_1093002511335969,Top,0.53,object
211857482296579_731523748325049,Clothing,0.53,object
211857482296579_616263803184378,Person,0.53,object
267949976607343_732438284909857,Clothing,0.53,object
267949976607343_663147911838895,Person,0.53,object
267949976607343_723857495767936,Pillow,0.53,object
211857482296579_686705636140194,Media,0.53,item
211857482296579_625510252259733,Microphone,0.53,object
211857482296579_692173315593426,Web page,0.53,item
267949976607343_678314023655617,Hat,0.53,object
267949976607343_643556063798080,Person,0.53,object
267949976607343_611572483663105,T-shirt,0.53,item
211857482296579_484788530361270,Car,0.53,object
211857482296579_641701903973901,Number,0.53,item
211857482296579_641701903973901,Parallel,0.53,item
211857482296579_974671419868681,Bookcase,0.53,object
267949976607343_619949219492098,Electric blue,0.53,item
211857482296579_692192615591496,Suit,0.53,object
211857482296579_817961622542831,Person,0.53,object
267949976607343_665411898345556,Glasses,0.53,object
211857482296579_636183544525737,Slope,0.53,item
211857482296579_817087206323385,Glasses,0.53,object
211857482296579_697662175044540,Glasses,0.53,object
267949976607343_620099479477072,Glasses,0.53,object
211857482296579_729031315000687,Clothing,0.53,object
267949976607343_686077462879273,Top,0.53,object
211857482296579_974671419868681,Clothing,0.53,object
267949976607343_716223416531344,Hat,0.53,object
267949976607343_665037581649928,Facial hair,0.53,item
211857482296579_625510252259733,Outerwear,0.53,object
211857482296579_625828312227927,Furniture,0.53,object
267949976607343_675756700578016,Person,0.53,object
267949976607343_732774298209589,Person,0.53,object
267949976607343_704929447660741,Slope,0.53,item
267949976607343_647056653448021,Rectangle,0.53,item
267949976607343_721202856033400,Clothing,0.53,object
267949976607343_619317886221898,Person,0.53,object
211857482296579_688494489294642,Number,0.53,item
211857482296579_628007395545354,Person,0.53,object
211857482296579_3274167222855225,Clothing,0.53,object
267949976607343_681292950024391,Games,0.53,item
267949976607343_685271496293203,Rectangle,0.53,item
267949976607343_622127892607564,Symbol,0.53,item
211857482296579_647499440060814,Outerwear,0.53,object
211857482296579_726896338787790,Person,0.53,object
267949976607343_733177308169288,Suit,0.53,object
267949976607343_638452820975071,Glasses,0.53,object
211857482296579_646220440188714,Graphic design,0.53,item
211857482296579_629715065338222,Person,0.53,object
211857482296579_726896338787790,Coat,0.53,object
267949976607343_622815432538810,Person,0.53,object
211857482296579_614631950014230,Graphics,0.53,item
267949976607343_613609010126119,Brand,0.53,item
