ID,Class,Percent,Subclass
267949976607343_682336139920072,Jacket,0.5,object
267949976607343_730201275133558,Hat,0.5,object
267949976607343_658155822338104,Clothing,0.5,object
267949976607343_705071264313226,Clothing,0.5,object
211857482296579_713430486801042,Media,0.5,item
267949976607343_658152609005092,Poster,0.5,object
17950541405113905,Person,0.5,object
267949976607343_619149542905399,Clothing,0.5,object
211857482296579_418848013592462,Flag,0.5,object
267949976607343_730108328476186,Brand,0.5,item
267949976607343_657814782372208,Slope,0.5,item
18104479048293660,Happy,0.5,item
211857482296579_717671103043647,Clothing,0.5,object
17940180821186171,Clothing,0.5,object
267949976607343_707972010689818,Person,0.5,object
267949976607343_474886751260980,Clothing,0.5,object
267949976607343_640991527387867,Outerwear,0.5,object
267949976607343_656157069204646,Belt,0.5,object
17933134664429040,Top,0.5,object
17946075923194280,Person,0.5,object
267949976607343_702023997951286,Symbol,0.5,item
267949976607343_699653678188318,Shirt,0.5,object
17936424944269259,Terrestrial animal,0.5,item
211857482296579_631037241707034,Number,0.5,item
17909482754635010,Person,0.5,object
17937881750196379,Science,0.5,item
17938204379417796,Hat,0.5,object
267949976607343_660140615472958,Packaged goods,0.5,object
17916904925611024,Clothing,0.5,object
267949976607343_693984715421881,Slope,0.5,item
18178392799229523,Parallel,0.5,item
17940832151240061,Circle,0.5,item
267949976607343_610918670395153,Clothing,0.5,object
211857482296579_611348683675890,Top,0.5,object
211857482296579_606662617477830,Clothing,0.5,object
17943957347506560,Packaged goods,0.5,object
211857482296579_5880812035280838,Clothing,0.5,object
211857482296579_5518919818190956,Coat,0.5,object
211857482296579_527693419197415,Outerwear,0.5,object
267949976607343_701247411362278,Shoe,0.5,object
18045784819360077,Chair,0.5,object
211857482296579_724702415673849,Person,0.5,object
211857482296579_1536892533431131,Person,0.5,object
17997678307551027,Logo,0.5,item
18059110555343879,Window,0.5,object
18036096376386003,Glasses,0.5,object
18024063124396797,Person,0.5,object
17963855860983428,Glasses,0.5,object
18016676617423341,Top,0.5,object
211857482296579_728998281910929,Coat,0.5,object
18005382265459989,Person,0.5,object
17964827812697927,Building,0.5,object
17994728887556273,Person,0.5,object
17976677491745514,Person,0.5,object
17997957550474251,Hat,0.5,object
17978306161657468,Clothing,0.5,object
17983854571603363,Brand,0.5,item
17978462974699443,Person,0.5,object
17972451517644592,Person,0.5,object
17985799030562315,Clothing,0.5,object
17968124608889814,Clothing,0.5,object
17968124608889814,Luggage & bags,0.5,object
267949976607343_716277536525932,Flag,0.5,object
17967584497763362,Hat,0.5,object
17947891687933847,Top,0.5,object
267949976607343_625917035561983,Person,0.5,object
211857482296579_1239765139900928,Person,0.5,object
267949976607343_712481033572249,Hat,0.5,object
267949976607343_713274156826270,Publication,0.5,item
17962881514829799,Packaged goods,0.5,object
211857482296579_1055121855375094,Suit,0.5,object
267949976607343_2265960520237609,Clothing,0.5,object
17904089795664524,Table top,0.5,object
17953451417041972,Table,0.5,object
267949976607343_713771973443155,Belt,0.5,object
17965720894761816,Luggage & bags,0.5,object
267949976607343_642147010605652,Person,0.5,object
267949976607343_727417038745315,Slope,0.5,item
17966513899816928,Document,0.5,item
17966765209927678,Number,0.5,item
18221510416085524,Person,0.5,object
18184156894173103,Packaged goods,0.5,object
17955905590778760,Clothing,0.5,object
211857482296579_635878124556279,Top,0.5,object
17969251753686181,Outerwear,0.5,object
267949976607343_609366103883743,Logo,0.5,item
211857482296579_771930020924913,Tent,0.5,object
211857482296579_654097865962600,Person,0.5,object
267949976607343_455705249800252,Person,0.5,object
267949976607343_663147911838895,Glasses,0.5,object
211857482296579_700093851468039,Clothing,0.5,object
267949976607343_683562103130809,Wrinkle,0.5,item
267949976607343_497636425379280,Person,0.5,object
267949976607343_665511521602534,Person,0.5,object
267949976607343_632207551599598,Coat,0.5,object
211857482296579_682958796514878,Glasses,0.5,object
17929185599275389,Graphics,0.5,item
211857482296579_663838648426893,Graphics,0.5,item
211857482296579_698717804938977,Clothing,0.5,object
211857482296579_679794240164667,Top,0.5,object
267949976607343_689595942527425,Trumpet,0.5,object
18231340024135815,Hat,0.5,object
211857482296579_639355477541877,Top,0.5,object
267949976607343_682336139920072,Outerwear,0.5,object
267949976607343_691066992380320,Packaged goods,0.5,object
211857482296579_794950648352732,Coat,0.5,object
211857482296579_647851003356009,Motorcycle,0.5,object
17926918331397684,Glasses,0.5,object
267949976607343_734339754719710,Symbol,0.5,item
267949976607343_681731193313900,Pants,0.5,object
211857482296579_637734911037267,Person,0.5,object
211857482296579_667544531389638,Logo,0.5,item
18324748780025136,Furniture,0.5,object
267949976607343_608636757290011,Clothing,0.5,object
211857482296579_656356205545064,Person,0.5,object
267949976607343_632310651589288,Clothing,0.5,object
267949976607343_651702369650116,Person,0.51,object
267949976607343_650746289745724,Clothing,0.51,object
267949976607343_651702369650116,Luggage & bags,0.51,object
17898017813583302,Person,0.51,object
267949976607343_651702369650116,Footwear,0.51,object
18311290330000629,Person,0.51,object
267949976607343_650746289745724,Person,0.51,object
18319054417047420,Person,0.51,object
267949976607343_614365440050476,Clothing,0.51,object
267949976607343_624908082329545,House,0.51,object
267949976607343_651019169718436,Person,0.51,object
267949976607343_661373382016348,Clothing,0.51,object
211857482296579_667544531389638,Parallel,0.51,item
211857482296579_725862865557804,Suit,0.51,object
267949976607343_679692936851059,Clothing,0.51,object
17960020456997327,Glasses,0.51,object
17960020456997327,Person,0.51,object
17907886313615009,Number,0.51,item
267949976607343_712477063572646,Clothing,0.51,object
17961612832940779,Shorts,0.51,object
267949976607343_713771973443155,Top,0.51,object
267949976607343_713274156826270,Signature,0.51,item
267949976607343_713439213476431,Clothing,0.51,object
211857482296579_1056291088420621,Person,0.51,object
211857482296579_1049153849066105,Top,0.51,object
17902453913672698,Outerwear,0.51,object
18248378107107896,Top,0.51,object
17900883860663740,Hat,0.51,object
17952895466311596,Hat,0.51,object
267949976607343_713771973443155,Jeans,0.51,object
18241751392140991,Person,0.51,object
267949976607343_629957965157890,Clothing,0.51,object
17884498805716897,Clothing,0.51,object
17859673835812237,Person,0.51,object
211857482296579_830543331244577,Person,0.51,object
267949976607343_683562103130809,Glasses,0.51,object
17998174192471208,Person,0.51,object
17870682881743855,Person,0.51,object
211857482296579_697960051681419,Necklace,0.51,object
17978437621603773,Packaged goods,0.51,object
267949976607343_720923409394678,Symbol,0.51,item
17981581897714355,Clothing,0.51,object
267949976607343_722047049282314,Symbol,0.51,item
17983854571603363,Rectangle,0.51,item
267949976607343_723253509161668,Slope,0.51,item
267949976607343_667192128101140,Clothing,0.51,object
267949976607343_646539226833097,Clothing,0.51,object
211857482296579_730176764875248,Person,0.51,object
267949976607343_723774445776241,Top,0.51,object
267949976607343_634918124661874,Symbol,0.51,item
17985244936536329,Machine,0.51,item
267949976607343_682374923249527,Wine glass,0.51,object
17873125907782070,Suit,0.51,object
18020649967439177,Computer keyboard,0.51,object
267949976607343_719140246239661,Clothing,0.51,object
17883810062684011,Clothing,0.51,object
267949976607343_2045730582295664,Person,0.51,object
267949976607343_684528903034129,Top,0.51,object
267949976607343_716277536525932,Jeans,0.51,object
267949976607343_654629956024024,Clothing,0.51,object
18179164993233513,Clothing,0.51,object
211857482296579_677556213721803,Outerwear,0.51,object
17879630420751067,Person,0.51,object
211857482296579_668862077924550,Number,0.51,item
267949976607343_650492059771147,Person,0.51,object
267949976607343_649518329868520,Shirt,0.51,object
267949976607343_666288104858209,Person,0.51,object
18066717874311012,Person,0.51,object
18044441899363948,Clothing,0.51,object
267949976607343_615810759905944,Number,0.51,item
18040594843329641,Hat,0.51,object
211857482296579_844150083147078,Drink,0.51,object
267949976607343_648132230007130,Person,0.51,object
267949976607343_615296843290669,Clothing,0.51,object
17958930253780008,Hat,0.51,object
17957207419969373,Person,0.51,object
267949976607343_665411898345556,Clothing,0.51,object
17943064064134108,Person,0.51,object
267949976607343_688336609320025,Rainbow,0.51,item
211857482296579_610646480412777,Microphone,0.51,object
17928594671435227,Wine glass,0.51,object
211857482296579_605514780925947,Person,0.51,object
17943678350196323,Photo caption,0.51,item
267949976607343_695127308640955,Hat,0.51,object
211857482296579_603211881156237,Clothing,0.51,object
17943842678211702,Person,0.51,object
211857482296579_611348683675890,Mesh,0.51,item
211857482296579_711170513693706,Glasses,0.51,object
211857482296579_646777790132979,Packaged goods,0.51,object
267949976607343_695451751941844,Hat,0.51,object
17945645744034793,Packaged goods,0.51,object
211857482296579_712897820187642,Insect,0.51,object
267949976607343_5806679662731444,Packaged goods,0.51,object
17946617606245328,Display device,0.51,item
211857482296579_570656808189926,Person,0.51,object
211857482296579_713367533474004,Document,0.51,item
211857482296579_707132717051183,Street light,0.51,object
267949976607343_695292048624481,Suit,0.51,object
211857482296579_5518919818190956,Person,0.51,object
267949976607343_659296352224051,Chair,0.51,object
267949976607343_659326088887744,Furniture,0.51,object
211857482296579_637564561054302,Number,0.51,item
17935427087280526,Food,0.51,object
211857482296579_634382034705888,Screenshot,0.51,item
17933273741230719,Container,0.51,object
211857482296579_707219174088840,Glasses,0.51,object
17936775662293181,Coat,0.51,object
211857482296579_631037241707034,Happy,0.51,item
267949976607343_662445808575772,Job,0.51,item
211857482296579_630469175097174,Rectangle,0.51,item
17941946951211496,Clothing,0.51,object
17937881750196379,Transport,0.51,item
267949976607343_681302463356773,Glasses,0.51,object
267949976607343_668343891319297,Clothing,0.51,object
17929362938366970,Tubed packaged goods,0.51,object
267949976607343_693984715421881,Symbol,0.51,item
211857482296579_619468086197283,Book,0.51,object
211857482296579_617191466593331,Shirt,0.51,object
17852051906844844,Person,0.51,object
267949976607343_470293148483638,Glasses,0.51,object
17930124074324958,Outerwear,0.51,object
