ID,Class,Percent,Subclass
18104479048293660,Happy,0.5,item
17936424944269259,Terrestrial animal,0.5,item
17968124608889814,Luggage & bags,0.5,object
18178392799229523,Parallel,0.5,item
17967584497763362,Hat,0.5,object
17943957347506560,Packaged goods,0.5,object
17937881750196379,Science,0.5,item
18045784819360077,Chair,0.5,object
17938204379417796,Hat,0.5,object
17994728887556273,Person,0.5,object
17978306161657468,Clothing,0.5,object
17968124608889814,Clothing,0.5,object
17950541405113905,Person,0.5,object
17976677491745514,Person,0.5,object
17926918331397684,Glasses,0.5,object
17966513899816928,Document,0.5,item
17929185599275389,Graphics,0.5,item
17962881514829799,Packaged goods,0.5,object
18324748780025136,Furniture,0.5,object
18231340024135815,Hat,0.5,object
17966765209927678,Number,0.5,item
17940832151240061,Circle,0.5,item
17985799030562315,Clothing,0.5,object
17965720894761816,Luggage & bags,0.5,object
17997678307551027,Logo,0.5,item
17983854571603363,Brand,0.5,item
17936775662293181,Coat,0.51,object
17958930253780008,Hat,0.51,object
17960020456997327,Person,0.51,object
17907886313615009,Number,0.51,item
17852051906844844,Person,0.51,object
17943678350196323,Photo caption,0.51,item
17922647999339249,Person,0.51,object
17937881750196379,Transport,0.51,item
18287541361078609,Person,0.51,object
17923024595564645,Groundcover,0.51,item
17943064064134108,Person,0.51,object
18211820713094021,Person,0.51,object
17859673835812237,Person,0.51,object
18221787676146723,Furniture,0.51,object
17879630420751067,Person,0.51,object
17941946951211496,Clothing,0.51,object
17955668368987107,Suit,0.51,object
18017368669404364,Darkness,0.51,item
17900883860663740,Hat,0.51,object
17883810062684011,Clothing,0.51,object
17960020456997327,Glasses,0.51,object
17943842678211702,Person,0.51,object
18223502698199824,Hat,0.51,object
17884498805716897,Clothing,0.51,object
17961612832940779,Shorts,0.51,object
17948466449238860,Person,0.51,object
18324748780025136,Clothing,0.51,object
17930124074324958,Outerwear,0.51,object
17853465005832375,Rectangle,0.51,item
17949492689177206,Hat,0.51,object
17933273741230719,Container,0.51,object
17957391511974833,Table,0.51,object
17873125907782070,Suit,0.51,object
17951327201067120,Person,0.51,object
17978437621603773,Packaged goods,0.51,object
17898017813583302,Person,0.51,object
17902453913672698,Outerwear,0.51,object
17935427087280526,Food,0.51,object
17928594671435227,Wine glass,0.51,object
17870682881743855,Person,0.51,object
17957207419969373,Person,0.51,object
17946617606245328,Display device,0.51,item
18132403960285972,Suit,0.51,object
17945645744034793,Packaged goods,0.51,object
17985244936536329,Machine,0.51,item
17929362938366970,Tubed packaged goods,0.51,object
17983854571603363,Rectangle,0.51,item
17918295695624170,Person,0.51,object
17981581897714355,Clothing,0.51,object
18178392799229523,Event,0.51,item
18175677523223964,Top,0.52,object
17938738064192505,News,0.52,item
17938738064192505,Sportswear,0.52,item
17938437653173283,Coat,0.52,object
17964870223852388,Person,0.52,object
17936567696309150,Person,0.52,object
17859673835812237,Rectangle,0.52,item
17957391511974833,Top,0.52,object
18128770687305115,Person,0.52,object
17966513899816928,Number,0.52,item
17934812021402535,Shoe,0.52,object
17948784656488567,Media,0.52,item
18146583529283715,Clothing,0.52,object
18045784819360077,Furniture,0.52,object
18146236921264995,Racket,0.52,object
