ID,Class,Percent,Subclass
18036096376386003,Glasses,0.5,object
18059110555343879,Window,0.5,object
18016676617423341,Top,0.5,object
17904089795664524,Table top,0.5,object
17953451417041972,Table,0.5,object
17940180821186171,Clothing,0.5,object
17955905590778760,Clothing,0.5,object
17909482754635010,Person,0.5,object
18005382265459989,Person,0.5,object
17916904925611024,Clothing,0.5,object
17969251753686181,Outerwear,0.5,object
18221510416085524,Person,0.5,object
17933134664429040,Top,0.5,object
17997957550474251,Hat,0.5,object
18184156894173103,Packaged goods,0.5,object
17963855860983428,Glasses,0.5,object
17978462974699443,Person,0.5,object
18024063124396797,Person,0.5,object
17972451517644592,Person,0.5,object
17964827812697927,Building,0.5,object
17946075923194280,Person,0.5,object
17947891687933847,Top,0.5,object
18179164993233513,Clothing,0.51,object
17956358962890471,Clothing,0.51,object
17956358962890471,Hat,0.51,object
17949836564201348,Clothing,0.51,object
18241751392140991,Person,0.51,object
17864331200773957,Hat,0.51,object
17938731566453071,Shirt,0.51,object
17937286625310860,Clothing,0.51,object
17927492663418802,Person,0.51,object
18311290330000629,Person,0.51,object
17920301867614963,Slope,0.51,item
17935700144317342,Hat,0.51,object
17954776208120717,Clothing,0.51,object
17969251753686181,Jeans,0.51,object
17920463363443832,Top,0.51,object
17959169455756787,Packaged goods,0.51,object
17998174192471208,Person,0.51,object
17952895466311596,Hat,0.51,object
17960227315737350,Darkness,0.51,item
17886912248708701,Person,0.51,object
17967299299894159,Clothing,0.51,object
17964438922864641,Packaged goods,0.51,object
18248378107107896,Top,0.51,object
17946075923194280,Tie,0.51,object
18319054417047420,Person,0.51,object
17942513267185168,Clothing,0.51,object
18066717874311012,Person,0.51,object
18040594843329641,Hat,0.51,object
18044441899363948,Clothing,0.51,object
17942513267185168,Glasses,0.51,object
18020649967439177,Computer keyboard,0.51,object
17951208704089068,Clothing,0.51,object
17951808089008671,Packaged goods,0.51,object
18000655921475217,Coat,0.52,object
18058057453334650,Hat,0.52,object
17943477584341229,Person,0.52,object
17880950561691209,Person,0.52,object
17957390834073864,Person,0.52,object
17864331200773957,Person,0.52,object
18311290330000629,Clothing,0.52,object
17958491167967998,Outerwear,0.52,object
17934654290421387,Person,0.52,object
18020811559418768,Number,0.52,item
18176783491236417,Tie,0.52,object
18034844338381438,Clothing,0.52,object
17925123692586340,Person,0.52,object
17960315656946718,Houseplant,0.52,object
17895244775607933,Clothing,0.52,object
17949258401060942,Clothing,0.52,object
17928276896584128,Clothing,0.52,object
17964263932773423,Suit,0.52,object
17946532628018131,Hat,0.52,object
17971362394744261,Clothing,0.52,object
17956684846985894,Glasses,0.52,object
