ID,Class,Percent,Subclass
267949976607343_730108328476186,Brand,0.5,item
17978462974699443,Person,0.5,object
18005382265459989,Person,0.5,object
267949976607343_713771973443155,Belt,0.5,object
267949976607343_693984715421881,Slope,0.5,item
17933134664429040,Top,0.5,object
18221510416085524,Person,0.5,object
17946075923194280,Person,0.5,object
17953451417041972,Table,0.5,object
267949976607343_642147010605652,Person,0.5,object
267949976607343_608636757290011,Clothing,0.5,object
267949976607343_713274156826270,Publication,0.5,item
17969251753686181,Outerwear,0.5,object
267949976607343_632207551599598,Coat,0.5,object
267949976607343_730201275133558,Hat,0.5,object
17997957550474251,Hat,0.5,object
267949976607343_632310651589288,Clothing,0.5,object
267949976607343_658155822338104,Clothing,0.5,object
17940180821186171,Clothing,0.5,object
267949976607343_663147911838895,Glasses,0.5,object
267949976607343_658152609005092,Poster,0.5,object
267949976607343_610918670395153,Clothing,0.5,object
267949976607343_712481033572249,Hat,0.5,object
17972451517644592,Person,0.5,object
267949976607343_734339754719710,Symbol,0.5,item
267949976607343_657814782372208,Slope,0.5,item
17955905590778760,Clothing,0.5,object
18184156894173103,Packaged goods,0.5,object
267949976607343_609366103883743,Logo,0.5,item
267949976607343_455705249800252,Person,0.5,object
267949976607343_656157069204646,Belt,0.5,object
267949976607343_474886751260980,Clothing,0.5,object
17947891687933847,Top,0.5,object
267949976607343_665511521602534,Person,0.5,object
267949976607343_699653678188318,Shirt,0.5,object
267949976607343_689595942527425,Trumpet,0.5,object
17964827812697927,Building,0.5,object
267949976607343_497636425379280,Person,0.5,object
17963855860983428,Glasses,0.5,object
267949976607343_716277536525932,Flag,0.5,object
267949976607343_660140615472958,Packaged goods,0.5,object
18036096376386003,Glasses,0.5,object
267949976607343_705071264313226,Clothing,0.5,object
267949976607343_619149542905399,Clothing,0.5,object
267949976607343_681731193313900,Pants,0.5,object
17904089795664524,Table top,0.5,object
267949976607343_691066992380320,Packaged goods,0.5,object
267949976607343_701247411362278,Shoe,0.5,object
267949976607343_702023997951286,Symbol,0.5,item
267949976607343_727417038745315,Slope,0.5,item
267949976607343_640991527387867,Outerwear,0.5,object
18016676617423341,Top,0.5,object
267949976607343_625917035561983,Person,0.5,object
267949976607343_2265960520237609,Clothing,0.5,object
18059110555343879,Window,0.5,object
267949976607343_682336139920072,Jacket,0.5,object
267949976607343_683562103130809,Wrinkle,0.5,item
267949976607343_707972010689818,Person,0.5,object
17909482754635010,Person,0.5,object
18024063124396797,Person,0.5,object
267949976607343_682336139920072,Outerwear,0.5,object
17916904925611024,Clothing,0.5,object
17951808089008671,Packaged goods,0.51,object
267949976607343_789939668921368,Coat,0.51,object
267949976607343_720923409394678,Symbol,0.51,item
267949976607343_664283635058656,Glasses,0.51,object
