ID,Class,Percent,Subclass
7120372484049816838,Person,0.5,object
7137757605404888325,Footwear,0.5,object
7151055678486990085,Glasses,0.5,object
7115161088219565317,Glasses,0.5,object
7123561385224621318,Table top,0.5,object
7149648521845591302,Person,0.5,object
7123970382071123206,Person,0.5,object
7143393316858514694,Person,0.5,object
7151055678486990085,Recreation,0.5,item
7123006953135131909,Number,0.5,item
7131493637380132102,Clothing,0.5,object
7143765546046115078,Clothing,0.5,object
7158599839259856134,Packaged goods,0.5,object
7125758348171005189,Person,0.5,object
7149517499111968006,Person,0.5,object
7157773223302679814,Person,0.5,object
7139326490860195078,Glasses,0.5,object
7121132876665556229,Person,0.5,object
7135950309423074565,Pants,0.5,object
7126507412969753862,Furniture,0.5,object
7121355653561502982,Picture frame,0.5,object
7139246317414501637,Pants,0.5,object
7117269425203514630,Hat,0.5,object
7115050482179050758,Glasses,0.5,object
7128889890720304390,Clothing,0.5,object
7128500027785301253,Pants,0.5,object
7149652777482964230,Top,0.5,object
7148520263263489286,Necklace,0.51,object
7126561370450988293,Person,0.51,object
7132503317246233862,Top,0.51,object
7115793869152734470,Person,0.51,object
7120608894753230086,Person,0.51,object
7120925234470849798,Top,0.51,object
7115851955330632965,Person,0.51,object
7130026941838560518,Person,0.51,object
7142701810724244742,Clothing,0.51,object
7124650179692727557,Microphone,0.51,object
7158144174741703942,Person,0.51,object
7154705772268489989,Outerwear,0.51,object
7158599839259856134,Clothing,0.51,object
7127056462550961414,Glasses,0.51,object
7136011904815828230,Table,0.51,object
7140661248114330886,Glasses,0.51,object
7123006953135131909,Web page,0.51,item
7115805808331377926,Person,0.51,object
7142701810724244742,Person,0.51,object
7132933035841850629,Top,0.51,object
7141433328338603270,Person,0.51,object
7130613363570117894,Clothing,0.51,object
7158760403244256517,Person,0.51,object
7156967662030032134,Suit,0.51,object
7127247191990603014,Suit,0.51,object
7141495087296515334,Tie,0.51,object
7142081541441686789,Packaged goods,0.51,object
7152874891794976006,Toy vehicle,0.51,object
7145935876328082694,Person,0.51,object
7156967662030032134,Table,0.51,object
7117603422920117509,Signage,0.51,item
7147734526565944582,Clothing,0.51,object
7156930375321718022,Person,0.51,object
7138202510384286982,Packaged goods,0.51,object
7146249449340226821,Stadium,0.51,object
7141433328338603270,Home appliance,0.51,object
7157697379070676230,Shoe,0.51,object
7127337681721232646,Top,0.52,object
7125542547786632453,Clothing,0.52,object
7159999922224286982,Tableware,0.52,object
7136914418784374021,Graphics,0.52,item
7145165221307501829,Person,0.52,object
7117411123879496966,Person,0.52,object
7122152605270265093,Brand,0.52,item
7145433077567868166,Glasses,0.52,object
7128401117561523462,Clothing,0.52,object
7149517499111968006,Clothing,0.52,object
7136295645966585093,Person,0.52,object
7148896985003789573,Luggage & bags,0.52,object
7130613363570117894,Person,0.52,object
7153666557539798277,Pants,0.52,object
7122226385124429061,Graphic design,0.52,item
7115908390257233157,Glasses,0.52,object
7125145950728752389,Microphone,0.52,object
7153374801409707270,Fur,0.52,item
7126561370450988293,Clothing,0.52,object
7137387185472392453,Clothing,0.52,object
7159946434735836422,Graphic design,0.52,item
7119957986759658758,Clothing,0.52,object
7115793869152734470,Clothing,0.52,object
7151733451157261573,Person,0.52,object
7154720598432812294,Person,0.52,object
7149659243052944646,Bracelet,0.52,object
7135950309423074565,Top,0.52,object
7118068834459782405,Hat,0.52,object
7157885377854917893,Furniture,0.52,object
7152874891794976006,Person,0.52,object
7149706055642008838,Logo,0.52,item
7140661248114330886,Person,0.52,object
7149936616763591941,Pants,0.52,object
7135871698351459589,Shirt,0.52,object
7127753826043448581,Clothing,0.52,object
7146557443433041157,Clothing,0.53,object
7145622898441489669,Person,0.53,object
7117603422920117509,Soil,0.53,item
7115050482179050758,Clothing,0.53,object
7150126533603069189,Clothing,0.53,object
7133912686697434373,Active shirt,0.53,item
7155198217771060486,Competition event,0.53,item
7123326615911681285,Clothing,0.53,object
7126678238155279621,Hat,0.53,object
7132480302617873669,Graphics,0.53,item
7137801938913004806,Hat,0.53,object
7131015973125115142,Glasses,0.53,object
7136914418784374021,Fictional character,0.53,item
7132847399856393478,Person,0.53,object
7137827454768385285,Shoe,0.53,object
7115477908256214278,Person,0.53,object
7138447266934902022,Suit,0.53,object
7149171658169847045,Top,0.53,object
7143600673618218246,Advertising,0.53,item
7137435201960955141,Packaged goods,0.53,object
7157441811538038022,Hat,0.53,object
7123197776908832006,Book,0.53,object
7140046388200525062,Chair,0.53,object
7141495087296515334,Top,0.53,object
7125907541665565958,Suit,0.53,object
7155198217771060486,Banner,0.53,item
7121672419798027525,Clothing,0.53,object
7115738690105756933,Wrinkle,0.53,item
7147701638466227483,Glasses,0.53,object
7118068834459782405,Person,0.53,object
7157335164136230149,Bottled and jarred packaged goods,0.53,object
7136259666207706373,Top,0.53,object
7118536238520438021,Person,0.53,object
7149517499111968006,Racket,0.53,object
7160041692911930630,Top,0.53,object
7121355653561502982,Outerwear,0.53,object
7121471037409201413,Person,0.53,object
7120925234470849798,Table top,0.53,object
7119115867824147717,Hat,0.53,object
7126502403855240454,Clothing,0.53,object
7145033272052010246,Luggage & bags,0.53,object
7117411123879496966,Suit,0.53,object
7158451031116991750,Advertising,0.53,item
7122794926173080837,Glasses,0.53,object
7122794926173080837,Clothing,0.54,object
7128401117561523462,Glasses,0.54,object
7143985301768260870,Footwear,0.54,object
7152150581144980742,Helmet,0.54,object
7128124773128752389,Glasses,0.54,object
7144132461633490181,Clothing,0.54,object
7153302688556420358,Entertainment,0.54,item
7151392476425751813,Clothing,0.54,object
7132631064148757765,Spokesperson,0.54,item
7123937868384308485,Person,0.54,object
7117660810549284102,Portrait,0.54,item
7149171658169847045,Person,0.54,object
7157847876784131333,Shirt,0.54,object
7130805243079675141,Clothing,0.54,object
7124801453247548678,Pants,0.54,object
7157057448648494341,Person,0.54,object
7116848776790166790,Glasses,0.54,object
7139582514061905157,Top,0.54,object
7140012090147736837,Clothing,0.54,object
7158929967097728262,Person,0.54,object
7132631064148757765,Singer,0.54,item
7147734526565944582,Outerwear,0.54,object
7118340242536434950,Person,0.54,object
7126936109073976582,Hat,0.54,object
7120415083867491589,Top,0.54,object
7137637065616821509,Clothing,0.54,object
7136259666207706373,Glasses,0.54,object
7157697379070676230,Person,0.54,object
7137711474922786053,Glasses,0.54,object
7115738690105756933,Photo caption,0.54,item
7119808655352024326,Glasses,0.54,object
7122226385124429061,Graphics,0.54,item
7136685764212968710,Screenshot,0.54,item
7143765546046115078,Watch,0.54,object
7122850614760967429,Coat,0.54,object
7140298643613011206,Person,0.54,object
7122152605270265093,Web page,0.54,item
7138527757897567493,Shoe,0.54,object
7145935876328082694,Clothing,0.54,object
7138821558675541254,Clothing,0.54,object
7130256899898887430,Person,0.54,object
7121839869701410054,Person,0.54,object
7120372484049816838,Clothing,0.54,object
7144371995495419141,Person,0.54,object
7130286692325494022,Person,0.54,object
7138398745724603653,Tie,0.54,object
7145165221307501829,Clothing,0.54,object
7141734333705997574,Person,0.54,object
7137827454768385285,Home appliance,0.55,object
7124813427159158021,Top,0.55,object
7129273713110813958,Clothing,0.55,object
7147312977522232581,Glasses,0.55,object
7121294140163378437,Book,0.55,object
7159604487873727750,Packaged goods,0.55,object
7135818366207479046,Screenshot,0.55,item
7159624979728878854,Child,0.55,item
7120415083867491589,Pants,0.55,object
7136167177450720517,Outerwear,0.55,object
7140818882641661189,Person,0.55,object
7159697847498083590,Lighting,0.55,object
7148384658416307461,Clothing,0.55,object
7148435207635406085,Person,0.55,object
7159999922224286982,Packaged goods,0.55,object
7159946434735836422,Publication,0.55,item
7125329891049934085,Person,0.55,object
7149652777482964230,Table top,0.55,object
7115805808331377926,Clothing,0.55,object
7140333564603731206,Clothing,0.55,object
7136914418784374021,Nail,0.55,item
