ID,Class,Percent,Subclass
211857482296579_622144956249122,Event,0.73,item
18167265103217123,Screenshot,0.73,item
211857482296579_622059209271504,Packaged goods,0.73,object
211857482296579_731558411654916,Event,0.73,item
211857482296579_673533870790704,Leisure,0.73,item
211857482296579_642617283882363,Outerwear,0.73,object
17980437028716916,Helmet,0.73,object
211857482296579_644658590344899,Event,0.73,item
211857482296579_774699626910968,Event,0.73,item
17863851929708555,Art,0.73,item
211857482296579_622144956249122,Mobile phone,0.73,item
17979679342724747,Flooring,0.73,item
17971502347744108,Person,0.73,object
211857482296579_732436804900410,Event,0.73,item
211857482296579_733066411504116,Event,0.73,item
211857482296579_782240233015537,Entertainment,0.73,item
211857482296579_642043277357062,Windbreaker,0.73,item
211857482296579_616263803184378,Speech,0.73,item
211857482296579_660981305379294,Rectangle,0.73,item
17917895096413073,Recreation,0.73,item
17957216464873775,Electronic device,0.73,item
211857482296579_664433618367396,Entertainment,0.73,item
17950886561137953,White-collar worker,0.73,item
17957216464873775,Automotive exterior,0.73,item
17947497302033272,Grass,0.73,item
211857482296579_616872186456873,Clothing,0.73,object
211857482296579_642051880605570,Person,0.73,object
211857482296579_660981305379294,Packaged goods,0.73,object
211857482296579_644575880189187,T-shirt,0.73,item
17947471049098194,Glasses,0.73,object
211857482296579_1045438286342846,Clothing,0.73,object
211857482296579_661134945363930,Shorts,0.73,item
211857482296579_732299774914113,Leisure,0.73,item
211857482296579_661156402028451,Speech,0.73,item
211857482296579_646476936829731,T-shirt,0.73,item
17980812691639081,Palm tree,0.73,item
211857482296579_658993155578109,Font,0.73,item
211857482296579_659075268903231,Person,0.73,object
211857482296579_1050848718868781,Crew,0.73,item
211857482296579_644223093761872,White-collar worker,0.73,item
211857482296579_644890133655078,Electronic device,0.73,item
17922647999339249,Event,0.73,item
211857482296579_620052152805543,Bookcase,0.73,item
211857482296579_1050848718868781,Pole,0.73,item
211857482296579_661156402028451,Event,0.73,item
211857482296579_778406870153540,Fun,0.73,item
211857482296579_619489592861799,Sky,0.73,item
211857482296579_731664491644308,Event,0.73,item
211857482296579_737980491012708,Official,0.73,item
18256868746098282,Person,0.73,object
211857482296579_659311492212942,T-shirt,0.73,item
211857482296579_617348083075950,Event,0.73,item
18253983139116898,Event,0.73,item
18247052557138940,Thumb,0.73,item
211857482296579_620724022830326,Personal luxury car,0.73,item
211857482296579_732299774914113,Jewellery,0.73,item
17909099969505796,Tradition,0.73,item
18102130114290596,Human settlement,0.73,item
211857482296579_646745046802920,Sports equipment,0.73,item
211857482296579_732299774914113,City,0.73,item
18250265608189533,Electronic device,0.73,item
17953060918918426,Crowd,0.73,item
18175677523223964,Service,0.73,item
211857482296579_620193606124731,Advertising,0.73,item
17971502347744108,Electricity,0.73,item
17874068639717761,Event,0.73,item
17980437028716916,Recreation,0.73,item
17980812691639081,Event,0.73,item
211857482296579_1049153849066105,Leisure,0.73,item
211857482296579_661134945363930,T-shirt,0.73,item
211857482296579_1049153849066105,Audio equipment,0.73,item
18167265103217123,Multimedia,0.73,item
211857482296579_642968453847246,Recreation,0.73,item
17974114642806603,Person,0.73,object
211857482296579_736473864496704,Event,0.73,item
211857482296579_736473864496704,Electric blue,0.73,item
18128770687305115,Electronic device,0.73,item
211857482296579_649514916525933,Font,0.73,item
18318566458039685,Multimedia,0.73,item
17948040971284194,Advertising,0.73,item
211857482296579_668159021328189,Clothing,0.73,object
211857482296579_666978864779538,Road,0.73,item
211857482296579_637734911037267,T-shirt,0.73,item
211857482296579_653570609453697,Suit,0.73,item
17978184229701595,Font,0.73,item
17980584262652962,Fan,0.73,item
211857482296579_630469175097174,Terrestrial plant,0.73,item
18322134559002502,Sportswear,0.73,item
211857482296579_648959743248117,Clothing,0.73,object
211857482296579_653867362757355,Television program,0.73,item
18153173398267826,Eyewear,0.73,item
18153173398267826,Event,0.73,item
18155784574267686,Engineering,0.73,item
18305693803050398,Font,0.73,item
211857482296579_629715065338222,Entertainment,0.73,item
211857482296579_637636574380434,Font,0.73,item
18128770687305115,Screenshot,0.73,item
17957207419969373,Crowd,0.73,item
18313074715060623,Electronic device,0.73,item
17977276066656461,Person,0.73,object
211857482296579_634734014701052,Fun,0.73,item
211857482296579_634734014701052,T-shirt,0.73,item
211857482296579_736681591142598,Electric blue,0.73,item
17957285654123762,Entertainment,0.73,item
17957285654123762,Display device,0.73,item
211857482296579_736681591142598,Event,0.73,item
18312152407031872,Event,0.73,item
18223502698199824,Fun,0.73,item
17957285654123762,Event,0.73,item
211857482296579_759970108436522,Team,0.73,item
17952298484081471,Event,0.73,item
211857482296579_650118929798865,Furniture,0.73,object
211857482296579_667544531389638,Person,0.73,object
211857482296579_637564561054302,Technology,0.73,item
17952298484081471,Fun,0.73,item
