ID,Class,Percent,Subclass
211857482296579_634895821321176,Microphone,0.74,object
211857482296579_735702877907136,Clothing,0.74,object
211857482296579_974671419868681,Desk,0.74,item
211857482296579_583135473268127,Event,0.74,item
211857482296579_1350291182163500,Top,0.74,object
211857482296579_583135473268127,Leisure,0.74,item
211857482296579_582945219885136,Hall,0.74,item
211857482296579_1314807662593818,Recreation,0.74,item
211857482296579_638168040993954,Event,0.74,item
211857482296579_582945219885136,Window,0.74,item
211857482296579_1314807662593818,Suit,0.74,item
211857482296579_398764612275708,Person,0.74,object
211857482296579_637636574380434,Microphone,0.74,object
211857482296579_735702877907136,Wrinkle,0.74,item
211857482296579_1100231473927838,City,0.74,item
211857482296579_1100231473927838,Human settlement,0.74,item
211857482296579_655930142551077,Electric blue,0.74,item
211857482296579_637564561054302,Person,0.74,object
211857482296579_399431089025757,Event,0.74,item
211857482296579_398764612275708,Event,0.74,item
211857482296579_669863781157713,City,0.74,item
211857482296579_587093712918138,Event,0.74,item
211857482296579_1097703567831606,City,0.74,item
211857482296579_637734911037267,Event,0.74,item
211857482296579_974671419868681,Event,0.74,item
211857482296579_801799590990822,Clothing,0.74,object
211857482296579_460453132791961,Event,0.74,item
211857482296579_684612939682797,Leisure,0.74,item
211857482296579_7986675278041080,Youth,0.74,item
211857482296579_735702877907136,White-collar worker,0.74,item
211857482296579_1097703567831606,Tree,0.74,item
211857482296579_669863781157713,Girder bridge,0.74,item
211857482296579_796580728293344,Stage equipment,0.74,item
211857482296579_1365208157618971,Clothing,0.74,object
211857482296579_629715065338222,Snapshot,0.74,item
211857482296579_656356205545064,Flowerpot,0.74,item
211857482296579_3407176236177425,Person,0.74,object
211857482296579_3407176236177425,Tree,0.74,item
211857482296579_3407176236177425,Event,0.74,item
211857482296579_794950648352732,Electronic device,0.74,item
211857482296579_668936971414064,Event,0.74,item
211857482296579_668936971414064,Competition event,0.74,item
211857482296579_728991371911620,Event,0.74,item
211857482296579_736681591142598,White-collar worker,0.74,item
211857482296579_736681591142598,Formal wear,0.74,item
