ID,Class,Percent,Subclass
267949976607343_690781019075584,Pole,0.72,item
267949976607343_705428674277485,Electric blue,0.72,item
267949976607343_719504379536581,Formal wear,0.72,item
267949976607343_657110585775961,Photo caption,0.72,item
267949976607343_689595942527425,Person,0.72,object
267949976607343_731726004981085,Event,0.72,item
267949976607343_696387128514973,Gadget,0.72,item
267949976607343_702153074605045,Outerwear,0.72,object
267949976607343_662518825235137,Coat,0.72,object
267949976607343_668317534655266,Team,0.72,item
267949976607343_689219802565039,Beard,0.72,item
267949976607343_721367109350308,Person,0.72,object
267949976607343_631646341839664,Team,0.72,item
267949976607343_728827008604318,Hat,0.72,object
267949976607343_641280240692329,Event,0.72,item
267949976607343_721367109350308,Publication,0.72,item
267949976607343_425906339499396,Beard,0.72,item
267949976607343_722339355919750,Formal wear,0.72,item
267949976607343_691084485711904,Person,0.72,object
267949976607343_637054361114917,Facial hair,0.72,item
267949976607343_610969277056759,Formal wear,0.72,item
267949976607343_685309752956044,Outerwear,0.72,object
267949976607343_685316909621995,Leisure,0.72,item
267949976607343_611452033675150,Thumb,0.72,item
267949976607343_610407603779593,Wrinkle,0.72,item
267949976607343_721023649384654,Advertising,0.72,item
267949976607343_687011286119224,Photo caption,0.72,item
267949976607343_383083547300239,Display device,0.72,item
267949976607343_614570380029982,Communication Device,0.72,item
267949976607343_709361160550903,Event,0.72,item
267949976607343_706497207503965,Font,0.72,item
267949976607343_705378997615786,Microphone,0.72,object
267949976607343_687011286119224,Advertising,0.72,item
267949976607343_689650399188646,Person,0.72,object
267949976607343_689392222547797,Publication,0.72,item
267949976607343_722399209247098,Font,0.72,item
267949976607343_685286819625004,Wrinkle,0.72,item
267949976607343_704395154380837,Advertising,0.72,item
267949976607343_656943692459317,Games,0.72,item
267949976607343_668307477989605,Public speaking,0.72,item
267949976607343_696387128514973,Stage equipment,0.72,item
267949976607343_390661899681788,Tie,0.72,object
267949976607343_728165582003794,Shoe,0.72,object
267949976607343_707865954033757,Font,0.72,item
267949976607343_686204412866578,Sign language,0.72,item
267949976607343_612356133584740,Poster,0.72,item
267949976607343_629957965157890,Blazer,0.72,item
267949976607343_629957965157890,Advertising,0.72,item
267949976607343_402077582106985,Recreation,0.72,item
267949976607343_656157069204646,Photo caption,0.72,item
267949976607343_656157069204646,Event,0.72,item
267949976607343_669383944548625,Hat,0.72,object
267949976607343_656157069204646,Advertising,0.72,item
267949976607343_658152609005092,Advertising,0.72,item
267949976607343_688169246003428,Outerwear,0.72,object
267949976607343_721403462680006,Chair,0.72,item
267949976607343_721403462680006,Engineering,0.72,item
267949976607343_654829902670696,Person,0.72,object
267949976607343_726728138814205,Facade,0.72,item
267949976607343_691014419052244,Dress shirt,0.72,item
267949976607343_578713573922868,Polo shirt,0.72,item
267949976607343_612354423584911,Advertising,0.72,item
267949976607343_610407603779593,Clothing,0.72,object
267949976607343_612258696927817,Advertising,0.72,item
267949976607343_726227818864237,Engineering,0.72,item
267949976607343_733496318137387,Formal wear,0.72,item
267949976607343_707865954033757,T-shirt,0.72,item
267949976607343_641191907367829,Poster,0.72,item
267949976607343_733496318137387,Advertising,0.72,item
267949976607343_706710237482662,Flag,0.72,object
267949976607343_688426515977701,White-collar worker,0.72,item
267949976607343_610918670395153,Event,0.72,item
267949976607343_475727397820194,Suit,0.72,item
267949976607343_727525275401158,Art,0.72,item
267949976607343_686072712879748,Happy,0.72,item
267949976607343_686072712879748,Thumb,0.72,item
267949976607343_655286999024937,Hat,0.72,item
267949976607343_728165582003794,Jeans,0.72,object
267949976607343_718834566270229,Event,0.72,item
267949976607343_614252610061759,Clothing,0.72,object
267949976607343_709302133890139,Monochrome,0.72,item
267949976607343_613466110140409,Advertising,0.72,item
267949976607343_631439151676438,Stage equipment,0.72,item
267949976607343_730578864696496,Presentation,0.72,item
267949976607343_668339051319781,Happy,0.72,item
267949976607343_721202856033400,Knee,0.72,item
267949976607343_611631050323915,Stage equipment,0.72,item
267949976607343_611712633649090,Font,0.72,item
267949976607343_629415781878775,Fun,0.72,item
267949976607343_665411898345556,Crowd,0.72,item
267949976607343_705062190980800,Event,0.72,item
267949976607343_726554042164948,T-shirt,0.72,item
267949976607343_669601167860236,Photo caption,0.72,item
267949976607343_721812352639117,Suit,0.72,item
267949976607343_726633892156963,Pattern,0.72,item
267949976607343_373599034848714,Sky,0.72,item
267949976607343_688426515977701,Font,0.72,item
267949976607343_629467045206982,Art,0.72,item
267949976607343_709302133890139,Hat,0.72,object
267949976607343_641360767350943,Shelf,0.72,item
267949976607343_666868351466851,Speech,0.72,item
267949976607343_669601167860236,Advertising,0.72,item
267949976607343_666868351466851,Facial hair,0.72,item
267949976607343_611712633649090,Formal wear,0.72,item
267949976607343_669652024521817,Wrinkle,0.72,item
267949976607343_629467045206982,Machine,0.72,item
267949976607343_612223470264673,Jewellery,0.72,item
267949976607343_3270472216500378,Television program,0.72,item
