ID,Class,Percent,Subclass
18213942352162964,Publication,0.72,item
17944128836148849,Recreation,0.72,item
17883810062684011,Player,0.72,item
17863427114787902,Smoke,0.72,item
18213942352162964,Event,0.72,item
17947595027476686,Shirt,0.72,object
18213942352162964,Job,0.72,item
17967584497763362,Clothing,0.72,object
17947289549489552,Font,0.72,item
18104479048293660,Terrestrial plant,0.72,item
17884498805716897,Fashion design,0.72,item
17931509678415361,Gadget,0.72,item
17944234316174154,Clothing,0.72,object
17943064064134108,Comb over,0.72,item
18104748019291595,Formal wear,0.72,item
18042681709367955,Happy,0.72,item
18223502698199824,Crowd,0.72,item
17967507763700058,Sign language,0.72,item
17958957305026242,City,0.72,item
17958957305026242,Event,0.72,item
17917895096413073,Competition event,0.72,item
18065030758310027,Person,0.72,object
17915060837575857,Terrestrial plant,0.72,item
17915060837575857,Screenshot,0.72,item
17963834518804014,Font,0.72,item
17852051906844844,Jewellery,0.72,item
17934404228360320,Person,0.72,object
17980584262652962,T-shirt,0.72,item
18155784574267686,Recreation,0.72,item
17959789294880683,Person,0.72,object
17909099969505796,Jewellery,0.72,item
17915493452575045,Event,0.72,item
18182752750168127,Audio equipment,0.72,item
17957285654123762,Top,0.72,object
17946929663231892,Furniture,0.72,object
17947392005292755,Bangs,0.72,item
18158069416258268,Shirt,0.72,object
17959789294880683,Competition event,0.72,item
18058229647337655,Person,0.72,object
17936424944269259,Screenshot,0.72,item
18158069416258268,Eyewear,0.72,item
17941946951211496,Person,0.72,object
17946994720919699,Rectangle,0.72,item
17946994720919699,Engineering,0.72,item
17980812691639081,Formal wear,0.72,item
17980812691639081,Flooring,0.72,item
17976629278592470,Painting,0.72,object
17847784145793204,Space,0.72,item
17978306161657468,News,0.72,item
17947017446163143,People in nature,0.72,item
17898017813583302,Screenshot,0.72,item
17970070483732204,Flag,0.72,object
17938204379417796,Event,0.72,item
17938204379417796,Leisure,0.72,item
18155784574267686,Glasses,0.72,object
18213942352162964,Person,0.72,object
17978437621603773,Screenshot,0.72,item
17969579272763738,Space,0.72,item
18033489985380820,Hat,0.72,object
17975093191611983,Circle,0.72,item
17934812021402535,Top,0.72,object
17980982257717165,City,0.72,item
17946270893177197,Person,0.72,object
18146583529283715,Games,0.72,item
17961266153049322,City,0.72,item
18208214353081638,Thumb,0.72,item
17947471049098194,Shawl,0.72,item
17957216464873775,Machine,0.72,item
17947471049098194,Event,0.72,item
17852051906844844,Christmas decoration,0.72,item
17852051906844844,Christmas ornament,0.72,item
18019393147416588,Team,0.72,item
17916403838547393,Chair,0.72,item
18322134559002502,Electric blue,0.72,item
17938840520219521,Event,0.72,item
18313504594020431,Road,0.72,item
17946360797097700,Flat panel display,0.72,item
17895625184695580,Gadget,0.72,item
17938437653173283,Event,0.72,item
18033351550383013,Pants,0.72,object
17883359702688847,Electric blue,0.72,item
17947443071062577,Fun,0.72,item
17976629278592470,Chair,0.72,item
17941152842093386,Multimedia,0.72,item
17969215792842767,T-shirt,0.72,item
18231340024135815,Person,0.72,object
17929839209455380,Crowd,0.72,item
17929839209455380,Fun,0.72,item
17956494433913362,Advertising,0.72,item
18234375460150876,Recreation,0.72,item
17966604028948329,Official,0.72,item
17967022018926239,Clock,0.72,item
17985153835600299,Happy,0.72,item
17924121692465140,Competition event,0.72,item
17966287357873230,Person,0.72,object
18250265608189533,Gadget,0.72,item
17982722980520183,Urban design,0.72,item
17954470414987027,Electric blue,0.72,item
17983830664636360,White-collar worker,0.72,item
18006123118454237,City,0.72,item
17966287357873230,Collar,0.72,item
17924121692465140,Leisure,0.72,item
17966287357873230,Dress shirt,0.72,item
18008487325469582,Baseball cap,0.72,item
17924185862549289,Team,0.72,item
17926918331397684,Person,0.72,object
17858271203817322,Event,0.72,item
17994728887556273,Event,0.72,item
18256868746098282,Event,0.72,item
18306041575029489,Event,0.72,item
18234375460150876,Top,0.72,object
18234375460150876,Person,0.72,object
17927038463426673,Watch,0.72,object
17972644687622366,Landscape,0.72,item
17955798920154179,Multimedia,0.72,item
17949302171100076,News,0.72,item
17966091403940696,Eyewear,0.72,item
17926981400304193,Tree,0.72,item
17984125153610343,Art,0.72,item
17926981400304193,Crowd,0.72,item
17950604134962345,Event,0.72,item
18006123118454237,Laptop,0.72,item
17953369991304257,Clothing,0.72,object
17987936524596039,News,0.72,item
17973665914621946,Person,0.72,object
17965720894761816,Performing arts,0.72,item
17956494433913362,Event,0.72,item
17971502347744108,Entertainment,0.72,item
17957011330939316,Wrinkle,0.72,item
17948784656488567,Screenshot,0.72,item
17928296606474185,Event,0.72,item
17903860613553172,Font,0.72,item
17966362507750256,Machine,0.72,item
17957011330939316,Publication,0.72,item
17957011330939316,Font,0.72,item
17971502347744108,Suit,0.72,item
17953837037039504,Team,0.72,item
17983854571603363,Parallel,0.72,item
17982808732559401,T-shirt,0.72,item
17950057667199563,Event,0.72,item
17957011330939316,Clothing,0.72,object
17954470414987027,Tie,0.72,item
17922879992447179,Publication,0.72,item
18232559422125847,Suit,0.72,object
17921054648487667,Pants,0.72,object
17927038463426673,Thumb,0.72,item
18232559422125847,Tie,0.72,object
17903087216603841,Event,0.72,item
18252529531188210,Gas,0.72,item
17946617606245328,Multimedia,0.73,item
17909099969505796,Tradition,0.73,item
17926600475545345,Coffee table,0.73,item
17961612832940779,Top,0.73,object
17938437653173283,Chair,0.73,item
17926600475545345,Leisure,0.73,item
18322134559002502,Sportswear,0.73,item
17997678307551027,Font,0.73,item
18153173398267826,Event,0.73,item
17874068639717761,Event,0.73,item
17946360797097700,Road,0.73,item
17951877182194354,Event,0.73,item
17946360797097700,Motor vehicle,0.73,item
18250265608189533,Electronic device,0.73,item
18153173398267826,Eyewear,0.73,item
17966765209927678,Screenshot,0.73,item
17965720894761816,Person,0.73,object
17980584262652962,Fan,0.73,item
17957285654123762,Event,0.73,item
17847784145793204,Flat panel display,0.73,item
17936732168419584,Spokesperson,0.73,item
17936732168419584,Official,0.73,item
17967022018926239,Person,0.73,object
18175677523223964,Service,0.73,item
17947017446163143,Sign language,0.73,item
17936775662293181,Event,0.73,item
17937560012434887,Coat,0.73,object
17955826073122655,Wrinkle,0.73,item
17983393306567311,Crowd,0.73,item
17937560012434887,Entertainment,0.73,item
18247052557138940,Event,0.73,item
18167265103217123,Multimedia,0.73,item
18167265103217123,Screenshot,0.73,item
18247052557138940,Thumb,0.73,item
17980812691639081,Palm tree,0.73,item
17980812691639081,Event,0.73,item
17937576302175014,Event,0.73,item
17874068639717761,Stage equipment,0.73,item
17902196657641955,Clothing,0.73,object
17999786911482528,Collar,0.73,item
18158069416258268,Glasses,0.73,object
17955798920154179,Person,0.73,object
18155784574267686,Engineering,0.73,item
18155784574267686,T-shirt,0.73,item
17950886561137953,White-collar worker,0.73,item
18247052557138940,Singer,0.73,item
18000295267469344,Technology,0.73,item
17952298484081471,Fun,0.73,item
17946270893177197,Suit,0.73,item
18084998839305654,Overhead power line,0.73,item
17941720598493699,Fun,0.73,item
18084998839305654,Wind,0.73,item
17993339857552804,Clothing,0.73,object
17960067658812706,Event,0.73,item
17980437028716916,Helmet,0.73,object
17966287357873230,Sleeve,0.73,item
18084998839305654,Tree,0.73,item
18102130114290596,Human settlement,0.73,item
17969371579729018,Event,0.73,item
17966260867706727,Suit,0.73,item
17985244936536329,Output device,0.73,item
17993418553498456,Happy,0.73,item
17953180975912149,Event,0.73,item
17898017813583302,T-shirt,0.73,item
17966362507750256,Pants,0.73,object
17979679342724747,Flooring,0.73,item
18318566458039685,Multimedia,0.73,item
17966362507750256,Door,0.73,item
17966362507750256,T-shirt,0.73,item
17966362507750256,Event,0.73,item
17922647999339249,Event,0.73,item
17960020456997327,Multimedia,0.73,item
17990215636475463,Event,0.73,item
17942312096350290,Crowd,0.73,item
17943656060194750,Event,0.73,item
17943656060194750,Crowd,0.73,item
17921054648487667,T-shirt,0.73,item
17954373157972897,Person,0.73,object
18058229647337655,Clothing,0.73,object
17990931415492209,Audio equipment,0.73,item
17944173269219058,Multimedia,0.73,item
18305693803050398,Font,0.73,item
17960359567900576,Eyelash,0.73,item
17980437028716916,Recreation,0.73,item
17954938187297435,Terrestrial plant,0.73,item
18253983139116898,Event,0.73,item
17971502347744108,Electricity,0.73,item
18035535802378686,Flap,0.73,item
17960578946068922,Road surface,0.73,item
17922085481567051,Clothing,0.73,object
17952298484081471,Event,0.73,item
17977276066656461,Person,0.73,object
18033351550383013,Event,0.73,item
17967584497763362,Stadium,0.73,item
18146583529283715,Fun,0.73,item
17961266153049322,Leisure,0.73,item
17961266153049322,Building,0.73,item
18146583529283715,Leisure,0.73,item
17939966258071673,Screenshot,0.73,item
17969215792842767,Font,0.73,item
17972644687622366,Wind wave,0.73,item
17854971524813295,Event,0.73,item
17966091403940696,Font,0.73,item
18041421523376097,Formal wear,0.73,item
17984125153610343,Event,0.73,item
17978184229701595,Font,0.73,item
17953060918918426,Crowd,0.73,item
18128770687305115,Electronic device,0.73,item
18128770687305115,Screenshot,0.73,item
17966091403940696,Necklace,0.73,object
17917895096413073,Recreation,0.73,item
17888620550656377,Electric blue,0.73,item
17958957305026242,Display device,0.73,item
17884081778672188,Audio equipment,0.73,item
17850475850826949,Event,0.73,item
18256868746098282,Person,0.73,object
17969579272763738,Clothing,0.73,object
17943064064134108,Technology,0.73,item
17957216464873775,Automotive exterior,0.73,item
17969579272763738,Multimedia,0.73,item
17929839209455380,Formal wear,0.73,item
17947471049098194,Glasses,0.73,object
17962494352852377,Music venue,0.73,item
17964870223852388,Smile,0.73,item
18008487325469582,Font,0.73,item
17903860613553172,Clothing,0.73,object
17965001110895921,Person,0.73,object
17948040971284194,Advertising,0.73,item
