ID,Class,Percent,Subclass
18103037923291244,Event,0.74,item
17990273296602429,Happy,0.74,item
17849573453845495,Event,0.74,item
17907969263644167,Building,0.74,item
18049846930366789,Facial hair,0.74,item
17957923379047375,Thumb,0.74,item
17999040355504755,Event,0.74,item
17919950699548811,Electric blue,0.74,item
17934342944436889,Publication,0.74,item
17904089795664524,Poster,0.74,item
17940180821186171,Jewellery,0.74,item
18232027924148379,Event,0.74,item
17902944683640723,Event,0.74,item
18184156894173103,Wrinkle,0.74,item
18144592945260845,Clothing,0.74,object
17968338811917192,Happy,0.74,item
18103037923291244,Technology,0.74,item
17853447917793433,Flooring,0.74,item
18103037923291244,Crowd,0.74,item
17968586119755989,Tie,0.74,object
17941697624024297,Crowd,0.74,item
17960632636955985,Stadium,0.74,item
17907969263644167,Event,0.74,item
17904089795664524,Event,0.74,item
17916290225622149,Event,0.74,item
17941697624024297,Pole,0.74,item
17965664221948789,Font,0.74,item
17968338811917192,Event,0.74,item
17945668217153931,Event,0.74,item
17960315656946718,Writing implement,0.74,item
17916339851520198,Facial hair,0.74,item
17966856658699427,Recreation,0.74,item
17943814067211674,Event,0.74,item
17931595790291620,Event,0.74,item
17958329449889342,Hat,0.74,object
17884970786665944,Event,0.74,item
17904694496526991,Event,0.74,item
17958491167967998,Electric blue,0.74,item
18147907198273878,Font,0.74,item
17853670316837543,News,0.74,item
17931799265516791,Formal wear,0.74,item
18147644032274951,Display device,0.74,item
17967524626762535,Event,0.74,item
17943568757181846,Electronic device,0.74,item
17942940749350670,Moustache,0.74,item
17976317563600765,Stadium,0.74,item
17916339851520198,Wrinkle,0.74,item
17997957550474251,Event,0.74,item
18255800947099834,Event,0.74,item
17967715714745731,Event,0.74,item
17884970786665944,Suit,0.74,item
17987127028603496,Person,0.74,object
17981596723618700,Suit,0.74,item
17934264101191502,Event,0.74,item
18285817780076677,Snapshot,0.74,item
17958006743074004,Footwear,0.74,object
17940180821186171,Event,0.74,item
17939162084373556,T-shirt,0.74,item
17931985901334716,Photo caption,0.74,item
17931985901334716,Event,0.74,item
17931985901334716,Poster,0.74,item
17944313006284762,Fun,0.74,item
18179164993233513,Technology,0.74,item
17968594708735629,Publication,0.74,item
17998607119476449,Entertainment,0.74,item
17990124046596995,Event,0.74,item
17990124046596995,Official,0.74,item
17958491167967998,Clothing,0.74,object
18228618142153520,Technology,0.74,item
18228618142153520,Audio equipment,0.74,item
18179164993233513,Event,0.74,item
18066717874311012,Font,0.74,item
18066717874311012,Event,0.74,item
17851552055843745,Event,0.74,item
18311572375037369,Smile,0.74,item
17991569272562781,Font,0.74,item
17916339851520198,Font,0.74,item
17966582779842208,Event,0.74,item
17903650526643673,Recreation,0.74,item
17968594708735629,Movie,0.74,item
17934342944436889,Event,0.74,item
17962329562987402,Event,0.74,item
17985374773517783,Wrinkle,0.74,item
17922798341565984,Youth,0.74,item
17950601312063982,Electric blue,0.74,item
17950601312063982,Event,0.74,item
17976291868782746,Event,0.74,item
17937610781414329,Event,0.74,item
17976883540602131,Event,0.74,item
17959930448039046,Publication,0.74,item
17962941190967840,Event,0.74,item
18323182312047517,Font,0.74,item
17935305851184403,Electric blue,0.74,item
17953844921039696,Fun,0.74,item
18020811559418768,Screenshot,0.74,item
18020811559418768,Technology,0.74,item
17976317563600765,Event,0.74,item
17971828069793599,Advertising,0.74,item
18024063124396797,Recreation,0.74,item
17959291736034510,Formal wear,0.74,item
17976850981611891,Suit,0.74,item
17976850981611891,Electronic device,0.74,item
17971362394744261,Event,0.74,item
17861360744796477,Suit,0.74,item
17876265230715652,Top,0.74,object
17861360744796477,Electronic device,0.74,item
17950368805981750,Event,0.74,item
17861360744796477,Event,0.74,item
17954776208120717,Shirt,0.74,object
17978546716562944,Event,0.74,item
17960820377079763,Event,0.74,item
18324536215025764,Stage equipment,0.74,item
17978546716562944,Window,0.74,item
17961136486869283,Collar,0.74,item
18024063124396797,Event,0.74,item
18324536215025764,Event,0.74,item
18235584877124603,Event,0.74,item
18016676617423341,Formal wear,0.74,item
17951808089008671,Crowd,0.74,item
17971999177829397,Event,0.74,item
18163451743250982,Event,0.74,item
18233961256182431,Event,0.74,item
18016444534406906,Event,0.74,item
18251765434118238,Recreation,0.74,item
17952061436021070,Person,0.74,object
17959291736034510,Event,0.74,item
17924958839380755,Event,0.74,item
17936278415517525,Team,0.74,item
17935666358411181,Movie,0.74,item
17885266244695567,Event,0.74,item
17935666358411181,Event,0.74,item
18016676617423341,Event,0.74,item
17922837278574424,Photo caption,0.74,item
18163451743250982,Pole,0.74,item
17910239162614198,Event,0.74,item
17924650493575350,Event,0.74,item
18020649967439177,Folk instrument,0.74,item
18258079234105476,Event,0.74,item
17925363698441869,Dog,0.74,object
17937286625310860,Event,0.74,item
18160169830250071,Ceiling,0.74,item
18258079234105476,Team,0.74,item
18160169830250071,Event,0.74,item
17924650493575350,Crowd,0.74,item
18019983613409396,Formal wear,0.74,item
17935666358411181,Clothing,0.74,object
17952895466311596,Event,0.74,item
18258079234105476,Crowd,0.74,item
17953844921039696,Smile,0.74,item
18004084999433567,Event,0.74,item
18000953146463032,Balloon,0.74,item
17978941675617381,Advertising,0.74,item
17964811171962601,Event,0.74,item
17874747761776548,Event,0.74,item
18149554210249907,Event,0.74,item
17956150517104433,Event,0.74,item
17897339243673317,Event,0.74,item
18253009210114654,City,0.74,item
17938571465399264,Person,0.74,object
17960315656946718,Office supplies,0.74,item
17978374873688887,Flag,0.74,object
17847963803795429,Publication,0.74,item
17986885651594094,Spokesperson,0.74,item
17886912248708701,Fun,0.74,item
17938340384312078,Person,0.74,object
17949271514329852,Event,0.74,item
17874747761776548,T-shirt,0.74,item
17853587639830034,Urban area,0.74,item
17983096618635979,Font,0.74,item
17965484908848108,Person,0.74,object
17946532628018131,White-collar worker,0.74,item
17946532628018131,Electric blue,0.74,item
17985638896552096,Beard,0.74,item
17964865441780347,Event,0.74,item
17960646712768156,Person,0.74,object
17972355160616737,Tie,0.74,item
17908321061638320,Poster,0.74,item
17956358962890471,Font,0.74,item
17985638896552096,Event,0.74,item
17972788684575966,Event,0.74,item
18324161422025939,Event,0.74,item
18184453729204344,Publication,0.74,item
18184453729204344,Font,0.74,item
18005382265459989,Event,0.74,item
17853587639830034,Flag,0.74,item
17957631520887611,Event,0.74,item
17964057376868739,Event,0.74,item
17989588924587880,Electric blue,0.74,item
17975979847704284,Event,0.74,item
17952895466311596,Musician,0.74,item
17950072735999652,Event,0.74,item
17909126894631506,Beard,0.74,item
17950072735999652,Electronic device,0.74,item
17950072735999652,Stage equipment,0.74,item
17997117118533283,Landscape,0.74,item
17950249865026428,Rectangle,0.74,item
17949992204067215,Event,0.74,item
17996167051486413,Spokesperson,0.74,item
17994535246554396,Fun,0.74,item
17997263236491409,Clothing,0.74,object
18005680165481229,Event,0.74,item
17957113205003759,Event,0.74,item
17964263932773423,Event,0.74,item
17964263932773423,White-collar worker,0.74,item
18311290330000629,Event,0.74,item
18329782882051404,Event,0.74,item
18258079234105476,Person,0.74,object
17886912248708701,Flag,0.74,item
17949568358197936,Baseball cap,0.74,item
17997117118533283,Event,0.74,item
17949568358197936,Engineering,0.74,item
17964570661748589,Top,0.74,object
17979185920642952,Gas,0.74,item
17964438922864641,Abdomen,0.74,item
18311290330000629,Concert,0.74,item
17996167051486413,Wrinkle,0.74,item
17938180946188555,Moustache,0.74,item
18005382265459989,Fun,0.74,item
18168415339216426,Event,0.74,item
17981777935582482,Event,0.75,item
17936278415517525,Event,0.75,item
18328019905003834,Event,0.75,item
17941127126337984,T-shirt,0.75,item
17941321475344254,Outerwear,0.75,object
17873427311757805,Font,0.75,item
17939162084373556,Event,0.75,item
17939162084373556,Team,0.75,item
17848308242845188,Trunk,0.75,item
17985374773517783,Shirt,0.75,object
17972719963739979,Event,0.75,item
17853587639830034,Event,0.75,item
17853447917793433,Event,0.75,item
18158865334254560,Event,0.75,item
17969251753686181,Event,0.75,item
17938236689166474,Output device,0.75,item
17989588924587880,Happy,0.75,item
17989588924587880,T-shirt,0.75,item
17938180946188555,Collar,0.75,item
18158906434258617,Event,0.75,item
17959169455756787,Font,0.75,item
17853670316837543,Technology,0.75,item
18311290330000629,Magenta,0.75,item
18147907198273878,Person,0.75,object
18147907198273878,Shirt,0.75,object
17937643400250677,Font,0.75,item
17959169455756787,Microphone,0.75,item
17959169119862400,Event,0.75,item
17939237411182245,Event,0.75,item
17958491167967998,Event,0.75,item
17976317563600765,Youth,0.75,item
17959291736034510,Top,0.75,object
17940180821186171,Sharing,0.75,item
17937254978310105,Font,0.75,item
17972719963739979,Tie,0.75,object
17938571465399264,Clothing,0.75,object
18049846930366789,Clothing,0.75,object
17941697624024297,Event,0.75,item
17956940677969544,Event,0.75,item
17956839769939948,Formal wear,0.75,item
17956839769939948,Friendship,0.75,item
18000953146463032,Art,0.75,item
17960820377079763,Collar,0.75,item
17960820377079763,Electric blue,0.75,item
17956839769939948,Shirt,0.75,object
17861360744796477,Stage equipment,0.75,item
17861360744796477,Display device,0.75,item
17995063822484812,Top,0.75,object
17978546716562944,City,0.75,item
17960831504070668,Suit,0.75,item
17950723118040237,Microphone,0.75,item
17976850981611891,Electric blue,0.75,item
18324588529048163,Spokesperson,0.75,item
18028110010411764,Event,0.75,item
17964263932773423,Formal wear,0.75,item
17862766877808297,Wrinkle,0.75,item
17997263236491409,Belt,0.75,item
17964749695892349,Event,0.75,item
17980845340639624,Event,0.75,item
18034281523387048,Recreation,0.75,item
17949271514329852,Tie,0.75,item
17959930448039046,Clothing,0.75,object
17988511690523970,Clothing,0.75,object
17949568358197936,Poster,0.75,item
18329782882051404,Beauty,0.75,item
17949636914099804,Font,0.75,item
17994535246554396,Event,0.75,item
17988039166588721,Event,0.75,item
17949836564201348,Person,0.75,object
17950991980911992,Event,0.75,item
18010772062422826,Child,0.75,item
