ID,Class,Percent,Subclass
17919950699548811,Person,0.73,object
17970070483732204,Person,0.73,object
17972839969830208,Electric blue,0.73,item
17884823429685029,Poster,0.73,item
17969579272763738,Multimedia,0.73,item
17947497302033272,Grass,0.73,item
17921971862499833,Clothing,0.73,object
17976317563600765,Person,0.73,object
17995063822484812,Entertainment,0.73,item
17995063822484812,Event,0.73,item
17999786911482528,Collar,0.73,item
17958957305026242,Display device,0.73,item
18254488564138902,Facial hair,0.73,item
17903860613553172,Clothing,0.73,object
18247052557138940,Event,0.73,item
17937286625310860,Fun,0.73,item
18254488564138902,Moustache,0.73,item
18167819659247254,Event,0.73,item
18167819659247254,Technology,0.73,item
18250265608189533,Electronic device,0.73,item
17931626447278058,Event,0.73,item
18312152407031872,Event,0.73,item
17884823429685029,Event,0.73,item
17931799265516791,Event,0.73,item
17927492663418802,Thumb,0.73,item
17932671731526706,Microphone,0.73,object
18019393147416588,Event,0.73,item
18066717874311012,Book,0.73,item
17931595790291620,Font,0.73,item
17945872604141974,Font,0.73,item
17901295466661041,Font,0.73,item
18014766628419063,Happy,0.73,item
18000295267469344,Technology,0.73,item
18313074715060623,Electronic device,0.73,item
18247052557138940,Thumb,0.73,item
18247052557138940,Singer,0.73,item
17895244775607933,Person,0.73,object
17984125153610343,Event,0.73,item
18019393147416588,Crowd,0.73,item
18006123118454237,Electronic device,0.73,item
17947471049098194,Glasses,0.73,object
17993339857552804,Clothing,0.73,object
17990124046596995,Beard,0.73,item
17990124046596995,Spokesperson,0.73,item
17990124046596995,Formal wear,0.73,item
17965664221948789,Wrinkle,0.73,item
17976850981611891,Technology,0.73,item
17967715714745731,Eyewear,0.73,item
17937610781414329,Electronic device,0.73,item
17941697624024297,T-shirt,0.73,item
17946532628018131,Event,0.73,item
17946532628018131,Leisure,0.73,item
17902944683640723,Fun,0.73,item
18000953146463032,Event,0.73,item
17966582779842208,T-shirt,0.73,item
17863851929708555,Art,0.73,item
17948040971284194,Advertising,0.73,item
17962494352852377,Music venue,0.73,item
17936732168419584,Official,0.73,item
17969579272763738,Clothing,0.73,object
17943656060194750,Crowd,0.73,item
17993418553498456,Happy,0.73,item
18255800947099834,Wrinkle,0.73,item
17946360797097700,Motor vehicle,0.73,item
17946360797097700,Road,0.73,item
18022302922421699,T-shirt,0.73,item
17990931415492209,Audio equipment,0.73,item
17946115634245999,Magenta,0.73,item
17975093191611983,Screenshot,0.73,item
17943436967169450,Fun,0.73,item
17943656060194750,Event,0.73,item
17935666358411181,Advertising,0.73,item
17922798341565984,Team,0.73,item
17956358962890471,Wrinkle,0.73,item
17874068639717761,Event,0.73,item
17936732168419584,Spokesperson,0.73,item
17961266153049322,Leisure,0.73,item
17961266153049322,Building,0.73,item
17860004918764401,Person,0.73,object
18066717874311012,Facial hair,0.73,item
17936775662293181,Event,0.73,item
18254488564138902,Smile,0.73,item
17960067658812706,Event,0.73,item
18184156894173103,Grass,0.73,item
18322134559002502,Sportswear,0.73,item
17963834518804014,Rectangle,0.73,item
17888620550656377,Electric blue,0.73,item
17992290058557139,Pants,0.73,object
17916737918442337,Window,0.73,item
17900274818625206,Event,0.73,item
17967558178886061,Suit,0.73,object
17997678307551027,Font,0.73,item
17957631520887611,Photo caption,0.73,item
18256868746098282,Person,0.73,object
17952895466311596,Music,0.73,item
17985244936536329,Output device,0.73,item
17965539262742976,Landscape,0.73,item
17942513267185168,T-shirt,0.73,item
17971502347744108,Electricity,0.73,item
17898017813583302,T-shirt,0.73,item
17937286625310860,Flag,0.73,object
18241751392140991,Fun,0.73,item
17947017446163143,Sign language,0.73,item
17944173269219058,Multimedia,0.73,item
17971502347744108,Person,0.73,object
18305693803050398,Font,0.73,item
18006123118454237,Machine,0.73,item
17942513267185168,Fun,0.73,item
17944680701235917,Magenta,0.73,item
17960359567900576,Eyelash,0.73,item
18233961256182431,Leisure,0.73,item
17957390834073864,Crowd,0.73,item
18147644032274951,Vehicle registration plate,0.73,item
18008487325469582,Font,0.73,item
18008487325469582,Eyewear,0.73,item
17961612832940779,Top,0.73,object
17946270893177197,Suit,0.73,item
17884970786665944,Logo,0.73,item
17900844488677386,Electric blue,0.73,item
18318566458039685,Multimedia,0.73,item
17960020456997327,Multimedia,0.73,item
18253983139116898,Event,0.73,item
17922085481567051,Clothing,0.73,object
