ID,Class,Percent,Subclass
7159681566732520710,Tie,0.73,item
7132631064148757765,Clothing,0.73,object
7159293944143138053,T-shirt,0.73,item
7122877808203926789,Tie,0.73,item
7136393885001059590,Engineering,0.73,item
7136393885001059590,Recreation,0.73,item
7136393885001059590,Player,0.73,item
7141734333705997574,Stuffed toy,0.73,item
7116848776790166790,Music artist,0.73,item
7155198217771060486,Curtain,0.73,item
7131879665454681349,Advertising,0.73,item
7139246317414501637,Event,0.73,item
7122425160489094406,Happy,0.73,item
7122549024854412550,Event,0.73,item
7144518704032697605,Leisure,0.73,item
7118340242536434950,Thumb,0.73,item
7134868163753168133,Wrinkle,0.73,item
7159681566732520710,Event,0.73,item
7123197776908832006,White-collar worker,0.73,item
7115908390257233157,Leisure,0.73,item
7149648521845591302,Technology,0.73,item
7121839869701410054,Suit,0.73,object
7141455832692149510,Leisure,0.73,item
7144132461633490181,Person,0.73,object
7124813427159158021,Knee,0.73,item
7124422079616797958,Formal wear,0.73,item
7149171658169847045,Happy,0.73,item
7154526379860692229,Fun,0.73,item
7136393885001059590,Animal,0.73,object
7153201264568913158,Event,0.73,item
7136914418784374021,Sleeve,0.73,item
7141455832692149510,Fashion design,0.73,item
7142617092863347974,Wrist,0.73,item
7159293944143138053,Leisure,0.73,item
7136914418784374021,Thumb,0.73,item
7123326615911681285,Event,0.73,item
7123326615911681285,Screenshot,0.73,item
7147701638466227483,Gold medal,0.73,item
7136351531431054598,Event,0.73,item
7121471037409201413,City,0.73,item
7122425160489094406,Facial hair,0.73,item
7133372760616750342,Animal,0.73,object
7151895134433512709,Flag,0.73,item
7157335164136230149,Event,0.73,item
7157335164136230149,Font,0.73,item
7156768353820921093,Font,0.73,item
7146966494818159878,Multimedia,0.73,item
7146966494818159878,Event,0.73,item
7160017587160485125,Crowd,0.73,item
7144775317385678085,Official,0.73,item
7155885964139695365,Grass,0.73,item
7130026941838560518,Publication,0.73,item
7138572663148055814,Speech,0.73,item
7157441811538038022,Personal protective equipment,0.73,item
7148896985003789573,Top,0.73,object
7135232198684298502,Crowd,0.73,item
7127753826043448581,Top,0.73,object
7138037947739245830,Formal wear,0.73,item
7157697379070676230,Event,0.73,item
7138572663148055814,Electronic device,0.73,item
7120581357117394181,Wrinkle,0.73,item
7156698258792860933,Event,0.73,item
7120178088524188934,Suit,0.73,item
7156698258792860933,Music,0.73,item
7120415083867491589,Event,0.73,item
7135232198684298502,Fun,0.73,item
7128812180333399301,Championship,0.73,item
7130805243079675141,Event,0.73,item
7135818610714414342,Multimedia,0.73,item
7152116839567363334,Event,0.73,item
7135818610714414342,Event,0.73,item
7131433205214792966,Top,0.73,object
7126507412969753862,Video camera,0.73,item
7121132876665556229,Cooking,0.73,item
7135065198079069446,Electric blue,0.73,item
7131839191364799750,Clothing,0.73,object
7149556336248835333,Person,0.73,object
7118536238520438021,Art,0.73,item
7152116839567363334,Poster,0.73,item
7136295645966585093,T-shirt,0.73,item
7136295645966585093,Entertainment,0.73,item
7138453696609848581,Chair,0.73,item
7129869360520318214,Tie,0.73,item
7140298643613011206,White-collar worker,0.74,item
7120262614063516934,T-shirt,0.74,item
7141734333705997574,Snout,0.74,item
7119143272429161733,Flag,0.74,object
7120178088524188934,Event,0.74,item
7120262614063516934,Security,0.74,item
7136167177450720517,Table top,0.74,object
7135818610714414342,White-collar worker,0.74,item
7157016793855364358,Font,0.74,item
7157016793855364358,Event,0.74,item
7154526379860692229,Event,0.74,item
7120031316359384326,Event,0.74,item
7135818610714414342,Technology,0.74,item
7119639753816820998,Fun,0.74,item
7119639753816820998,Recreation,0.74,item
7136393885001059590,Crowd,0.74,item
7135818610714414342,Electronic device,0.74,item
7157154489835851014,Public address system,0.74,item
7136351531431054598,Microphone stand,0.74,item
7134893199759265030,Happy,0.74,item
7134093185256590598,Clothing,0.74,object
7157899882932571398,Liquid,0.74,item
7118548034631257350,Sharing,0.74,item
7149171658169847045,Vest,0.74,item
7139632479283006725,Coat,0.74,object
7121056105089780997,Leisure,0.74,item
7121056105089780997,T-shirt,0.74,item
7145403203637529862,Event,0.74,item
7118536238520438021,Event,0.74,item
7118536238520438021,Leisure,0.74,item
7121471037409201413,Event,0.74,item
7141455832692149510,Footwear,0.74,object
7134893199759265030,Outerwear,0.74,object
7155454754271825158,Event,0.74,item
7139632479283006725,Event,0.74,item
7139632479283006725,Spokesperson,0.74,item
7148435207635406085,Event,0.74,item
7118714403372928262,Motor vehicle,0.74,item
7148435207635406085,Crowd,0.74,item
7156768353820921093,Suit,0.74,item
7156768353820921093,Publication,0.74,item
7156768353820921093,T-shirt,0.74,item
7145533136821030150,Happy,0.74,item
7157697379070676230,Fun,0.74,item
7154705772268489989,Electric blue,0.74,item
7154705772268489989,Snapshot,0.74,item
7135560153067310341,Clothing,0.74,object
7148435207635406085,Clothing,0.74,object
7149556336248835333,T-shirt,0.74,item
7155198217771060486,Event,0.74,item
7135232198684298502,Hardwood,0.74,item
7122152605270265093,Electric blue,0.74,item
7157773223302679814,Sleeve,0.74,item
7155885964139695365,Font,0.74,item
7120746294724906246,Electric blue,0.74,item
7120608894753230086,Event,0.74,item
7144518704032697605,Child,0.74,item
7157407242067660038,Event,0.74,item
7147701638466227483,Sports uniform,0.74,item
7153201264568913158,Eyewear,0.74,item
7127753826043448581,Event,0.74,item
7130716020704021765,Formal wear,0.74,item
7138162343992675590,Event,0.74,item
7147312977522232581,Event,0.74,item
7151583849414266117,Audio equipment,0.74,item
7132216683162307845,Person,0.74,object
7128124773128752389,Spokesperson,0.74,item
7115908390257233157,Fun,0.74,item
7149207917894405382,Technology,0.74,item
7153374801409707270,Event,0.74,item
7132216683162307845,Facial hair,0.74,item
7124311468761402629,Clothing,0.74,object
7124422079616797958,Microphone,0.74,object
7116161583075560710,T-shirt,0.74,item
7115120078982630661,Event,0.74,item
7138037947739245830,Event,0.74,item
7159137058555022598,Event,0.74,item
7131086087845465349,Font,0.74,item
7151895134433512709,Event,0.74,item
7152116839567363334,Person,0.74,object
7149652777482964230,Event,0.74,item
7126507412969753862,Event,0.74,item
7142697600049794309,Wrinkle,0.74,item
7152844420998548742,Top,0.74,object
7125145950728752389,Formal wear,0.74,item
7125145950728752389,Event,0.74,item
7146557443433041157,Event,0.74,item
7146966494818159878,Technology,0.74,item
7146966494818159878,Crowd,0.74,item
7130977879478816005,Blazer,0.74,item
7123970382071123206,Event,0.74,item
7138572663148055814,Event,0.74,item
7128812180333399301,Event,0.74,item
7159943895445441797,Official,0.74,item
7149652777482964230,Person,0.74,object
7123326615911681285,News,0.74,item
7159943895445441797,Speaker,0.74,item
7160017587160485125,Event,0.74,item
7159293944143138053,Competition event,0.74,item
7123596534012202246,Event,0.74,item
7159293944143138053,Concert,0.74,item
7157407242067660038,Tree,0.74,item
7128490493419343109,Event,0.74,item
7129869360520318214,Publication,0.74,item
7149659243052944646,Long hair,0.74,item
7159773640030997766,Speech,0.74,item
7143393316858514694,Crowd,0.74,item
7138572663148055814,Music artist,0.74,item
7135232198684298502,Event,0.75,item
7157441811538038022,Recreation,0.75,item
7146966494818159878,Electronic device,0.75,item
7144775317385678085,Suit,0.75,item
7137140294260149509,Public speaking,0.75,item
7155885964139695365,Event,0.75,item
7147312977522232581,Fun,0.75,item
7135950309423074565,T-shirt,0.75,item
7148435207635406085,Competition event,0.75,item
7157899882932571398,Electric blue,0.75,item
7146908934715084037,Person,0.75,object
7121056105089780997,Event,0.75,item
7157899882932571398,Circle,0.75,item
7146655199015292165,Tree,0.75,item
7129273713110813958,Eyewear,0.75,item
7151888457101675782,Event,0.75,item
7126643401210039558,White-collar worker,0.75,item
7129273713110813958,Fun,0.75,item
7126507412969753862,Publication,0.75,item
7136295645966585093,Event,0.75,item
7130977879478816005,Formal wear,0.75,item
7119143272429161733,Suit,0.75,object
7115120078982630661,Youth,0.75,item
