,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,2D barcode,True,1.0,19284.0,19284.0,,19284.0,19284.0,none
1,2D barcode,False,1351.0,93858.0,308177.4707623982,483658.5320127174,6665.0,5678920.0,none
2,Adaptation,True,55.0,159541.0,359692.05454545456,404947.01475206367,26306.0,2040971.0,greater
3,Adaptation,False,1297.0,89404.0,305770.2266769468,486606.4790595201,6665.0,5678920.0,greater
4,Advertising,True,4.0,57373.5,152047.5,214597.21587585117,20561.0,472882.0,none
5,Advertising,False,1348.0,93939.5,308426.45178041543,484080.0678243466,6665.0,5678920.0,none
6,Agricultural machinery,True,1.0,35260.0,35260.0,,35260.0,35260.0,none
7,Agricultural machinery,False,1351.0,93858.0,308165.6454478164,483665.40496613225,6665.0,5678920.0,none
8,Agriculture,True,3.0,249119.0,179152.0,126383.04802068986,33258.0,255079.0,none
9,Agriculture,False,1349.0,93845.0,308250.25277983694,484018.39487804245,6665.0,5678920.0,none
10,Air travel,True,5.0,86833.0,190108.2,273344.66060031246,32987.0,677253.0,none
11,Air travel,False,1347.0,94021.0,308401.2665181886,484157.9047191229,6665.0,5678920.0,none
12,Aircraft,True,1.0,30060.0,30060.0,,30060.0,30060.0,none
13,Aircraft,False,1351.0,93858.0,308169.4944485566,483663.21085272316,6665.0,5678920.0,none
14,Alcoholic beverage,True,1.0,337966.0,337966.0,,337966.0,337966.0,none
15,Alcoholic beverage,False,1351.0,93845.0,307941.5847520355,483721.7014045332,6665.0,5678920.0,none
16,Amber,True,1.0,1149049.0,1149049.0,,1149049.0,1149049.0,none
17,Amber,False,1351.0,93845.0,307341.22723908216,483180.0345357391,6665.0,5678920.0,none
18,Animal,True,1.0,20975.0,20975.0,,20975.0,20975.0,none
19,Animal,False,1351.0,93858.0,308176.2190969652,483659.2780053308,6665.0,5678920.0,none
20,Applause,True,1.0,394760.0,394760.0,,394760.0,394760.0,none
21,Applause,False,1351.0,93845.0,307899.5462620281,483716.61859662086,6665.0,5678920.0,none
22,Aqua,True,1.0,754906.0,754906.0,,754906.0,754906.0,none
