,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,1D barcode,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
1,1D barcode,False,1141.0,12177.0,21798.339176161262,23260.019168765746,1404.0,215702.0,none
2,2D barcode,True,2.0,11391.0,11391.0,7689.079138622517,5954.0,16828.0,none
3,2D barcode,False,1140.0,12174.5,21806.248245614035,23267.650275747113,1404.0,215702.0,none
4,Academic dress,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
5,Academic dress,False,1141.0,12177.0,21798.339176161262,23260.019168765746,1404.0,215702.0,none
6,Active shirt,True,2.0,20390.5,20390.5,25136.93896440058,2616.0,38165.0,none
7,Active shirt,False,1140.0,12174.5,21790.459649122808,23260.855762001436,1404.0,215702.0,none
8,Adaptation,True,53.0,12016.0,21101.037735849055,24546.177590538224,2099.0,136578.0,none
9,Adaptation,False,1089.0,12223.0,21821.44168962351,23198.998429678144,1404.0,215702.0,none
10,Advertising,True,44.0,10000.0,12979.704545454546,8029.6891033665215,2770.0,37056.0,none
11,Advertising,False,1098.0,12494.5,22140.981785063752,23592.33884220144,1404.0,215702.0,none
12,Afro,True,1.0,7644.0,7644.0,,7644.0,7644.0,none
13,Afro,False,1141.0,12177.0,21800.404031551272,23258.866092927245,1404.0,215702.0,none
14,Alarm clock,True,1.0,2742.0,2742.0,,2742.0,2742.0,none
15,Alarm clock,False,1141.0,12177.0,21804.700262927257,23255.79518701208,1404.0,215702.0,none
16,Applause,True,3.0,10000.0,47802.0,65860.74177383671,9555.0,123851.0,none
17,Applause,False,1139.0,12177.0,21719.489903424055,23080.069122932928,1404.0,215702.0,none
18,Aqua,True,3.0,22058.0,44717.333333333336,56462.777910171346,3104.0,108990.0,none
19,Aqua,False,1139.0,12172.0,21727.614574187883,23132.42333575772,1404.0,215702.0,none
20,Architecture,True,2.0,19881.0,19881.0,13973.844209808552,10000.0,29762.0,none
21,Architecture,False,1140.0,12174.5,21791.35350877193,23269.030182335882,1404.0,215702.0,none
22,Arm,True,14.0,10000.0,16988.35714285714,14801.610388515384,5369.0,58248.0,none
23,Arm,False,1128.0,12200.0,21847.578014184397,23336.147493828394,1404.0,215702.0,none
24,Art,True,21.0,8351.0,15871.142857142857,14119.181294557111,3035.0,45162.0,none
25,Art,False,1121.0,12223.0,21898.850133809097,23379.164375854718,1404.0,215702.0,none
26,Artist,True,2.0,10000.0,10000.0,0.0,10000.0,10000.0,none
27,Artist,False,1140.0,12200.0,21808.68859649123,23267.59924050075,1404.0,215702.0,none
28,Asphalt,True,2.0,11263.0,11263.0,8223.651865199548,5448.0,17078.0,none
29,Asphalt,False,1140.0,12174.5,21806.472807017544,23267.388557778573,1404.0,215702.0,none
30,Audio equipment,True,35.0,16446.0,24966.82857142857,21007.700399791378,3282.0,81657.0,none
31,Audio equipment,False,1107.0,12016.0,21687.503161698285,23321.437098451188,1404.0,215702.0,none
32,Automotive design,True,7.0,13746.0,19755.285714285714,15703.613317899013,4036.0,48529.0,none
33,Automotive design,False,1135.0,12172.0,21800.54449339207,23295.56347013517,1404.0,215702.0,none
34,Automotive exterior,True,6.0,11873.0,17606.666666666668,17336.860427040032,2994.0,48529.0,none
35,Automotive exterior,False,1136.0,12174.5,21810.092429577464,23283.415097187204,1404.0,215702.0,none
36,Automotive lighting,True,2.0,15663.0,15663.0,8008.691403718837,10000.0,21326.0,none
37,Automotive lighting,False,1140.0,12174.5,21798.75350877193,23270.2234357084,1404.0,215702.0,none
38,Automotive mirror,True,1.0,4036.0,4036.0,,4036.0,4036.0,none
39,Automotive mirror,False,1141.0,12177.0,21803.566170026294,23256.693990405875,1404.0,215702.0,none
40,Automotive tire,True,3.0,9404.0,9540.333333333334,408.9160468034158,9217.0,10000.0,none
41,Automotive tire,False,1139.0,12223.0,21820.266900790168,23274.551886803605,1404.0,215702.0,none
42,Azure,True,6.0,15726.5,31269.666666666668,40493.40367352029,3104.0,108990.0,none
43,Azure,False,1136.0,12174.5,21737.9286971831,23148.071929704052,1404.0,215702.0,none
44,Baby,True,2.0,9307.0,9307.0,7803.630437174738,3789.0,14825.0,none
45,Baby,False,1140.0,12174.5,21809.904385964914,23265.81452852363,1404.0,215702.0,none
46,Bag,True,2.0,14817.0,14817.0,18483.771260216352,1747.0,27887.0,none
47,Bag,False,1140.0,12174.5,21800.237719298246,23264.56890164982,1404.0,215702.0,none
48,Ball,True,2.0,8626.5,8626.5,1942.4223279194462,7253.0,10000.0,none
49,Ball,False,1140.0,12200.0,21811.098245614034,23266.23269742306,1404.0,215702.0,none
50,Ball game,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
51,Ball game,False,1141.0,12177.0,21798.339176161262,23260.019168765746,1404.0,215702.0,none
52,Balloon,True,3.0,30559.0,30517.666666666668,20497.031256582824,10000.0,50994.0,none
53,Balloon,False,1139.0,12172.0,21765.014925373136,23262.883686203735,1404.0,215702.0,none
54,Band plays,True,1.0,3492.0,3492.0,,3492.0,3492.0,none
55,Band plays,False,1141.0,12177.0,21804.042944785277,23256.323837337266,1404.0,215702.0,none
56,Baseball cap,True,25.0,20447.0,30611.72,24575.743641715777,2041.0,90657.0,none
57,Baseball cap,False,1117.0,12016.0,21590.521038495972,23195.181177312395,1404.0,215702.0,none
58,Beard,True,149.0,12050.0,21912.087248322146,24266.856727190938,2042.0,142567.0,none
59,Beard,False,993.0,12242.0,21769.389728096678,23109.020889076837,1404.0,215702.0,none
60,Beauty,True,2.0,20859.0,20859.0,9939.092916358111,13831.0,27887.0,none
61,Beauty,False,1140.0,12138.5,21789.637719298247,23270.95513186415,1404.0,215702.0,none
62,Belt,True,5.0,33998.0,39064.6,33665.685004170045,8082.0,95282.0,none
63,Belt,False,1137.0,12105.0,21712.033421284083,23189.343868199776,1404.0,215702.0,none
64,Bicycle,True,1.0,9412.0,9412.0,,9412.0,9412.0,none
65,Bicycle,False,1141.0,12177.0,21798.854513584574,23259.75101463955,1404.0,215702.0,none
66,Bird,True,4.0,21196.5,39038.25,48148.864980564875,4770.0,108990.0,none
67,Bird,False,1138.0,12174.5,21727.374340949034,23138.94691419081,1404.0,215702.0,none
68,Black,True,2.0,8827.0,8827.0,1658.8725086636405,7654.0,10000.0,none
