,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,1D barcode,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
1,1D barcode,False,1986.0,27702.0,44079.37613293051,55474.2876215132,1404.0,764231.0,none
2,2D barcode,True,3.0,16828.0,14022.0,7094.184378771107,5954.0,19284.0,none
3,2D barcode,False,1984.0,27803.5,44107.64868951613,55494.753814418465,1404.0,764231.0,none
4,Academic dress,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
5,Academic dress,False,1986.0,27702.0,44079.37613293051,55474.2876215132,1404.0,764231.0,none
6,Active shirt,True,2.0,20390.5,20390.5,25136.93896440058,2616.0,38165.0,none
7,Active shirt,False,1985.0,27659.0,44086.07556675063,55485.573488285445,1404.0,764231.0,none
8,Adaptation,True,78.0,24905.5,40755.9358974359,43570.97544977836,2099.0,159541.0,none
9,Adaptation,False,1909.0,27886.0,44197.31691985333,55902.760939688014,1404.0,764231.0,none
10,Advertising,True,47.0,10000.0,15030.106382978724,11960.123794680756,2770.0,59118.0,less
11,Advertising,False,1940.0,28505.0,44765.580412371135,55916.75209202625,1404.0,764231.0,less
12,Afro,True,1.0,7644.0,7644.0,,7644.0,7644.0,none
13,Afro,False,1986.0,27702.0,44080.562437059416,55473.533253458336,1404.0,764231.0,none
14,Agricultural machinery,True,1.0,35260.0,35260.0,,35260.0,35260.0,none
15,Agricultural machinery,False,1986.0,27544.0,44066.657099697884,55479.20629201251,1404.0,764231.0,none
16,Agriculture,True,1.0,33258.0,33258.0,,33258.0,33258.0,none
17,Agriculture,False,1986.0,27544.0,44067.66515609265,55479.027987796384,1404.0,764231.0,none
18,Air travel,True,2.0,59910.0,59910.0,38074.87173977084,32987.0,86833.0,none
19,Air travel,False,1985.0,27429.0,44046.25743073048,55484.67048398556,1404.0,764231.0,none
20,Aircraft,True,1.0,30060.0,30060.0,,30060.0,30060.0,none
21,Aircraft,False,1986.0,27544.0,44069.27542799597,55478.66762183802,1404.0,764231.0,none
22,Alarm clock,True,1.0,2742.0,2742.0,,2742.0,2742.0,none
23,Alarm clock,False,1986.0,27702.0,44083.030715005036,55471.80200958859,1404.0,764231.0,none
24,Alcoholic beverage,True,1.0,337966.0,337966.0,,337966.0,337966.0,none
25,Alcoholic beverage,False,1986.0,27544.0,43914.23716012084,55085.7820695893,1404.0,764231.0,none
26,Animal,True,1.0,20975.0,20975.0,,20975.0,20975.0,none
27,Animal,False,1986.0,27702.0,44073.849949647534,55477.13694535838,1404.0,764231.0,none
28,Applause,True,3.0,10000.0,47802.0,65860.74177383671,9555.0,123851.0,none
29,Applause,False,1984.0,27702.0,44056.57006048387,55467.91628735343,1404.0,764231.0,none
30,Aqua,True,3.0,22058.0,44717.333333333336,56462.777910171346,3104.0,108990.0,none
31,Aqua,False,1984.0,27702.0,44061.234375,55478.55193720294,1404.0,764231.0,none
32,Architecture,True,3.0,29762.0,35478.666666666664,28766.226331121943,10000.0,66674.0,none
33,Architecture,False,1984.0,27544.0,44075.204133064515,55499.00475954695,1404.0,764231.0,none
34,Arecales,True,1.0,42552.0,42552.0,,42552.0,42552.0,none
35,Arecales,False,1986.0,27544.0,44062.98539778449,55479.54788193726,1404.0,764231.0,none
36,Arm,True,22.0,19304.5,39774.318181818184,43490.92177891443,5369.0,165506.0,none
37,Arm,False,1965.0,27745.0,44110.2320610687,55591.90549685239,1404.0,764231.0,none
38,Army,True,1.0,21160.0,21160.0,,21160.0,21160.0,none
39,Army,False,1986.0,27702.0,44073.75679758308,55477.175594857355,1404.0,764231.0,none
40,Art,True,24.0,11431.0,26267.833333333332,40112.312958000555,3035.0,191301.0,less
41,Art,False,1963.0,28020.0,44279.78247580234,55599.2918399051,1404.0,764231.0,less
42,Artist,True,3.0,10000.0,49666.0,68703.52733302709,10000.0,128998.0,none
43,Artist,False,1984.0,27702.0,44053.75151209677,55464.200454770704,1404.0,764231.0,none
44,Asphalt,True,63.0,29148.0,39243.857142857145,38092.97117742883,5448.0,254370.0,none
45,Asphalt,False,1924.0,27210.0,44219.99896049896,55943.269892482414,1404.0,764231.0,none
46,Atmosphere,True,1.0,51321.0,51321.0,,51321.0,51321.0,none
47,Atmosphere,False,1986.0,27544.0,44058.56998992951,55479.318898279686,1404.0,764231.0,none
48,Atmospheric phenomenon,True,1.0,31617.0,31617.0,,31617.0,31617.0,none
49,Atmospheric phenomenon,False,1986.0,27544.0,44068.491440080565,55478.854678757365,1404.0,764231.0,none
50,Audio equipment,True,61.0,41015.0,47022.40983606558,48904.624351683095,3282.0,299466.0,none
51,Audio equipment,False,1926.0,27210.0,43968.47040498442,55669.44114540742,1404.0,764231.0,none
52,Automotive design,True,39.0,34856.0,51815.02564102564,54480.983953112715,4036.0,286813.0,none
53,Automotive design,False,1948.0,27358.0,43907.009753593426,55487.80380231977,1404.0,764231.0,none
54,Automotive exterior,True,16.0,46615.5,42487.4375,32181.48287233669,2994.0,99886.0,none
55,Automotive exterior,False,1971.0,27429.0,44075.00862506342,55619.34771741838,1404.0,764231.0,none
56,Automotive lighting,True,29.0,26601.0,54722.41379310345,69679.73795901464,10000.0,299466.0,none
57,Automotive lighting,False,1958.0,27702.0,43904.33656792645,55234.44361172828,1404.0,764231.0,none
