,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,1D barcode,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
1,1D barcode,False,3018.0,53264.5,204886.60768721008,378489.73140749097,1404.0,5678920.0,none
2,2D barcode,True,4.0,18056.0,77588.25,127264.38697026229,5954.0,268287.0,none
3,2D barcode,False,3015.0,53331.0,204990.85538971808,378644.9911204647,1404.0,5678920.0,none
4,Abdomen,True,1.0,453466.0,453466.0,,453466.0,453466.0,none
5,Abdomen,False,3018.0,53174.5,204739.66732935718,378479.2767513724,1404.0,5678920.0,none
6,Academic dress,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
7,Academic dress,False,3018.0,53264.5,204886.60768721008,378489.73140749097,1404.0,5678920.0,none
8,Active shirt,True,2.0,20390.5,20390.5,25136.93896440058,2616.0,38165.0,none
9,Active shirt,False,3017.0,53331.0,204944.3158766987,378539.01127380674,1404.0,5678920.0,none
10,Adaptation,True,135.0,70090.0,201869.2,312736.73018680955,2099.0,2040971.0,none
11,Adaptation,False,2884.0,52736.0,204960.2773925104,381286.9208597588,1404.0,5678920.0,none
12,Advertising,True,55.0,10699.0,75290.14545454546,211941.00491667385,2770.0,1406229.0,less
13,Advertising,False,2964.0,54974.5,207225.64912280702,380450.0048981931,1404.0,5678920.0,less
14,Afro,True,1.0,7644.0,7644.0,,7644.0,7644.0,none
15,Afro,False,3018.0,53264.5,204887.38833664678,378489.32688173704,1404.0,5678920.0,none
16,Agricultural machinery,True,1.0,35260.0,35260.0,,35260.0,35260.0,none
17,Agricultural machinery,False,3018.0,53264.5,204878.23790589796,378493.76298424153,1404.0,5678920.0,none
18,Agriculture,True,3.0,249119.0,179152.0,126383.04802068986,33258.0,255079.0,none
19,Agriculture,False,3016.0,53174.5,204847.58819628647,378617.0174891837,1404.0,5678920.0,none
20,Air travel,True,5.0,86833.0,190108.2,273344.66060031246,32987.0,677253.0,none
21,Air travel,False,3014.0,53121.5,204846.46350364963,378626.07806347986,1404.0,5678920.0,none
