,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,Adaptation,True,30.0,504193.0,590748.5,426716.3296103404,43637.0,2040971.0,none
1,Adaptation,False,477.0,527132.0,704349.8029350105,619885.0695804873,37149.0,5678920.0,none
2,Advertising,True,1.0,472882.0,472882.0,,472882.0,472882.0,none
3,Advertising,False,506.0,526604.0,698071.9940711462,610957.2527041964,37149.0,5678920.0,none
4,Agriculture,True,2.0,252099.0,252099.0,4214.356415871824,249119.0,255079.0,none
5,Agriculture,False,505.0,527132.0,699392.302970297,610998.3288577746,37149.0,5678920.0,none
6,Air travel,True,3.0,92528.0,276907.0,347069.35938368284,60940.0,677253.0,none
7,Air travel,False,504.0,526604.0,700132.123015873,610993.1352466487,37149.0,5678920.0,none
8,Amber,True,1.0,1149049.0,1149049.0,,1149049.0,1149049.0,none
9,Amber,False,506.0,524194.0,696735.695652174,610708.325727081,37149.0,5678920.0,none
10,Applause,True,1.0,394760.0,394760.0,,394760.0,394760.0,none
11,Applause,False,506.0,526604.0,698226.385375494,610890.3199922433,37149.0,5678920.0,none
12,Aqua,True,1.0,754906.0,754906.0,,754906.0,754906.0,none
13,Aqua,False,506.0,524194.0,697514.6343873518,611033.9385163274,37149.0,5678920.0,none
14,Arm,True,5.0,783592.0,686103.4,289952.3743932786,198393.0,942724.0,none
15,Arm,False,502.0,522199.0,697742.6175298805,612925.2793923324,37149.0,5678920.0,none
16,Army,True,1.0,293731.0,293731.0,,293731.0,293731.0,none
17,Army,False,506.0,526604.0,698426.0474308301,610774.3528562476,37149.0,5678920.0,none
18,Art,True,3.0,307818.0,319306.0,245143.96580784934,80108.0,569992.0,none
19,Art,False,504.0,526604.0,699879.748015873,611355.7717268234,37149.0,5678920.0,none
20,Artist,True,2.0,1455102.0,1455102.0,1944535.1629816315,80108.0,2830096.0,none
21,Artist,False,505.0,526076.0,694627.9346534654,603590.5146616746,37149.0,5678920.0,none
22,Asphalt,True,18.0,468269.0,529359.5,334415.2595049964,130980.0,1475104.0,none
23,Asphalt,False,489.0,529428.0,703821.7586912066,617573.499829322,37149.0,5678920.0,none
24,Astronomical object,True,1.0,152280.0,152280.0,,152280.0,152280.0,none
25,Astronomical object,False,506.0,526604.0,698705.59486166,610556.2220413107,37149.0,5678920.0,none
26,Audio equipment,True,19.0,532148.0,595169.5263157894,336842.1807199212,88325.0,1445907.0,none
27,Audio equipment,False,488.0,524194.0,701616.987704918,618506.1601535036,37149.0,5678920.0,none
28,Automotive design,True,12.0,594601.5,891689.3333333334,928959.2530427247,88325.0,3518737.0,none
29,Automotive design,False,495.0,526076.0,692923.3111111111,601273.6893047675,37149.0,5678920.0,none
30,Automotive exterior,True,4.0,274721.0,503279.5,590342.8961507598,85093.0,1378583.0,none
31,Automotive exterior,False,503.0,527132.0,699173.3459244532,610912.6082309233,37149.0,5678920.0,none
32,Automotive lighting,True,5.0,482272.0,687493.6,453281.15179466706,274899.0,1378583.0,none
33,Automotive lighting,False,502.0,526604.0,697728.7709163347,612134.3877039468,37149.0,5678920.0,none
34,Automotive tire,True,17.0,329594.0,584251.0,810637.6479134343,213771.0,3518737.0,none
35,Automotive tire,False,490.0,539376.5,701561.3142857143,603010.6770770578,37149.0,5678920.0,none
36,Automotive wheel system,True,1.0,477579.0,477579.0,,477579.0,477579.0,none
37,Automotive wheel system,False,506.0,526604.0,698062.7114624506,610960.6450816467,37149.0,5678920.0,none
38,Azure,True,2.0,421172.0,421172.0,471971.1490250225,87438.0,754906.0,none
39,Azure,False,505.0,526076.0,698722.7069306931,611034.6398339728,37149.0,5678920.0,none
40,Ball,True,1.0,672392.0,672392.0,,672392.0,672392.0,none
41,Ball,False,506.0,524194.0,697677.7055335968,611038.2311221657,37149.0,5678920.0,none
42,Banana,True,1.0,266421.0,266421.0,,266421.0,266421.0,none
43,Banana,False,506.0,526604.0,698480.0197628458,610737.3077762563,37149.0,5678920.0,none
44,Bank,True,1.0,257890.0,257890.0,,257890.0,257890.0,none
45,Bank,False,506.0,526604.0,698496.8794466403,610725.2386337678,37149.0,5678920.0,none
46,Baseball cap,True,6.0,752487.0,884636.1666666666,563027.7778434796,347480.0,1554575.0,none
47,Baseball cap,False,501.0,526076.0,695388.2115768463,611152.9916305697,37149.0,5678920.0,none
48,Beard,True,8.0,716103.5,852551.625,500025.73754956067,443566.0,1976500.0,none
49,Beard,False,499.0,522086.0,695144.0841683367,612136.4048228718,37149.0,5678920.0,none
50,Bench,True,1.0,1341487.0,1341487.0,,1341487.0,1341487.0,none
51,Bench,False,506.0,524194.0,696355.3833992095,610365.8418385407,37149.0,5678920.0,none
52,Biome,True,1.0,346250.0,346250.0,,346250.0,346250.0,none
53,Biome,False,506.0,526604.0,698322.2549407114,610838.7777538894,37149.0,5678920.0,none
54,Black,True,2.0,273098.0,273098.0,164399.49819874755,156850.0,389346.0,none
55,Black,False,505.0,527132.0,699309.1386138614,611014.0393561071,37149.0,5678920.0,none
56,Black hair,True,2.0,217331.0,217331.0,1377.4440097513946,216357.0,218305.0,none
57,Black hair,False,505.0,527132.0,699529.998019802,610893.4022497247,37149.0,5678920.0,none
58,Blazer,True,76.0,705099.5,938503.6184210526,886156.75122392,98776.0,5678920.0,greater
59,Blazer,False,431.0,516075.0,655153.2157772622,538016.666763221,37149.0,3770821.0,greater
60,Blue,True,7.0,529166.0,728766.5714285715,658189.3214217465,85093.0,2134880.0,none
61,Blue,False,500.0,524194.0,697191.89,610438.8762292044,37149.0,5678920.0,none
62,Blurred,True,66.0,595413.5,857114.1060606061,817154.5183301555,55070.0,5678920.0,none
63,Blurred,False,441.0,511172.0,673759.1383219955,570522.3425436246,37149.0,3770821.0,none
64,Boat,True,1.0,130980.0,130980.0,,130980.0,130980.0,none
65,Boat,False,506.0,526604.0,698747.6897233202,610517.7356852997,37149.0,5678920.0,none
66,Body of water,True,1.0,257890.0,257890.0,,257890.0,257890.0,none
67,Body of water,False,506.0,526604.0,698496.8794466403,610725.2386337678,37149.0,5678920.0,none
68,Bodybuilder,True,1.0,942724.0,942724.0,,942724.0,942724.0,none
69,Bodybuilder,False,506.0,524194.0,697143.4525691699,610941.7268977351,37149.0,5678920.0,none
70,Bodybuilding,True,1.0,942724.0,942724.0,,942724.0,942724.0,none
71,Bodybuilding,False,506.0,524194.0,697143.4525691699,610941.7268977351,37149.0,5678920.0,none
72,Book,True,7.0,248858.0,299439.71428571426,203871.51983272398,88402.0,702760.0,none
73,Book,False,500.0,528437.5,703202.466,612456.7636130829,37149.0,5678920.0,none
74,Bookcase,True,15.0,238745.0,432544.86666666664,493118.71402140456,76910.0,1864528.0,less
75,Bookcase,False,492.0,529297.0,705709.6300813009,612265.7361422289,37149.0,5678920.0,less
76,Botany,True,1.0,266421.0,266421.0,,266421.0,266421.0,none
77,Botany,False,506.0,526604.0,698480.0197628458,610737.3077762563,37149.0,5678920.0,none
78,Bottle,True,1.0,450158.0,450158.0,,450158.0,450158.0,none
79,Bottle,False,506.0,526604.0,698116.9031620553,610939.8283533431,37149.0,5678920.0,none
80,Bracelet,True,1.0,172489.0,172489.0,,172489.0,172489.0,none
81,Bracelet,False,506.0,526604.0,698665.6561264822,610591.3719330478,37149.0,5678920.0,none
82,Building,True,11.0,580914.0,622494.2727272727,324896.4965363865,87438.0,1341487.0,none
83,Building,False,496.0,522199.0,699294.1008064516,615346.3123291343,37149.0,5678920.0,none
84,Building material,True,1.0,154645.0,154645.0,,154645.0,154645.0,none
85,Building material,False,506.0,526604.0,698700.9209486166,610560.4042040748,37149.0,5678920.0,none
86,Bumper,True,1.0,274543.0,274543.0,,274543.0,274543.0,none
87,Bumper,False,506.0,526604.0,698463.9683794467,610748.5783692132,37149.0,5678920.0,none
88,Button,True,1.0,1053424.0,1053424.0,,1053424.0,1053424.0,none
89,Button,False,506.0,524194.0,696924.6778656127,610833.7032191566,37149.0,5678920.0,none
90,Cabinetry,True,1.0,367474.0,367474.0,,367474.0,367474.0,none
91,Cabinetry,False,506.0,526604.0,698280.3102766798,610862.2694510537,37149.0,5678920.0,none
92,Cable television,True,1.0,367474.0,367474.0,,367474.0,367474.0,none
93,Cable television,False,506.0,526604.0,698280.3102766798,610862.2694510537,37149.0,5678920.0,none
94,Camera,True,1.0,660635.0,660635.0,,660635.0,660635.0,none
95,Camera,False,506.0,524194.0,697700.9407114624,611037.0432899297,37149.0,5678920.0,none
96,Camouflage,True,1.0,558279.0,558279.0,,558279.0,558279.0,none
97,Camouflage,False,506.0,524194.0,697903.2252964426,611007.7379215102,37149.0,5678920.0,none
98,Cap,True,10.0,706108.0,762294.4,482238.5769271379,172296.0,1554575.0,none
99,Cap,False,497.0,522312.0,696326.69416499,613056.3490304552,37149.0,5678920.0,none
100,Car,True,6.0,423553.0,466488.6666666667,230715.87313894698,274543.0,905038.0,none
101,Car,False,501.0,527709.0,700395.9660678643,613124.4518904304,37149.0,5678920.0,none
102,Celebrating,True,1.0,1057878.0,1057878.0,,1057878.0,1057878.0,none
103,Celebrating,False,506.0,524194.0,696915.8754940712,610828.5234994686,37149.0,5678920.0,none
104,Chair,True,11.0,1450872.0,1370049.1818181819,951176.1804588904,80108.0,2986134.0,none
105,Chair,False,496.0,522045.5,682715.2620967742,593602.2839007288,37149.0,5678920.0,none
106,Championship,True,1.0,413145.0,413145.0,,413145.0,413145.0,none
107,Championship,False,506.0,526604.0,698190.0513833992,610907.8558773254,37149.0,5678920.0,none
108,Cheek,True,9.0,609762.0,727665.2222222222,449668.09903799545,144785.0,1443051.0,none
109,Cheek,False,498.0,524194.0,697084.9879518072,613276.0898498727,37149.0,5678920.0,none
110,Chest,True,1.0,942724.0,942724.0,,942724.0,942724.0,none
111,Chest,False,506.0,524194.0,697143.4525691699,610941.7268977351,37149.0,5678920.0,none
112,Chin,True,71.0,692661.0,749454.0281690141,601667.7649796195,108268.0,3770821.0,none
113,Chin,False,436.0,514685.5,689188.245412844,612117.6584899133,37149.0,5678920.0,none
114,Circle,True,1.0,754906.0,754906.0,,754906.0,754906.0,none
115,Circle,False,506.0,524194.0,697514.6343873518,611033.9385163274,37149.0,5678920.0,none
116,City,True,12.0,447118.0,483350.4166666667,254284.8994002444,60940.0,1048072.0,none
117,City,False,495.0,529166.0,702822.4363636364,615711.5185197351,37149.0,5678920.0,none
118,Clock,True,2.0,781637.5,781637.5,16798.73580064881,769759.0,793516.0,none
119,Clock,False,505.0,522312.0,697295.1207920793,611621.7112448856,37149.0,5678920.0,none
120,Clothing,True,34.0,592559.5,746603.0588235294,506699.110630873,55070.0,2141232.0,none
121,Clothing,False,473.0,522005.0,694107.4143763214,617525.4257744887,37149.0,5678920.0,none
122,Cloud,True,19.0,373330.0,548256.8947368421,521561.4817928834,85084.0,2231848.0,none
123,Cloud,False,488.0,528437.5,703443.5040983607,613359.8767548049,37149.0,5678920.0,none
124,Coastal and oceanic landforms,True,2.0,369096.5,369096.5,435799.10163342464,60940.0,677253.0,none
125,Coastal and oceanic landforms,False,505.0,526076.0,698928.9465346534,610985.2426070553,37149.0,5678920.0,none
126,Coat,True,43.0,809579.0,1015092.9534883721,809390.9284151925,98776.0,3770821.0,greater
127,Coat,False,464.0,514685.5,668207.573275862,581019.4918420892,37149.0,5678920.0,greater
128,Coffee cup,True,1.0,416603.0,416603.0,,416603.0,416603.0,none
129,Coffee cup,False,506.0,526604.0,698183.2173913043,610911.0314548137,37149.0,5678920.0,none
130,Coffee table,True,1.0,1864528.0,1864528.0,,1864528.0,1864528.0,none
131,Coffee table,False,506.0,524194.0,695321.7055335968,608824.5282504838,37149.0,5678920.0,none
132,Collar,True,99.0,621793.0,884052.3333333334,868755.2535846552,108268.0,5678920.0,none
133,Collar,False,408.0,516335.5,652392.475490196,520611.33669076284,37149.0,3518737.0,none
134,Colorfulness,True,1.0,124310.0,124310.0,,124310.0,124310.0,none
135,Colorfulness,False,506.0,526604.0,698760.871541502,610505.3802007163,37149.0,5678920.0,none
136,Comb over,True,1.0,1106932.0,1106932.0,,1106932.0,1106932.0,none
137,Comb over,False,506.0,524194.0,696818.9308300395,610767.2105409113,37149.0,5678920.0,none
138,Comfort,True,3.0,996394.0,818114.3333333334,563440.9493552393,187100.0,1270849.0,none
139,Comfort,False,504.0,524194.0,696910.6507936508,611149.8711885867,37149.0,5678920.0,none
140,Communication Device,True,3.0,823032.0,634654.6666666666,480672.44425526756,88325.0,992607.0,none
141,Communication Device,False,504.0,524194.0,698002.6726190476,611482.6959426979,37149.0,5678920.0,none
142,Community,True,8.0,700900.5,884242.625,700271.3054895096,80108.0,2040971.0,none
143,Community,False,499.0,522086.0,694636.0120240481,609225.6098358467,37149.0,5678920.0,none
144,Competition event,True,8.0,610031.0,658584.5,311810.7431380223,298414.0,1211776.0,none
145,Competition event,False,499.0,522086.0,698253.7775551102,614186.9679043596,37149.0,5678920.0,none
146,Composite material,True,1.0,154645.0,154645.0,,154645.0,154645.0,none
147,Composite material,False,506.0,526604.0,698700.9209486166,610560.4042040748,37149.0,5678920.0,none
148,Computer,True,1.0,416603.0,416603.0,,416603.0,416603.0,none
149,Computer,False,506.0,526604.0,698183.2173913043,610911.0314548137,37149.0,5678920.0,none
150,Computer monitor accessory,True,1.0,367474.0,367474.0,,367474.0,367474.0,none
151,Computer monitor accessory,False,506.0,526604.0,698280.3102766798,610862.2694510537,37149.0,5678920.0,none
152,Concert,True,1.0,288873.0,288873.0,,288873.0,288873.0,none
153,Concert,False,506.0,526604.0,698435.6482213439,610767.9404726274,37149.0,5678920.0,none
154,Contact sport,True,1.0,619627.0,619627.0,,619627.0,619627.0,none
155,Contact sport,False,506.0,524194.0,697781.9841897233,611029.3870814046,37149.0,5678920.0,none
156,Cooking plantain,True,1.0,266421.0,266421.0,,266421.0,266421.0,none
157,Cooking plantain,False,506.0,526604.0,698480.0197628458,610737.3077762563,37149.0,5678920.0,none
158,Cool,True,5.0,821882.0,895166.4,570297.4305073625,216357.0,1504112.0,none
159,Cool,False,502.0,524194.0,695660.3167330677,611031.8638932732,37149.0,5678920.0,none
160,Couch,True,1.0,1864528.0,1864528.0,,1864528.0,1864528.0,none
161,Couch,False,506.0,524194.0,695321.7055335968,608824.5282504838,37149.0,5678920.0,none
162,Cowboy hat,True,1.0,1554575.0,1554575.0,,1554575.0,1554575.0,none
163,Cowboy hat,False,506.0,524194.0,695934.2608695652,609845.8284353734,37149.0,5678920.0,none
164,Crowd,True,42.0,555400.0,665032.7619047619,432254.28401368775,157367.0,1735204.0,none
165,Crowd,False,465.0,522005.0,700571.9032258064,624296.3097345334,37149.0,5678920.0,none
166,Cumulus,True,1.0,85084.0,85084.0,,85084.0,85084.0,none
167,Cumulus,False,506.0,526604.0,698838.3932806324,610429.7872122279,37149.0,5678920.0,none
168,Curtain,True,4.0,846831.5,805151.75,292036.1413779409,450158.0,1076786.0,none
169,Curtain,False,503.0,522312.0,696772.7713717694,612370.5945072841,37149.0,5678920.0,none
170,Customer,True,2.0,664106.5,664106.5,543009.2175833667,280141.0,1048072.0,none
171,Customer,False,505.0,526076.0,697760.5900990099,611163.0555905828,37149.0,5678920.0,none
172,Daytime,True,1.0,415081.0,415081.0,,415081.0,415081.0,none
173,Daytime,False,506.0,526604.0,698186.2252964426,610909.638546924,37149.0,5678920.0,none
174,Desk,True,4.0,544847.0,546765.5,390139.63683489873,88402.0,1008966.0,none
175,Desk,False,503.0,526076.0,698827.5328031809,611970.4770359532,37149.0,5678920.0,none
176,Desktop computer,True,1.0,996394.0,996394.0,,996394.0,996394.0,none
177,Desktop computer,False,506.0,524194.0,697037.385375494,610894.3274036194,37149.0,5678920.0,none
178,Display device,True,22.0,563787.0,710477.3181818182,460118.76052171225,88325.0,2215610.0,none
179,Display device,False,485.0,522086.0,697044.969072165,616745.7328811615,37149.0,5678920.0,none
180,Door,True,1.0,776045.0,776045.0,,776045.0,776045.0,none
181,Door,False,506.0,524194.0,697472.8577075099,611029.2813500057,37149.0,5678920.0,none
182,Dress,True,3.0,234429.0,478302.0,461485.0407293827,189918.0,1010559.0,none
183,Dress,False,504.0,526604.0,698933.3432539683,611324.9133774247,37149.0,5678920.0,none
184,Dress shirt,True,92.0,630901.0,802377.1195652174,737116.9292809736,76910.0,3770821.0,none
185,Dress shirt,False,415.0,522086.0,674406.3036144578,577086.6901568538,37149.0,5678920.0,none
186,Drink,True,1.0,2134880.0,2134880.0,,2134880.0,2134880.0,none
187,Drink,False,506.0,524194.0,694787.4130434783,607676.2433660888,37149.0,5678920.0,none
188,Ear,True,12.0,606742.5,884476.5833333334,807374.4857555212,271313.0,3159187.0,none
189,Ear,False,495.0,526076.0,693098.1656565657,605226.6308038762,37149.0,5678920.0,none
190,Ecoregion,True,1.0,251417.0,251417.0,,251417.0,251417.0,none
191,Ecoregion,False,506.0,526604.0,698509.6719367589,610715.923101426,37149.0,5678920.0,none
192,Elbow,True,1.0,613375.0,613375.0,,613375.0,613375.0,none
193,Elbow,False,506.0,524194.0,697794.3399209486,611027.7401024862,37149.0,5678920.0,none
194,Electric blue,True,19.0,928456.0,1024710.947368421,768057.9530932744,87438.0,3201018.0,none
195,Electric blue,False,488.0,516335.5,684893.0389344263,600856.8095241225,37149.0,5678920.0,none
196,Electricity,True,3.0,964638.0,897279.6666666666,502445.2866316225,364553.0,1362648.0,none
197,Electricity,False,504.0,524194.0,696439.4285714285,611236.9555358465,37149.0,5678920.0,none
198,Electronic device,True,22.0,667776.5,692444.5,336639.39979531156,88325.0,1378583.0,none
199,Electronic device,False,485.0,516559.0,697862.9525773196,620202.031486558,37149.0,5678920.0,none
200,Engineer,True,1.0,295747.0,295747.0,,295747.0,295747.0,none
201,Engineer,False,506.0,526604.0,698422.0632411067,610776.9913744295,37149.0,5678920.0,none
202,Engineering,True,11.0,769759.0,766554.0,434304.7084062064,136976.0,1453999.0,none
203,Engineering,False,496.0,522199.0,696099.2278225806,613997.8496696384,37149.0,5678920.0,none
204,Entertainment,True,32.0,604831.5,770276.28125,627634.6381451262,136532.0,2830096.0,none
205,Entertainment,False,475.0,522312.0,692733.6210526315,609626.341452153,37149.0,5678920.0,none
206,Entertainment center,True,1.0,367474.0,367474.0,,367474.0,367474.0,none
207,Entertainment center,False,506.0,526604.0,698280.3102766798,610862.2694510537,37149.0,5678920.0,none
208,Event,True,122.0,583711.0,819565.9836065574,758631.8904891164,72872.0,5678920.0,none
209,Event,False,385.0,511172.0,658987.6909090909,550861.7709270833,37149.0,3770821.0,none
210,Exposed,True,39.0,660234.0,856331.9743589744,959897.8611969607,43637.0,5678920.0,none
211,Exposed,False,468.0,516064.0,684402.4871794871,571398.6696961528,37149.0,3770821.0,none
212,Eye,True,7.0,1104085.0,1388265.4285714286,902086.2588501644,271313.0,3205936.0,greater
213,Eye,False,500.0,522045.5,687958.906,601073.1432550703,37149.0,5678920.0,greater
214,Eyebrow,True,39.0,708457.0,766894.1025641026,588216.2133664795,128961.0,3159187.0,none
215,Eyebrow,False,468.0,519425.0,691855.6431623931,612504.7620290719,37149.0,5678920.0,none
216,Eyelash,True,16.0,530571.0,741694.0,565303.2969124923,128961.0,1976500.0,none
217,Eyelash,False,491.0,526076.0,696191.8676171079,612332.0056424879,37149.0,5678920.0,none
218,Eyewear,True,27.0,673091.0,649175.7037037037,407562.568222241,124105.0,1884371.0,none
219,Eyewear,False,480.0,519425.0,700353.2645833333,620063.9696302697,37149.0,5678920.0,none
220,Facade,True,1.0,51273.0,51273.0,,51273.0,51273.0,none
221,Facade,False,506.0,526604.0,698905.2134387352,610360.608296769,37149.0,5678920.0,none
222,Face,True,7.0,988257.0,731262.0,417567.3525408805,136692.0,1088593.0,none
223,Face,False,500.0,522199.0,697156.954,612981.0401309489,37149.0,5678920.0,none
224,Facial expression,True,18.0,553687.5,649481.5555555555,471561.20321397774,144785.0,2040971.0,none
225,Facial expression,False,489.0,526076.0,699400.0879345604,615256.4874704683,37149.0,5678920.0,none
226,Facial hair,True,5.0,793516.0,912958.6,488100.7414261937,219806.0,1443051.0,none
227,Facial hair,False,502.0,522199.0,695483.1035856573,611539.4361881551,37149.0,5678920.0,none
228,Fan,True,33.0,540808.0,646574.7575757576,409494.47377941123,157367.0,1735204.0,none
229,Fan,False,474.0,522158.5,701182.1603375528,622165.2730738554,37149.0,5678920.0,none
230,Fashion,True,5.0,216357.0,371161.8,276545.6331895335,136692.0,806198.0,none
231,Fashion,False,502.0,527420.5,700879.486055777,612098.9355848405,37149.0,5678920.0,none
232,Fashion design,True,5.0,589349.0,526801.2,211100.1126129496,216357.0,776045.0,none
233,Fashion design,False,502.0,524194.0,699329.2928286853,612943.7520897331,37149.0,5678920.0,none
234,Fedora,True,3.0,172296.0,188497.0,61526.60587908291,136692.0,256503.0,none
235,Fedora,False,504.0,527420.5,700658.373015873,610969.1388295412,37149.0,5678920.0,none
236,Fender,True,1.0,274899.0,274899.0,,274899.0,274899.0,none
237,Fender,False,506.0,526604.0,698463.2648221344,610749.0674697339,37149.0,5678920.0,none
238,Finger,True,8.0,946875.5,1148064.5,604421.807726312,511172.0,2117775.0,none
239,Finger,False,499.0,522005.0,690406.4028056113,608416.3535159312,37149.0,5678920.0,none
240,Fixture,True,1.0,51273.0,51273.0,,51273.0,51273.0,none
241,Fixture,False,506.0,526604.0,698905.2134387352,610360.608296769,37149.0,5678920.0,none
242,Flag,True,7.0,773097.0,859546.2857142857,910955.0202043849,138858.0,2816298.0,none
243,Flag,False,500.0,524194.0,695360.974,606223.9146904439,37149.0,5678920.0,none
244,Flap,True,1.0,677253.0,677253.0,,677253.0,677253.0,none
245,Flap,False,506.0,524194.0,697668.0988142292,611038.5910865887,37149.0,5678920.0,none
246,Flash photography,True,13.0,615127.0,670382.2307692308,461772.869164079,128961.0,1884371.0,none
247,Flash photography,False,494.0,522199.0,698344.8218623481,614204.1178617589,37149.0,5678920.0,none
248,Flat panel display,True,3.0,557582.0,640483.3333333334,322551.64687431586,367474.0,996394.0,none
249,Flat panel display,False,504.0,524194.0,697967.9781746032,611898.916287628,37149.0,5678920.0,none
250,Floor,True,2.0,714462.5,714462.5,886746.5518402087,87438.0,1341487.0,none
251,Floor,False,505.0,526076.0,697561.1603960396,610367.5189830369,37149.0,5678920.0,none
252,Flooring,True,8.0,332751.5,612904.25,560602.6030982196,80108.0,1362648.0,none
253,Flooring,False,499.0,527132.0,698986.126252505,611622.8074545392,37149.0,5678920.0,none
254,Flower,True,2.0,319875.5,319875.5,75596.07886987261,266421.0,373330.0,none
255,Flower,False,505.0,527132.0,699123.8811881188,611170.971395778,37149.0,5678920.0,none
256,Flower Arranging,True,1.0,373330.0,373330.0,,373330.0,373330.0,none
257,Flower Arranging,False,506.0,526604.0,698268.7371541501,610868.4934455466,37149.0,5678920.0,none
258,Flowerpot,True,1.0,373330.0,373330.0,,373330.0,373330.0,none
259,Flowerpot,False,506.0,526604.0,698268.7371541501,610868.4934455466,37149.0,5678920.0,none
260,Fluvial landforms of streams,True,1.0,251417.0,251417.0,,251417.0,251417.0,none
261,Fluvial landforms of streams,False,506.0,526604.0,698509.6719367589,610715.923101426,37149.0,5678920.0,none
262,Font,True,181.0,470882.0,570842.4585635359,427703.93321456044,37149.0,2337730.0,less
263,Font,False,326.0,586660.0,768020.9386503068,681850.2812940836,55070.0,5678920.0,less
264,Food,True,1.0,266421.0,266421.0,,266421.0,266421.0,none
265,Food,False,506.0,526604.0,698480.0197628458,610737.3077762563,37149.0,5678920.0,none
266,Football,True,1.0,672392.0,672392.0,,672392.0,672392.0,none
267,Football,False,506.0,524194.0,697677.7055335968,611038.2311221657,37149.0,5678920.0,none
268,Footwear,True,7.0,460167.0,726238.4285714285,506499.4779546034,187100.0,1362648.0,none
269,Footwear,False,500.0,526604.0,697227.284,612178.141096472,37149.0,5678920.0,none
270,Forehead,True,98.0,697201.5,788107.6734693878,617504.8916125259,75584.0,3770821.0,none
271,Forehead,False,409.0,491541.0,675948.06601467,607489.0510377436,37149.0,5678920.0,none
272,Forest,True,1.0,234429.0,234429.0,,234429.0,234429.0,none
273,Forest,False,506.0,526604.0,698543.2450592886,610690.8269245684,37149.0,5678920.0,none
274,Formal wear,True,30.0,592454.5,862253.3333333334,721603.471522459,98776.0,3201018.0,none
275,Formal wear,False,477.0,522005.0,687274.0272536688,602143.4393182873,37149.0,5678920.0,none
276,Formation,True,2.0,125775.5,125775.5,57546.471173304795,85084.0,166467.0,none
277,Formation,False,505.0,527132.0,699892.594059406,610573.8334265254,37149.0,5678920.0,none
278,Friendship,True,1.0,2040971.0,2040971.0,,2040971.0,2040971.0,none
279,Friendship,False,506.0,524194.0,694973.0039525692,608102.3875489462,37149.0,5678920.0,none
280,Fruit,True,1.0,266421.0,266421.0,,266421.0,266421.0,none
281,Fruit,False,506.0,526604.0,698480.0197628458,610737.3077762563,37149.0,5678920.0,none
282,Fun,True,33.0,635890.0,845911.4848484849,638053.6408884504,77563.0,2215610.0,none
283,Fun,False,474.0,519425.0,687304.2869198312,607820.1026215965,37149.0,5678920.0,none
284,Furniture,True,7.0,684697.0,799168.0,615800.6442534792,248858.0,2040214.0,none
285,Furniture,False,500.0,524194.0,696206.27,610861.7566642021,37149.0,5678920.0,none
286,Gadget,True,9.0,835150.0,681186.2222222222,426949.4848907122,88325.0,1378583.0,none
287,Gadget,False,498.0,524194.0,697924.969879518,613546.88850334,37149.0,5678920.0,none
288,Gas,True,5.0,329594.0,331357.6,231028.49147951425,85093.0,633542.0,none
289,Gas,False,502.0,527420.5,701275.9422310757,612022.5779732318,37149.0,5678920.0,none
290,Geological phenomenon,True,2.0,410089.0,410089.0,253387.47239751217,230917.0,589261.0,none
291,Geological phenomenon,False,505.0,526076.0,698766.6,611271.6373950012,37149.0,5678920.0,none
292,Gesture,True,152.0,570581.5,785863.927631579,781394.5658743486,43637.0,5678920.0,none
293,Gesture,False,355.0,516112.0,659847.8704225352,517119.4279906898,37149.0,3518737.0,none
294,Glasses,True,46.0,574565.0,713327.3260869565,521381.41003159655,124105.0,2106744.0,none
295,Glasses,False,461.0,522005.0,696061.2885032538,619091.4304513135,37149.0,5678920.0,none
296,Glove,True,2.0,2253497.0,2253497.0,1789319.5676569347,988257.0,3518737.0,none
297,Glove,False,505.0,522312.0,691465.9742574258,598425.5803554982,37149.0,5678920.0,none
298,Goggles,True,2.0,567886.0,567886.0,384862.6646506517,295747.0,840025.0,none
299,Goggles,False,505.0,526076.0,698141.6613861386,611350.018863952,37149.0,5678920.0,none
300,Grass,True,13.0,315868.0,361651.3846153846,246352.1439283404,73751.0,1006781.0,none
301,Grass,False,494.0,530788.0,706469.3178137651,614756.016099405,37149.0,5678920.0,none
302,Grassland,True,1.0,364553.0,364553.0,,364553.0,364553.0,none
303,Grassland,False,506.0,526604.0,698286.0830039525,610859.1232336367,37149.0,5678920.0,none
304,Green,True,13.0,802068.0,942215.0769230769,690188.5609554417,213771.0,2830096.0,none
305,Green,False,494.0,519425.0,691191.3259109312,607653.7693137515,37149.0,5678920.0,none
306,Grey,True,1.0,483680.0,483680.0,,483680.0,483680.0,none
