,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,2D barcode,True,1.0,268287.0,268287.0,,268287.0,268287.0,none
1,2D barcode,False,1031.0,351779.0,514585.69738118333,517502.73506568605,15445.0,5678920.0,none
2,Abdomen,True,1.0,453466.0,453466.0,,453466.0,453466.0,none
3,Abdomen,False,1031.0,351196.0,514406.0863239573,517556.10117109487,15445.0,5678920.0,none
4,Adaptation,True,57.0,335362.0,422339.98245614034,381825.70025786693,15445.0,2040971.0,none
5,Adaptation,False,975.0,354109.0,519725.90974358976,523796.10481412295,16194.0,5678920.0,none
6,Advertising,True,8.0,279487.5,429317.875,421848.063692008,81965.0,1406229.0,none
7,Advertising,False,1024.0,351916.0,515011.326171875,518098.6136265874,15445.0,5678920.0,none
8,Agriculture,True,2.0,252099.0,252099.0,4214.356415871824,249119.0,255079.0,none
9,Agriculture,False,1030.0,351916.0,514856.25533980585,517681.6494399907,15445.0,5678920.0,none
10,Air travel,True,3.0,92528.0,276907.0,347069.35938368284,60940.0,677253.0,none
11,Air travel,False,1029.0,351779.0,515039.2808551992,517677.2209174732,15445.0,5678920.0,none
12,Aircraft,True,1.0,152824.0,152824.0,,152824.0,152824.0,none
13,Aircraft,False,1031.0,351779.0,514697.6886517944,517436.86056947213,15445.0,5678920.0,none
14,Amber,True,1.0,1149049.0,1149049.0,,1149049.0,1149049.0,none
15,Amber,False,1031.0,351196.0,513731.41804073716,517181.23259943293,15445.0,5678920.0,none
16,Applause,True,1.0,394760.0,394760.0,,394760.0,394760.0,none
17,Applause,False,1031.0,351196.0,514463.02715809894,517546.15437029646,15445.0,5678920.0,none
18,Aqua,True,3.0,161444.0,347299.6666666667,353453.3986062849,125549.0,754906.0,none
19,Aqua,False,1029.0,351779.0,514834.0544217687,517749.3011648209,15445.0,5678920.0,none
20,Architecture,True,4.0,510409.0,518056.25,307568.97907231044,210054.0,841353.0,none
21,Architecture,False,1028.0,351487.5,514332.60311284044,518048.2680185228,15445.0,5678920.0,none
22,Arm,True,16.0,359938.5,432368.4375,328432.9204094232,47343.0,1086304.0,none
23,Arm,False,1016.0,351003.0,515638.0374015748,519735.3566262179,15445.0,5678920.0,none
24,Army,True,1.0,293731.0,293731.0,,293731.0,293731.0,none
25,Army,False,1031.0,351779.0,514561.01842871,517513.88410391,15445.0,5678920.0,none
26,Art,True,22.0,269537.0,322395.6818181818,296363.8683625227,75659.0,1435469.0,none
27,Art,False,1010.0,354539.0,518528.15445544553,520378.7991323056,15445.0,5678920.0,none
28,Artist,True,2.0,1455102.0,1455102.0,1944535.1629816315,80108.0,2830096.0,none
29,Artist,False,1030.0,351487.5,512520.327184466,512572.03500965645,15445.0,5678920.0,none
30,Asphalt,True,18.0,468269.0,529359.5,334415.2595049964,130980.0,1475104.0,none
31,Asphalt,False,1014.0,348154.5,514080.54240631167,520079.212326053,15445.0,5678920.0,none
32,Astronomical object,True,1.0,152280.0,152280.0,,152280.0,152280.0,none
33,Astronomical object,False,1031.0,351779.0,514698.21629485936,517436.4909216919,15445.0,5678920.0,none
34,Atmosphere,True,1.0,193767.0,193767.0,,193767.0,193767.0,none
35,Atmosphere,False,1031.0,351779.0,514657.9767216295,517463.085546089,15445.0,5678920.0,none
36,Audio equipment,True,30.0,438166.5,573091.7,521838.52321986173,50251.0,2594701.0,none
37,Audio equipment,False,1002.0,347548.5,512588.2135728543,517332.1460595424,15445.0,5678920.0,none
38,Automotive design,True,14.0,549532.5,811567.9285714285,884001.9832818393,78726.0,3518737.0,none
39,Automotive design,False,1018.0,348793.5,510259.5186640472,509970.6083486256,15445.0,5678920.0,none
40,Automotive exterior,True,5.0,274899.0,519214.2,512492.072716447,85093.0,1378583.0,none
41,Automotive exterior,False,1027.0,351779.0,514323.3398247322,517579.1282173014,15445.0,5678920.0,none
42,Automotive lighting,True,6.0,532612.5,670070.1666666666,407667.1414678483,274899.0,1378583.0,none
43,Automotive lighting,False,1026.0,349852.5,513436.37426900584,517900.6835502525,15445.0,5678920.0,none
44,Automotive tire,True,18.0,309783.5,554242.9444444445,796672.5749785772,44106.0,3518737.0,none
45,Automotive tire,False,1014.0,352703.5,513638.82445759367,511549.8355947016,15445.0,5678920.0,none
46,Automotive wheel system,True,1.0,477579.0,477579.0,,477579.0,477579.0,none
47,Automotive wheel system,False,1031.0,351196.0,514382.6983511154,517558.3117947693,15445.0,5678920.0,none
48,Award ceremony,True,1.0,76036.0,76036.0,,76036.0,76036.0,none
49,Award ceremony,False,1031.0,351779.0,514772.1677982541,517379.1820756381,15445.0,5678920.0,none
50,Azure,True,6.0,128696.0,237796.5,269199.2016390465,30580.0,754906.0,none
51,Azure,False,1026.0,352703.5,515964.2904483431,518045.1545729641,15445.0,5678920.0,none
52,Ball,True,2.0,478445.0,478445.0,274282.47778157465,284498.0,672392.0,none
53,Ball,False,1030.0,351487.5,514416.7485436893,517737.98178185744,15445.0,5678920.0,none
54,Balloon,True,4.0,311958.0,374530.5,228687.9375531935,175397.0,698809.0,none
55,Balloon,False,1028.0,351487.5,514891.06906614784,518093.806059865,15445.0,5678920.0,none
56,Banana,True,1.0,266421.0,266421.0,,266421.0,266421.0,none
57,Banana,False,1031.0,351779.0,514587.5072744908,517501.86956409883,15445.0,5678920.0,none
58,Bank,True,1.0,257890.0,257890.0,,257890.0,257890.0,none
59,Bank,False,1031.0,351779.0,514595.78176527645,517497.8293532732,15445.0,5678920.0,none
60,Barechested,True,1.0,322615.0,322615.0,,322615.0,322615.0,none
61,Barechested,False,1031.0,351779.0,514533.0029097963,517525.0668488117,15445.0,5678920.0,none
62,Baseball cap,True,20.0,400257.0,490152.2,424339.0608362982,77432.0,1554575.0,none
63,Baseball cap,False,1012.0,351003.0,514825.1946640316,519139.9045838682,15445.0,5678920.0,none
64,Beard,True,87.0,263254.0,399180.9195402299,367381.31506430364,35930.0,1976500.0,none
65,Beard,False,945.0,358292.0,524949.6306878307,527863.9471391609,15445.0,5678920.0,none
66,Beauty,True,2.0,439405.0,439405.0,499234.358080451,86393.0,792417.0,none
67,Beauty,False,1030.0,351487.5,514492.55436893203,517566.5082806232,15445.0,5678920.0,none
68,Belt,True,3.0,84377.0,386753.3333333333,536151.6681614759,70090.0,1005793.0,none
69,Belt,False,1029.0,351779.0,514719.02915451897,517476.721235731,15445.0,5678920.0,none
70,Bench,True,1.0,1341487.0,1341487.0,,1341487.0,1341487.0,none
71,Bench,False,1031.0,351196.0,513544.76624636276,516916.86190113134,15445.0,5678920.0,none
72,Biome,True,2.0,286417.0,286417.0,84616.64007746939,226584.0,346250.0,none
73,Biome,False,1030.0,351916.0,514789.61844660196,517706.58525154705,15445.0,5678920.0,none
74,Bird,True,1.0,583381.0,583381.0,,583381.0,583381.0,none
75,Bird,False,1031.0,351196.0,514280.07759456837,517555.1067514011,15445.0,5678920.0,none
76,Bishop,True,1.0,811334.0,811334.0,,811334.0,811334.0,none
77,Bishop,False,1031.0,351196.0,514058.9786614937,517476.7671579435,15445.0,5678920.0,none
78,Black,True,3.0,156850.0,231096.66666666666,137134.72758325416,147094.0,389346.0,none
79,Black,False,1029.0,351779.0,515172.8386783285,517800.7890887246,15445.0,5678920.0,none
80,Black hair,True,2.0,217331.0,217331.0,1377.4440097513946,216357.0,218305.0,none
81,Black hair,False,1030.0,351916.0,514923.7660194175,517645.0900076714,15445.0,5678920.0,none
82,Blazer,True,133.0,497943.0,745786.962406015,769755.4162631731,45729.0,5678920.0,greater
83,Blazer,False,899.0,338224.0,480107.3136818687,459389.6014916616,15445.0,3770821.0,greater
84,Blue,True,66.0,261052.5,366865.86363636365,358334.73714983684,30580.0,2134880.0,less
85,Blue,False,966.0,355707.5,524423.3892339545,525045.3568517278,15445.0,5678920.0,less
86,Blurred,True,129.0,350810.0,559053.5813953489,669298.6722738994,28892.0,5678920.0,none
87,Blurred,False,903.0,351779.0,507960.3864894795,491919.5448618469,15445.0,3770821.0,none
88,Boat,True,1.0,130980.0,130980.0,,130980.0,130980.0,none
89,Boat,False,1031.0,351779.0,514718.8758486906,517421.5804336522,15445.0,5678920.0,none
90,Body of water,True,1.0,257890.0,257890.0,,257890.0,257890.0,none
91,Body of water,False,1031.0,351779.0,514595.78176527645,517497.8293532732,15445.0,5678920.0,none
92,Bodybuilder,True,1.0,942724.0,942724.0,,942724.0,942724.0,none
93,Bodybuilder,False,1031.0,351196.0,513931.5392822502,517387.2680347688,15445.0,5678920.0,none
94,Bodybuilding,True,1.0,942724.0,942724.0,,942724.0,942724.0,none
95,Bodybuilding,False,1031.0,351196.0,513931.5392822502,517387.2680347688,15445.0,5678920.0,none
96,Book,True,15.0,238745.0,232742.53333333333,166981.54174034015,45729.0,702760.0,less
97,Book,False,1017.0,355107.0,518500.49459193705,519602.49122462154,15445.0,5678920.0,less
98,Bookcase,True,16.0,232129.0,419605.375,479201.2960719639,76910.0,1864528.0,none
99,Bookcase,False,1016.0,353731.5,515839.030511811,517966.4403956495,15445.0,5678920.0,none
100,Botany,True,2.0,246502.5,246502.5,28169.012842128494,226584.0,266421.0,none
101,Botany,False,1030.0,351916.0,514867.1223300971,517675.341301225,15445.0,5678920.0,none
102,Bottle,True,2.0,245786.0,245786.0,289025.6541693142,41414.0,450158.0,none
103,Bottle,False,1030.0,351487.5,514868.513592233,517596.9475392065,15445.0,5678920.0,none
104,Bracelet,True,3.0,59441.0,93091.0,69026.24286458014,47343.0,172489.0,less
