,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,1D barcode,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
1,1D barcode,False,1666.0,25080.5,121236.93577430972,232874.07957260005,1404.0,2594701.0,none
2,2D barcode,True,3.0,16828.0,97023.0,148418.59466050743,5954.0,268287.0,none
3,2D barcode,False,1664.0,25080.5,121213.74158653847,232970.91487680798,1404.0,2594701.0,none
4,Abdomen,True,1.0,453466.0,453466.0,,453466.0,453466.0,none
5,Abdomen,False,1666.0,25051.5,120970.74969987995,232747.51487761343,1404.0,2594701.0,none
6,Academic dress,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
7,Academic dress,False,1666.0,25080.5,121236.93577430972,232874.07957260005,1404.0,2594701.0,none
8,Active shirt,True,2.0,20390.5,20390.5,25136.93896440058,2616.0,38165.0,none
9,Active shirt,False,1665.0,25054.0,121291.26366366366,232932.94557118946,1404.0,2594701.0,none
10,Adaptation,True,80.0,24905.5,93365.9875,156664.5969091976,2099.0,945411.0,none
11,Adaptation,False,1587.0,25129.0,122571.8059231254,235957.3798212344,1404.0,2594701.0,none
12,Advertising,True,51.0,10000.0,69269.96078431372,212699.52522870948,2770.0,1406229.0,less
13,Advertising,False,1616.0,26067.0,122808.1478960396,233299.2762090501,1404.0,2594701.0,less
14,Afro,True,1.0,7644.0,7644.0,,7644.0,7644.0,none
15,Afro,False,1666.0,25080.5,121238.34993997599,232873.39649934368,1404.0,2594701.0,none
16,Aircraft,True,1.0,152824.0,152824.0,,152824.0,152824.0,none
17,Aircraft,False,1666.0,25051.5,121151.20708283313,232888.73301062855,1404.0,2594701.0,none
18,Alarm clock,True,1.0,2742.0,2742.0,,2742.0,2742.0,none
19,Alarm clock,False,1666.0,25080.5,121241.29231692677,232871.92935174215,1404.0,2594701.0,none
20,Applause,True,3.0,10000.0,47802.0,65860.74177383671,9555.0,123851.0,none
21,Applause,False,1664.0,25080.5,121302.48137019231,232997.95750967375,1404.0,2594701.0,none
22,Aqua,True,5.0,108990.0,84229.0,68427.15946902955,3104.0,161444.0,none
23,Aqua,False,1662.0,25051.5,121281.34175691937,233137.26159418942,1404.0,2594701.0,none
24,Architecture,True,6.0,257583.5,351997.8333333333,350683.923764644,10000.0,841353.0,none
25,Architecture,False,1661.0,24998.0,120336.3925346177,232028.94760977314,1404.0,2594701.0,none
26,Arm,True,25.0,33886.0,149008.6,239001.64161796743,5369.0,1086304.0,none
27,Arm,False,1642.0,25023.5,120746.3580998782,232773.70647239755,1404.0,2594701.0,none
28,Art,True,40.0,44403.0,161702.025,261574.85324604824,3035.0,1435469.0,none
29,Art,False,1627.0,24390.0,120173.72710510141,232069.2968492203,1404.0,2594701.0,none
30,Artist,True,2.0,10000.0,10000.0,0.0,10000.0,10000.0,none
31,Artist,False,1665.0,25107.0,121303.74474474475,232928.07200100913,1404.0,2594701.0,none
32,Asphalt,True,2.0,11263.0,11263.0,8223.651865199548,5448.0,17078.0,none
33,Asphalt,False,1665.0,25107.0,121302.22762762762,232928.7060218789,1404.0,2594701.0,none
34,Atmosphere,True,1.0,193767.0,193767.0,,193767.0,193767.0,none
35,Atmosphere,False,1666.0,25051.5,121126.63145258103,232883.2258062666,1404.0,2594701.0,none
36,Audio equipment,True,46.0,24671.5,146921.0652173913,422200.8389028669,3282.0,2594701.0,none
37,Audio equipment,False,1621.0,25054.0,120439.46082665022,225329.79814557135,1404.0,1934869.0,none
38,Automotive design,True,9.0,26335.0,88885.11111111111,186794.81942524828,4036.0,582953.0,none
39,Automotive design,False,1658.0,25051.5,121345.45778045838,233078.25272566397,1404.0,2594701.0,none
40,Automotive exterior,True,7.0,13746.0,98370.42857142857,214266.11709185154,2994.0,582953.0,none
41,Automotive exterior,False,1660.0,25080.5,121266.35060240964,232949.9518948478,1404.0,2594701.0,none
