,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,2D barcode,True,1.0,19284.0,19284.0,,19284.0,19284.0,none
1,2D barcode,False,1612.0,80976.5,273262.1451612903,454620.68163744936,2368.0,5678920.0,none
2,Abdomen,True,1.0,31500.0,31500.0,,31500.0,31500.0,none
3,Abdomen,False,1612.0,80976.5,273254.5669975186,454624.8159175999,2368.0,5678920.0,none
4,Accordion,True,1.0,77300.0,77300.0,,77300.0,77300.0,none
5,Accordion,False,1612.0,80976.5,273226.15508684865,454638.5006933664,2368.0,5678920.0,none
6,Accordionist,True,1.0,77300.0,77300.0,,77300.0,77300.0,none
7,Accordionist,False,1612.0,80976.5,273226.15508684865,454638.5006933664,2368.0,5678920.0,none
8,Active pants,True,1.0,84400.0,84400.0,,84400.0,84400.0,none
9,Active pants,False,1612.0,80592.0,273221.7506203474,454640.36553508224,2368.0,5678920.0,none
10,Adaptation,True,66.0,140162.0,304378.1515151515,389738.13829202106,3485.0,2040971.0,none
11,Adaptation,False,1547.0,79348.0,271770.46153846156,457144.9132503377,2368.0,5678920.0,none
12,Advertising,True,5.0,55629.0,130378.0,192059.39171907215,20561.0,472882.0,none
13,Advertising,False,1608.0,81409.0,273548.49004975124,455059.4842714768,2368.0,5678920.0,none
14,Agricultural machinery,True,1.0,35260.0,35260.0,,35260.0,35260.0,none
15,Agricultural machinery,False,1612.0,80976.5,273252.23449131515,454626.0473786224,2368.0,5678920.0,none
16,Agriculture,True,3.0,249119.0,179152.0,126383.04802068986,33258.0,255079.0,none
17,Agriculture,False,1610.0,80592.0,273279.7552795031,454907.23357384047,2368.0,5678920.0,none
18,Air travel,True,5.0,86833.0,190108.2,273344.66060031246,32987.0,677253.0,none
19,Air travel,False,1608.0,80592.0,273362.7618159204,455002.252361674,2368.0,5678920.0,none
20,Aircraft,True,1.0,30060.0,30060.0,,30060.0,30060.0,none
21,Aircraft,False,1612.0,80976.5,273255.4602977667,454624.33917821303,2368.0,5678920.0,none
22,Alcoholic beverage,True,1.0,337966.0,337966.0,,337966.0,337966.0,none
23,Alcoholic beverage,False,1612.0,80592.0,273064.4516129032,454661.81563699595,2368.0,5678920.0,none
24,Amber,True,1.0,1149049.0,1149049.0,,1149049.0,1149049.0,none
25,Amber,False,1612.0,80592.0,272561.2983870968,454140.2972016775,2368.0,5678920.0,none
