,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,2D barcode,True,1.0,19284.0,19284.0,,19284.0,19284.0,none
1,2D barcode,False,844.0,53241.0,74230.39336492891,70227.00757229513,6665.0,764231.0,none
2,Adaptation,True,25.0,68298.0,82424.32,46082.932057071484,26306.0,159541.0,none
3,Adaptation,False,820.0,52736.0,73913.57073170731,70821.32742885422,6665.0,764231.0,none
4,Advertising,True,3.0,55629.0,45102.666666666664,21325.18071044964,20561.0,59118.0,none
5,Advertising,False,842.0,53121.5,74268.91686460808,70306.76735787337,6665.0,764231.0,none
6,Agricultural machinery,True,1.0,35260.0,35260.0,,35260.0,35260.0,none
7,Agricultural machinery,False,844.0,53241.0,74211.4644549763,70239.67600336754,6665.0,764231.0,none
8,Agriculture,True,1.0,33258.0,33258.0,,33258.0,33258.0,none
9,Agriculture,False,844.0,53241.0,74213.836492891,70238.32512999543,6665.0,764231.0,none
10,Air travel,True,2.0,59910.0,59910.0,38074.87173977084,32987.0,86833.0,none
11,Air travel,False,843.0,53151.0,74199.18861209965,70278.4867358937,6665.0,764231.0,none
12,Aircraft,True,1.0,30060.0,30060.0,,30060.0,30060.0,none
13,Aircraft,False,844.0,53241.0,74217.62559241705,70236.02658979088,6665.0,764231.0,none
14,Alcoholic beverage,True,1.0,337966.0,337966.0,,337966.0,337966.0,none
15,Alcoholic beverage,False,844.0,53121.5,73852.80805687203,69661.7584854288,6665.0,764231.0,none
16,Animal,True,1.0,20975.0,20975.0,,20975.0,20975.0,none
17,Animal,False,844.0,53241.0,74228.38981042654,70228.55283914012,6665.0,764231.0,none
18,Architecture,True,1.0,66674.0,66674.0,,66674.0,66674.0,none
19,Architecture,False,844.0,53121.5,74174.24407582938,70251.99702649612,6665.0,764231.0,none
20,Arecales,True,1.0,42552.0,42552.0,,42552.0,42552.0,none
21,Arecales,False,844.0,53241.0,74202.82464454976,70244.02322650889,6665.0,764231.0,none
22,Arm,True,8.0,63052.5,79649.75,49111.13537027161,19707.0,165506.0,none
23,Arm,False,837.0,53151.0,74112.9486260454,70400.63203125713,6665.0,764231.0,none
24,Army,True,1.0,21160.0,21160.0,,21160.0,21160.0,none
25,Army,False,844.0,53241.0,74228.17061611374,70228.71895888947,6665.0,764231.0,none
26,Art,True,3.0,85272.0,99044.66666666667,86199.19756200364,20561.0,191301.0,none
27,Art,False,842.0,53121.5,74076.72446555819,70194.44922831294,6665.0,764231.0,none
28,Artist,True,1.0,128998.0,128998.0,,128998.0,128998.0,none
29,Artist,False,844.0,53121.5,74100.40047393365,70227.05278548656,6665.0,764231.0,none
30,Asphalt,True,61.0,29202.0,40161.262295081964,38358.35227296294,10000.0,254370.0,less
31,Asphalt,False,784.0,55688.5,76811.09566326531,71440.63691518853,6665.0,764231.0,less
