,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,1D barcode,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
1,1D barcode,False,3587.0,47488.0,186765.89852244215,357629.7485551517,1404.0,5678920.0,none
2,2D barcode,True,4.0,18056.0,77588.25,127264.38697026229,5954.0,268287.0,none
3,2D barcode,False,3584.0,47494.0,186838.427734375,357754.0674609334,1404.0,5678920.0,none
4,Abdomen,True,2.0,242483.0,242483.0,298375.0200301627,31500.0,453466.0,none
5,Abdomen,False,3586.0,47442.5,186685.5303959844,357654.662078799,1404.0,5678920.0,none
6,Academic dress,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
7,Academic dress,False,3587.0,47488.0,186765.89852244215,357629.7485551517,1404.0,5678920.0,none
8,Accordion,True,1.0,77300.0,77300.0,,77300.0,77300.0,none
9,Accordion,False,3587.0,47397.0,186747.1363256203,357637.25831406325,1404.0,5678920.0,none
10,Accordionist,True,1.0,77300.0,77300.0,,77300.0,77300.0,none
11,Accordionist,False,3587.0,47397.0,186747.1363256203,357637.25831406325,1404.0,5678920.0,none
12,Active pants,True,1.0,84400.0,84400.0,,84400.0,84400.0,none
13,Active pants,False,3587.0,47397.0,186745.15695567327,357637.8445671034,1404.0,5678920.0,none
14,Active shirt,True,2.0,20390.5,20390.5,25136.93896440058,2616.0,38165.0,none
15,Active shirt,False,3586.0,47494.0,186809.39682097043,357669.971240425,1404.0,5678920.0,none
16,Adaptation,True,157.0,51532.0,180045.64331210192,295971.19561854657,2099.0,2040971.0,none
17,Adaptation,False,3431.0,47276.0,187021.89215972018,360192.8709990693,1404.0,5678920.0,none
18,Advertising,True,64.0,16156.5,68613.40625,196970.9432907509,2770.0,1406229.0,less
19,Advertising,False,3524.0,48377.5,188861.5266742338,359504.1963454805,1404.0,5678920.0,less
20,Afro,True,2.0,10022.0,10022.0,3362.99985132322,7644.0,12400.0,none
21,Afro,False,3586.0,47494.0,186815.17958728387,357667.4379310552,1404.0,5678920.0,none
22,Agricultural machinery,True,1.0,35260.0,35260.0,,35260.0,35260.0,none
23,Agricultural machinery,False,3587.0,47488.0,186758.85642598273,357632.981376617,1404.0,5678920.0,none
24,Agriculture,True,3.0,249119.0,179152.0,126383.04802068986,33258.0,255079.0,none
25,Agriculture,False,3585.0,47397.0,186722.9629009763,357729.1766587006,1404.0,5678920.0,none
26,Air travel,True,5.0,86833.0,190108.2,273344.66060031246,32987.0,677253.0,none
27,Air travel,False,3583.0,47343.0,186711.899804633,357724.9353992246,1404.0,5678920.0,none
28,Aircraft,True,3.0,30060.0,62435.0,79321.92679833238,4421.0,152824.0,none
29,Aircraft,False,3585.0,47488.0,186820.6340306834,357718.7080193694,1404.0,5678920.0,none
30,Alarm clock,True,1.0,2742.0,2742.0,,2742.0,2742.0,none
31,Alarm clock,False,3587.0,47488.0,186767.9219403401,357628.7276148486,1404.0,5678920.0,none
32,Alcoholic beverage,True,1.0,337966.0,337966.0,,337966.0,337966.0,none
33,Alcoholic beverage,False,3587.0,47397.0,186674.4666852523,357633.0058441897,1404.0,5678920.0,none
34,Amber,True,1.0,1149049.0,1149049.0,,1149049.0,1149049.0,none
35,Amber,False,3587.0,47397.0,186448.34931697798,357280.59877752594,1404.0,5678920.0,none
36,Animal,True,3.0,20975.0,19934.333333333332,11620.999799214065,7828.0,31000.0,none
37,Animal,False,3585.0,47500.0,186856.19944211995,357709.02488850616,1404.0,5678920.0,none
38,Applause,True,4.0,66925.5,134541.5,181622.4701012148,9555.0,394760.0,none
39,Applause,False,3584.0,47442.5,186774.8638392857,357748.7689763552,1404.0,5678920.0,none
40,Aqua,True,7.0,108990.0,170235.85714285713,265036.6095004163,3104.0,754906.0,none
41,Aqua,False,3581.0,47397.0,186748.8486456297,357776.26856499136,1404.0,5678920.0,none
42,Architecture,True,9.0,66674.0,253040.11111111112,314633.0703690588,10000.0,841353.0,none
43,Architecture,False,3579.0,47343.0,186549.8510757195,357716.7922618589,1404.0,5678920.0,none
44,Arecales,True,1.0,42552.0,42552.0,,42552.0,42552.0,none
45,Arecales,False,3587.0,47488.0,186756.82352941178,357633.8220456205,1404.0,5678920.0,none
46,Arm,True,49.0,58248.0,203608.77551020408,300323.4345607849,5369.0,1200000.0,none
47,Arm,False,3539.0,47276.0,186482.7487990958,358350.9467768516,1404.0,5678920.0,none
48,Army,True,2.0,157445.5,157445.5,192736.80245479845,21160.0,293731.0,none
49,Army,False,3586.0,47442.5,186732.95789180146,357676.6506483989,1404.0,5678920.0,none
50,Art,True,54.0,40805.5,145237.46296296295,239944.49360442406,3035.0,1435469.0,none
51,Art,False,3534.0,47536.0,187350.44001131863,359076.8222729837,1404.0,5678920.0,none
52,Artist,True,6.0,104553.0,532217.0,1127045.1938010294,10000.0,2830096.0,none
53,Artist,False,3582.0,47370.0,186137.90508096037,355123.1177025474,1404.0,5678920.0,none
54,Asphalt,True,85.0,32766.0,149245.23529411765,257804.82231657748,5448.0,1475104.0,less
55,Asphalt,False,3503.0,47850.0,187625.87296602913,359647.97337034513,1404.0,5678920.0,less
56,Astronomical object,True,1.0,152280.0,152280.0,,152280.0,152280.0,none
57,Astronomical object,False,3587.0,47397.0,186726.23306384165,357641.4646177674,1404.0,5678920.0,none
58,Atmosphere,True,2.0,122544.0,122544.0,100724.53255289895,51321.0,193767.0,none
59,Atmosphere,False,3586.0,47370.0,186752.42331288345,357684.63473497296,1404.0,5678920.0,none
60,Atmospheric phenomenon,True,1.0,31617.0,31617.0,,31617.0,31617.0,none
61,Atmospheric phenomenon,False,3587.0,47488.0,186759.8720379147,357632.54585186124,1404.0,5678920.0,none
62,Audio equipment,True,127.0,45613.0,174552.72440944883,340504.28639645636,3282.0,2594701.0,none
63,Audio equipment,False,3461.0,47572.0,187162.9823750361,358242.68605531444,1404.0,5678920.0,none
64,Automotive design,True,57.0,51971.0,273270.5789473684,555567.8749412604,4036.0,3518737.0,none
65,Automotive design,False,3531.0,47331.0,185319.41517983575,353436.6099563646,1404.0,5678920.0,none
66,Automotive exterior,True,23.0,54229.0,168637.8260869565,310952.24158376537,2994.0,1378583.0,none
67,Automotive exterior,False,3565.0,47331.0,186833.2701262272,357908.255398886,1404.0,5678920.0,none
68,Automotive lighting,True,39.0,33443.0,160256.2564102564,285014.4109841057,2912.0,1378583.0,none
