,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,2D barcode,True,1.0,268287.0,268287.0,,268287.0,268287.0,none
1,2D barcode,False,524.0,226759.5,337481.95229007635,320938.00168725016,15445.0,2594701.0,none
2,Abdomen,True,1.0,453466.0,453466.0,,453466.0,453466.0,none
3,Abdomen,False,524.0,226759.5,337128.5572519084,320911.99595879065,15445.0,2594701.0,none
4,Adaptation,True,27.0,164641.0,235219.40740740742,204520.7047625213,15445.0,945411.0,none
5,Adaptation,False,498.0,229062.5,342887.3614457831,324982.4715754894,16194.0,2594701.0,none
6,Advertising,True,7.0,221941.0,423094.4285714286,455251.1339725423,81965.0,1406229.0,none
7,Advertising,False,518.0,226893.5,336191.4459459459,318903.8445909272,15445.0,2594701.0,none
8,Aircraft,True,1.0,152824.0,152824.0,,152824.0,152824.0,none
9,Aircraft,False,524.0,226893.5,337702.30152671755,320850.6023586029,15445.0,2594701.0,none
10,Aqua,True,2.0,143496.5,143496.5,25381.59791069112,125549.0,161444.0,none
11,Aqua,False,523.0,226939.0,338091.46653919696,321032.5677575592,15445.0,2594701.0,none
12,Architecture,True,4.0,510409.0,518056.25,307568.97907231044,210054.0,841353.0,none
13,Architecture,False,521.0,226671.0,335962.773512476,320633.35540033184,15445.0,2594701.0,none
14,Arm,True,11.0,264051.0,317034.36363636365,285220.0273396918,47343.0,1086304.0,none
15,Arm,False,514.0,226759.5,337784.9260700389,321595.27148147265,15445.0,2594701.0,none
16,Art,True,19.0,268287.0,322883.5263157895,309501.2209353711,75659.0,1435469.0,none
17,Art,False,506.0,226759.5,337893.3656126482,321340.1489176886,15445.0,2594701.0,none
18,Atmosphere,True,1.0,193767.0,193767.0,,193767.0,193767.0,none
19,Atmosphere,False,524.0,226893.5,337624.16603053437,320890.70422090037,15445.0,2594701.0,none
20,Audio equipment,True,11.0,232215.0,534957.2727272727,763515.7066160579,50251.0,2594701.0,none
21,Audio equipment,False,514.0,226759.5,333121.20622568094,304630.02160114446,15445.0,1934869.0,none
22,Automotive design,True,2.0,330839.5,330839.5,356542.3309573493,78726.0,582953.0,none
23,Automotive design,False,523.0,226848.0,337375.0497131931,320880.014132617,15445.0,2594701.0,none
24,Automotive exterior,True,1.0,582953.0,582953.0,,582953.0,582953.0,none
25,Automotive exterior,False,524.0,226759.5,336881.44465648854,320772.1653873352,15445.0,2594701.0,none
26,Automotive lighting,True,1.0,582953.0,582953.0,,582953.0,582953.0,none
27,Automotive lighting,False,524.0,226759.5,336881.44465648854,320772.1653873352,15445.0,2594701.0,none
28,Automotive tire,True,1.0,44106.0,44106.0,,44106.0,44106.0,none
29,Automotive tire,False,524.0,226893.5,337909.7786259542,320695.4997634133,15445.0,2594701.0,none
30,Award ceremony,True,1.0,76036.0,76036.0,,76036.0,76036.0,none
31,Award ceremony,False,524.0,226893.5,337848.8435114504,320748.3824843029,15445.0,2594701.0,none
32,Azure,True,4.0,128696.0,146108.75,113584.86299202313,30580.0,296463.0,none
33,Azure,False,521.0,226939.0,338818.41650671785,321320.2514493152,15445.0,2594701.0,none
34,Ball,True,1.0,284498.0,284498.0,,284498.0,284498.0,none
35,Ball,False,524.0,226759.5,337451.01526717556,320943.9001552991,15445.0,2594701.0,none
36,Balloon,True,4.0,311958.0,374530.5,228687.9375531935,175397.0,698809.0,none
37,Balloon,False,521.0,226671.0,337064.69865642994,321391.0283737161,15445.0,2594701.0,none
38,Barechested,True,1.0,322615.0,322615.0,,322615.0,322615.0,none
39,Barechested,False,524.0,226759.5,337378.2729007634,320951.5887301051,15445.0,2594701.0,none
40,Baseball cap,True,14.0,275920.5,321087.64285714284,196575.01932051955,77432.0,649115.0,none
41,Baseball cap,False,511.0,226671.0,337795.70058708417,323486.7039732557,15445.0,2594701.0,none
42,Beard,True,79.0,243181.0,353269.96202531643,321181.29378043313,35930.0,1685596.0,none
43,Beard,False,446.0,226274.5,334530.2757847534,320829.54145610915,15445.0,2594701.0,none
44,Beauty,True,2.0,439405.0,439405.0,499234.358080451,86393.0,792417.0,none
45,Beauty,False,523.0,226848.0,336959.88527724665,320453.0495043512,15445.0,2594701.0,none
46,Belt,True,3.0,84377.0,386753.3333333333,536151.6681614759,70090.0,1005793.0,none
47,Belt,False,522.0,226893.5,337066.22605363984,319825.18491612875,15445.0,2594701.0,none
48,Biome,True,1.0,226584.0,226584.0,,226584.0,226584.0,none
49,Biome,False,524.0,226893.5,337561.53816793894,320915.6186975079,15445.0,2594701.0,none
50,Bird,True,1.0,583381.0,583381.0,,583381.0,583381.0,none
51,Bird,False,524.0,226759.5,336880.62786259543,320771.53706066986,15445.0,2594701.0,none
52,Bishop,True,1.0,811334.0,811334.0,,811334.0,811334.0,none
53,Bishop,False,524.0,226759.5,336445.6030534351,320281.0592816509,15445.0,2594701.0,none
54,Black,True,1.0,147094.0,147094.0,,147094.0,147094.0,none
55,Black,False,524.0,226893.5,337713.2366412214,320844.1912739492,15445.0,2594701.0,none
