,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,1D barcode,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
1,1D barcode,False,1974.0,23828.0,116216.52279635258,229337.29958416216,1404.0,2594701.0,none
2,2D barcode,True,3.0,16828.0,97023.0,148418.59466050743,5954.0,268287.0,none
3,2D barcode,False,1972.0,23828.0,116191.85953346857,229416.16528740543,1404.0,2594701.0,none
4,Abdomen,True,1.0,453466.0,453466.0,,453466.0,453466.0,none
5,Abdomen,False,1974.0,23788.0,115991.86930091186,229223.94687008063,1404.0,2594701.0,none
6,Academic dress,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
7,Academic dress,False,1974.0,23828.0,116216.52279635258,229337.29958416216,1404.0,2594701.0,none
8,Active shirt,True,2.0,20390.5,20390.5,25136.93896440058,2616.0,38165.0,none
9,Active shirt,False,1973.0,23812.0,116259.82513938165,229386.9088289273,1404.0,2594701.0,none
10,Adaptation,True,91.0,25049.0,89870.41758241758,150257.89444145438,2099.0,945411.0,none
11,Adaptation,False,1884.0,23699.5,117432.70063694268,232381.82817147544,1404.0,2594701.0,none
12,Advertising,True,59.0,13300.0,63379.1186440678,198094.7080321626,2770.0,1406229.0,none
13,Advertising,False,1916.0,24374.5,117788.12526096034,230037.95683907598,1404.0,2594701.0,none
14,Afro,True,2.0,10022.0,10022.0,3362.99985132322,7644.0,12400.0,none
15,Afro,False,1973.0,23844.0,116270.33552965029,229382.96190624818,1404.0,2594701.0,none
16,Aircraft,True,2.0,78622.5,78622.5,104936.76764842721,4421.0,152824.0,none
17,Aircraft,False,1973.0,23812.0,116200.79624936645,229392.6144869849,1404.0,2594701.0,none
18,Alarm clock,True,1.0,2742.0,2742.0,,2742.0,2742.0,none
19,Alarm clock,False,1974.0,23828.0,116220.19959473152,229335.53758182118,1404.0,2594701.0,none
20,Applause,True,3.0,10000.0,47802.0,65860.74177383671,9555.0,123851.0,none
21,Applause,False,1972.0,23828.0,116266.73935091277,229440.97782546573,1404.0,2594701.0,none
22,Aqua,True,6.0,65524.0,72790.83333333333,67311.2981791814,3104.0,161444.0,none
23,Aqua,False,1969.0,23812.0,116294.90655154901,229603.33183239965,1404.0,2594701.0,none
24,Architecture,True,6.0,257583.5,351997.8333333333,350683.923764644,10000.0,841353.0,none
25,Architecture,False,1969.0,23733.0,115444.09801929914,228587.88735366988,1404.0,2594701.0,none
26,Arm,True,30.0,33493.0,171770.5,294023.6018234321,5369.0,1200000.0,none
27,Arm,False,1945.0,23733.0,115305.03907455014,228140.11951745083,1404.0,2594701.0,none
28,Art,True,46.0,28486.5,141506.23913043478,249159.41697236375,3035.0,1435469.0,none
29,Art,False,1929.0,23666.0,115558.38724727838,228832.64143777406,1404.0,2594701.0,none
30,Artist,True,2.0,10000.0,10000.0,0.0,10000.0,10000.0,none
31,Artist,False,1973.0,23844.0,116270.35783071465,229382.96407157916,1404.0,2594701.0,none
32,Asphalt,True,2.0,11263.0,11263.0,8223.651865199548,5448.0,17078.0,none
33,Asphalt,False,1973.0,23844.0,116269.07754688292,229383.47922831977,1404.0,2594701.0,none
34,Atmosphere,True,1.0,193767.0,193767.0,,193767.0,193767.0,none
35,Atmosphere,False,1974.0,23788.0,116123.42907801419,229343.1016862536,1404.0,2594701.0,none
36,Audio equipment,True,62.0,20272.5,116980.6129032258,366479.6268040976,3282.0,2594701.0,none
37,Audio equipment,False,1913.0,23844.0,116136.23523261893,223594.63462992772,1404.0,1934869.0,none
38,Automotive design,True,10.0,27352.0,120726.6,202864.94517628662,4036.0,582953.0,none
39,Automotive design,False,1965.0,23764.0,116139.5165394402,229463.85759871168,1404.0,2594701.0,none
40,Automotive exterior,True,8.0,17623.0,88761.625,200224.9604612183,2994.0,582953.0,none
41,Automotive exterior,False,1967.0,23844.0,116274.18556176919,229440.16948203224,1404.0,2594701.0,none
42,Automotive lighting,True,5.0,21326.0,134018.2,251690.03683737663,2912.0,582953.0,none
43,Automotive lighting,False,1970.0,23828.0,116117.42385786802,229300.39052582893,1404.0,2594701.0,none
44,Automotive mirror,True,1.0,4036.0,4036.0,,4036.0,4036.0,none
45,Automotive mirror,False,1974.0,23828.0,116219.54407294832,229335.8602554489,1404.0,2594701.0,none
46,Automotive tire,True,4.0,9702.0,18181.75,17286.05805025156,9217.0,44106.0,none
47,Automotive tire,False,1971.0,23844.0,116361.58751902588,229480.77966578834,1404.0,2594701.0,none
48,Award ceremony,True,1.0,76036.0,76036.0,,76036.0,76036.0,none
49,Award ceremony,False,1974.0,23788.0,116183.06990881459,229347.9796008824,1404.0,2594701.0,none
50,Azure,True,11.0,30580.0,71604.81818181818,90556.37568920056,3104.0,296463.0,none
51,Azure,False,1964.0,23788.0,116412.30295315682,229818.0000357109,1404.0,2594701.0,none
52,Baby,True,2.0,9307.0,9307.0,7803.630437174738,3789.0,14825.0,none
53,Baby,False,1973.0,23844.0,116271.06031424228,229382.57007886123,1404.0,2594701.0,none
54,Bag,True,3.0,10500.0,13378.0,13305.527535577085,1747.0,27887.0,none
55,Bag,False,1972.0,23828.0,116319.10851926978,229430.6064721067,1404.0,2594701.0,none
56,Ball,True,4.0,21950.0,83912.75,134257.8732176131,7253.0,284498.0,none
57,Ball,False,1971.0,23812.0,116228.19127346524,229459.90975000104,1404.0,2594701.0,none
58,Ball game,True,1.0,10000.0,10000.0,,10000.0,10000.0,none
59,Ball game,False,1974.0,23828.0,116216.52279635258,229337.29958416216,1404.0,2594701.0,none
60,Balloon,True,7.0,175397.0,227096.42857142858,245156.96519295356,10000.0,698809.0,none
61,Balloon,False,1968.0,23699.5,115768.16107723577,229204.01937042613,1404.0,2594701.0,none
62,Band plays,True,1.0,3492.0,3492.0,,3492.0,3492.0,none
63,Band plays,False,1974.0,23828.0,116219.81965552179,229335.7250539903,1404.0,2594701.0,none
64,Barechested,True,1.0,322615.0,322615.0,,322615.0,322615.0,none
65,Barechested,False,1974.0,23788.0,116058.15653495441,229302.63497202637,1404.0,2594701.0,none
66,Baseball cap,True,47.0,48936.0,133453.6170212766,181065.66875878908,2041.0,649115.0,none
67,Baseball cap,False,1928.0,23364.0,115741.23236514523,230362.51639102923,1404.0,2594701.0,none
68,Beard,True,299.0,27394.0,139318.90635451506,263586.5273773114,2042.0,1700000.0,none
69,Beard,False,1676.0,23145.0,112031.66050119331,222454.50187927356,1404.0,2594701.0,none
70,Beauty,True,6.0,25943.5,160088.0,310940.646170294,13831.0,792417.0,none
71,Beauty,False,1969.0,23764.0,116028.89182326054,229092.58611208558,1404.0,2594701.0,none
72,Belt,True,8.0,54333.0,169447.875,339351.2117882077,8082.0,1005793.0,none
73,Belt,False,1967.0,23733.0,115946.02592780885,228838.31038368834,1404.0,2594701.0,none
74,Bicycle,True,1.0,9412.0,9412.0,,9412.0,9412.0,none
75,Bicycle,False,1974.0,23828.0,116216.820668693,229337.16117373752,1404.0,2594701.0,none
76,Biome,True,3.0,25600.0,89761.33333333333,118568.09893615288,17100.0,226584.0,none
77,Biome,False,1972.0,23788.0,116202.90669371196,229432.69104390577,1404.0,2594701.0,none
78,Bird,True,5.0,32393.0,147906.8,246982.87550901176,4770.0,583381.0,none
79,Bird,False,1970.0,23788.0,116082.17360406091,229306.96446623787,1404.0,2594701.0,none
80,Bishop,True,1.0,811334.0,811334.0,,811334.0,811334.0,none
81,Bishop,False,1974.0,23788.0,115810.57852077001,228814.8814406996,1404.0,2594701.0,none
82,Black,True,3.0,10000.0,54916.0,79837.10723717387,7654.0,147094.0,none
83,Black,False,1972.0,23828.0,116255.9168356998,229439.53788211566,1404.0,2594701.0,none
84,Black hair,True,2.0,16115.0,16115.0,6342.747827243331,11630.0,20600.0,none
85,Black hair,False,1973.0,23844.0,116264.15914850481,229385.7100676995,1404.0,2594701.0,none
86,Black-and-white,True,1.0,16910.0,16910.0,,16910.0,16910.0,none
87,Black-and-white,False,1974.0,23828.0,116213.02228976697,229338.86885504297,1404.0,2594701.0,none
88,Blazer,True,195.0,32400.0,180173.59487179486,343948.082880813,3767.0,2594701.0,greater
89,Blazer,False,1780.0,23247.0,109150.31741573034,211987.05671871308,1404.0,1934869.0,greater
90,Blue,True,128.0,47836.5,167348.640625,247662.63581194208,3638.0,1443782.0,none
91,Blue,False,1847.0,22900.0,112615.47915538712,227609.48268360156,1404.0,2594701.0,none
92,Blurred,True,268.0,27210.0,80248.73134328358,129179.25459116511,2071.0,1012259.0,greater
93,Blurred,False,1707.0,23005.0,121801.26303456356,240806.26601385907,1404.0,2594701.0,greater
94,Body of water,True,3.0,17078.0,17717.666666666668,11737.579832884347,6313.0,29762.0,none
