,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,Abdomen,True,1.0,31500.0,31500.0,,31500.0,31500.0,none
1,Abdomen,False,260.0,31750.0,92766.59615384616,164234.7650932821,2368.0,1200000.0,none
2,Accordion,True,1.0,77300.0,77300.0,,77300.0,77300.0,none
3,Accordion,False,260.0,31400.0,92590.44230769231,164275.97496533487,2368.0,1200000.0,none
4,Accordionist,True,1.0,77300.0,77300.0,,77300.0,77300.0,none
5,Accordionist,False,260.0,31400.0,92590.44230769231,164275.97496533487,2368.0,1200000.0,none
6,Active pants,True,1.0,84400.0,84400.0,,84400.0,84400.0,none
7,Active pants,False,260.0,31400.0,92563.13461538461,164277.93183110084,2368.0,1200000.0,none
8,Adaptation,True,11.0,15900.0,27808.636363636364,29186.11846845252,3485.0,105100.0,none
9,Adaptation,False,250.0,32300.0,95379.68,166864.9670010414,2368.0,1200000.0,none
10,Advertising,True,1.0,43700.0,43700.0,,43700.0,43700.0,none
11,Advertising,False,260.0,31400.0,92719.67307692308,164250.5799591697,2368.0,1200000.0,none
12,Animal,True,2.0,19414.0,19414.0,16385.07833365468,7828.0,31000.0,none
13,Animal,False,259.0,32200.0,93096.4749034749,164466.6947836447,2368.0,1200000.0,none
14,Architecture,True,2.0,49350.0,49350.0,24253.76259469858,32200.0,66500.0,none
15,Architecture,False,259.0,31300.0,92865.30888030888,164545.59067948087,2368.0,1200000.0,none
16,Arm,True,6.0,62600.0,126000.0,152065.4990456415,13700.0,401100.0,none
17,Arm,False,255.0,31500.0,91744.37254901961,164427.69801271998,2368.0,1200000.0,none
18,Art,True,2.0,39242.0,39242.0,48023.864151065565,5284.0,73200.0,none
19,Art,False,259.0,31500.0,92943.36293436293,164502.20287332888,2368.0,1200000.0,none
20,Artist,True,1.0,134100.0,134100.0,,134100.0,134100.0,none
21,Artist,False,260.0,31400.0,92371.98076923077,164258.32720898456,2368.0,1200000.0,none
22,Asphalt,True,4.0,49100.0,171252.75,274931.73915886227,5511.0,581300.0,none
23,Asphalt,False,257.0,31500.0,91306.63035019455,162233.2564332512,2368.0,1200000.0,none
24,Audio equipment,True,20.0,31900.0,80632.45,124171.3129724944,4149.0,520700.0,none
25,Audio equipment,False,241.0,31500.0,93519.36099585063,167004.7720933895,2368.0,1200000.0,none
26,Automotive design,True,3.0,581300.0,595462.0,597582.871685593,5086.0,1200000.0,none
27,Automotive design,False,258.0,31400.0,86683.83333333333,146395.22022326157,2368.0,910500.0,none
28,Automotive exterior,True,1.0,581300.0,581300.0,,581300.0,581300.0,none
29,Automotive exterior,False,260.0,31400.0,90651.98076923077,161435.98050348993,2368.0,1200000.0,none
30,Automotive lighting,True,2.0,293405.5,293405.5,407144.30643262103,5511.0,581300.0,none
31,Automotive lighting,False,259.0,31500.0,90980.71042471043,161661.32602286202,2368.0,1200000.0,none
32,Automotive tire,True,1.0,98400.0,98400.0,,98400.0,98400.0,none
33,Automotive tire,False,260.0,31400.0,92509.28846153847,164278.30569001997,2368.0,1200000.0,none
34,Baked goods,True,1.0,30400.0,30400.0,,30400.0,30400.0,none
35,Baked goods,False,260.0,31850.0,92770.82692307692,164233.1664561726,2368.0,1200000.0,none
36,Ball,True,1.0,240600.0,240600.0,,240600.0,240600.0,none
37,Ball,False,260.0,31400.0,91962.36538461539,164019.87772411708,2368.0,1200000.0,none
38,Band plays,True,1.0,46500.0,46500.0,,46500.0,46500.0,none
39,Band plays,False,260.0,31400.0,92708.90384615384,164253.71385467207,2368.0,1200000.0,none
40,Barechested,True,1.0,31500.0,31500.0,,31500.0,31500.0,none
41,Barechested,False,260.0,31750.0,92766.59615384616,164234.7650932821,2368.0,1200000.0,none
42,Baseball cap,True,3.0,33400.0,414187.6666666667,680641.3339317068,9163.0,1200000.0,none
43,Baseball cap,False,258.0,31400.0,88791.67441860466,149567.7230281438,2368.0,910500.0,none
44,Beard,True,5.0,208300.0,275900.0,241772.59977094177,33400.0,676800.0,greater
45,Beard,False,256.0,31000.0,88950.44921875,160691.42679352433,2368.0,1200000.0,greater
46,Bicycle clothing,True,1.0,2647.0,2647.0,,2647.0,2647.0,none
47,Bicycle clothing,False,260.0,31850.0,92877.56923076924,164183.37628106336,2368.0,1200000.0,none
48,Black hair,True,1.0,15400.0,15400.0,,15400.0,15400.0,none
49,Black hair,False,260.0,31850.0,92828.51923076923,164208.5152389848,2368.0,1200000.0,none
50,Blazer,True,28.0,48200.0,106523.0,156916.6882501903,6656.0,759100.0,none
51,Blazer,False,233.0,31000.0,90850.51931330471,165034.0176211873,2368.0,1200000.0,none
52,Blue,True,2.0,67050.0,67050.0,53810.826048296265,29000.0,105100.0,none
53,Blue,False,259.0,31500.0,92728.62934362935,164547.26435961848,2368.0,1200000.0,none
54,Blurred,True,47.0,30300.0,71423.02127659574,109806.46570819782,4147.0,591800.0,none
55,Blurred,False,214.0,31850.0,97167.91121495327,173470.19060431462,2368.0,1200000.0,none
56,Bodybuilder,True,1.0,31500.0,31500.0,,31500.0,31500.0,none
57,Bodybuilder,False,260.0,31750.0,92766.59615384616,164234.7650932821,2368.0,1200000.0,none
58,Bodybuilding,True,1.0,31500.0,31500.0,,31500.0,31500.0,none
59,Bodybuilding,False,260.0,31750.0,92766.59615384616,164234.7650932821,2368.0,1200000.0,none
60,Book,True,6.0,10116.5,33820.333333333336,44495.15441783146,4833.0,115700.0,none
61,Book,False,255.0,32200.0,93913.30588235294,165518.67010505797,2368.0,1200000.0,none
62,Bookcase,True,10.0,12050.0,21794.7,34250.52498235125,2937.0,117700.0,less
63,Bookcase,False,251.0,32700.0,95350.07171314741,166459.27294416144,2368.0,1200000.0,less
64,Bottle,True,1.0,80000.0,80000.0,,80000.0,80000.0,none
65,Bottle,False,260.0,31400.0,92580.05769230769,164276.85927331098,2368.0,1200000.0,none
66,Building,True,6.0,46000.0,173333.33333333334,325971.6040802736,11800.0,837500.0,none
67,Building,False,255.0,31000.0,90630.64705882352,158962.9138334666,2368.0,1200000.0,none
68,Cameras & optics,True,1.0,5086.0,5086.0,,5086.0,5086.0,none
69,Cameras & optics,False,260.0,31850.0,92868.18846153846,164188.4812985567,2368.0,1200000.0,none
70,Cap,True,7.0,16800.0,188693.85714285713,446329.5592427299,2647.0,1200000.0,none
71,Cap,False,254.0,31850.0,89881.72440944881,150466.8229289331,2368.0,910500.0,none
72,Car,True,5.0,32800.0,143009.4,246409.79290969745,2647.0,581300.0,none
