,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,Adaptation,True,11.0,33600.0,64448.09090909091,92153.40220138867,2764.0,302300.0,none
1,Adaptation,False,297.0,19100.0,89972.22895622895,210506.51830991104,1712.0,1700000.0,none
2,Advertising,True,8.0,27000.0,25825.0,11345.704032804664,10600.0,39200.0,none
3,Advertising,False,300.0,18800.0,90746.93666666666,209911.07393368418,1712.0,1700000.0,none
4,Afro,True,1.0,12400.0,12400.0,,12400.0,12400.0,none
5,Afro,False,307.0,19700.0,89310.36156351792,207715.42210683934,1712.0,1700000.0,none
6,Aircraft,True,1.0,4421.0,4421.0,,4421.0,4421.0,none
7,Aircraft,False,307.0,19700.0,89336.35179153095,207705.26461576414,1712.0,1700000.0,none
8,Aqua,True,1.0,15600.0,15600.0,,15600.0,15600.0,none
9,Aqua,False,307.0,19700.0,89299.93811074918,207719.21334024981,1712.0,1700000.0,none
10,Arm,True,5.0,33100.0,285580.0,514394.7968243847,18100.0,1200000.0,none
11,Arm,False,303.0,18500.0,85817.7590759076,198952.4336491978,1712.0,1700000.0,none
12,Art,True,6.0,5024.5,6867.666666666667,4557.761453462288,3919.0,15800.0,less
13,Art,False,302.0,19900.0,90693.62582781457,209151.3929024435,1712.0,1700000.0,less
14,Audio equipment,True,16.0,15400.0,30901.8125,27746.329951229585,6490.0,91300.0,none
15,Audio equipment,False,292.0,19750.0,92247.43835616438,212494.9696012465,1712.0,1700000.0,none
16,Automotive design,True,1.0,407300.0,407300.0,,407300.0,407300.0,none
17,Automotive design,False,307.0,19100.0,88024.04234527687,206961.151511475,1712.0,1700000.0,none
18,Automotive exterior,True,1.0,21500.0,21500.0,,21500.0,21500.0,none
19,Automotive exterior,False,307.0,19100.0,89280.71986970684,207725.77954055613,1712.0,1700000.0,none
20,Automotive lighting,True,2.0,27906.0,27906.0,35346.85377795314,2912.0,52900.0,none
21,Automotive lighting,False,306.0,19400.0,89460.35620915033,208032.95042987287,1712.0,1700000.0,none
22,Azure,True,1.0,15600.0,15600.0,,15600.0,15600.0,none
23,Azure,False,307.0,19700.0,89299.93811074918,207719.21334024981,1712.0,1700000.0,none
24,Bag,True,1.0,10500.0,10500.0,,10500.0,10500.0,none
25,Bag,False,307.0,19700.0,89316.55048859934,207713.09455404006,1712.0,1700000.0,none
26,Ball,True,1.0,33900.0,33900.0,,33900.0,33900.0,none
27,Ball,False,307.0,19100.0,89240.32899022801,207737.78834074733,1712.0,1700000.0,none
28,Baseball cap,True,8.0,29150.0,126475.0,182666.56391203226,12900.0,426600.0,none
29,Baseball cap,False,300.0,18450.0,88062.93666666666,208220.7821292607,1712.0,1700000.0,none
30,Beard,True,71.0,29300.0,147649.64788732395,313868.52574168687,2644.0,1700000.0,none
31,Beard,False,237.0,18300.0,71508.67510548524,159392.44967178593,1712.0,1200000.0,none
32,Beauty,True,2.0,20000.0,20000.0,5656.85424949238,16000.0,24000.0,none
33,Beauty,False,306.0,19400.0,89512.0294117647,208026.21256705263,1712.0,1700000.0,none
34,Biome,True,2.0,21350.0,21350.0,6010.407640085654,17100.0,25600.0,none
35,Biome,False,306.0,19400.0,89503.20588235294,208029.10918007564,1712.0,1700000.0,none
36,Black hair,True,1.0,20600.0,20600.0,,20600.0,20600.0,none
37,Black hair,False,307.0,19100.0,89283.65146579804,207724.8134430109,1712.0,1700000.0,none
38,Blazer,True,30.0,27650.0,152543.03333333333,267914.4694107049,6714.0,1000000.0,none
39,Blazer,False,278.0,17850.0,82210.03597122303,199212.93910073698,1712.0,1700000.0,none
40,Blue,True,24.0,14800.0,51543.625,123750.10280287781,3638.0,611400.0,none
41,Blue,False,284.0,19850.0,92231.10563380281,212835.64031082494,1712.0,1700000.0,none
42,Blurred,True,23.0,25700.0,41326.434782608696,64760.87936880222,3638.0,302300.0,none
43,Blurred,False,285.0,18500.0,92912.88771929825,214439.7850641869,1712.0,1700000.0,none
44,Body of water,True,1.0,6313.0,6313.0,,6313.0,6313.0,none
45,Body of water,False,307.0,19700.0,89330.18892508143,207707.76412330245,1712.0,1700000.0,none
46,Book,True,1.0,7890.0,7890.0,,7890.0,7890.0,none
47,Book,False,307.0,19700.0,89325.05211726384,207709.8042878838,1712.0,1700000.0,none
48,Botany,True,1.0,2764.0,2764.0,,2764.0,2764.0,none
49,Botany,False,307.0,19700.0,89341.74918566775,207703.02912658366,1712.0,1700000.0,none
50,Bow tie,True,1.0,4641.0,4641.0,,4641.0,4641.0,none
51,Bow tie,False,307.0,19700.0,89335.63517915309,207705.55816088623,1712.0,1700000.0,none
52,Bowtie,True,2.0,443600.0,443600.0,599202.2863774804,19900.0,867300.0,none
53,Bowtie,False,306.0,18800.0,86743.40196078431,203223.17830833865,1712.0,1700000.0,none
54,Brain,True,1.0,44800.0,44800.0,,44800.0,44800.0,none
55,Brain,False,307.0,19100.0,89204.82410423453,207746.33984339755,1712.0,1700000.0,none
56,Building,True,2.0,36300.0,36300.0,31678.38379715733,13900.0,58700.0,none
57,Building,False,306.0,19400.0,89405.49346405228,208050.05601441592,1712.0,1700000.0,none
58,Cap,True,6.0,23800.0,27089.0,18968.51512375178,6434.0,60700.0,none
59,Cap,False,302.0,18800.0,90291.8774834437,209279.56956056817,1712.0,1700000.0,none
60,Car,True,1.0,21500.0,21500.0,,21500.0,21500.0,none
61,Car,False,307.0,19100.0,89280.71986970684,207725.77954055613,1712.0,1700000.0,none
62,Celebrating,True,3.0,5651.0,50489.333333333336,77691.7181836863,5617.0,140200.0,none
63,Celebrating,False,305.0,19700.0,89440.04262295082,208313.24468831508,1712.0,1700000.0,none
64,Chair,True,3.0,43700.0,158514.0,232964.2289880573,5242.0,426600.0,none
65,Chair,False,305.0,19100.0,88377.50491803279,207470.04258422978,1712.0,1700000.0,none
66,Championship,True,1.0,9992.0,9992.0,,9992.0,9992.0,none
67,Championship,False,307.0,19700.0,89318.20521172638,207712.46258125402,1712.0,1700000.0,none
68,Cheek,True,8.0,21450.0,97759.375,135538.24031925193,4090.0,390100.0,none
69,Cheek,False,300.0,18800.0,88828.68666666666,209149.1232054948,1712.0,1700000.0,none
70,Chef,True,1.0,105800.0,105800.0,,105800.0,105800.0,none
71,Chef,False,307.0,19100.0,89006.12703583062,207759.58669140434,1712.0,1700000.0,none
72,Chin,True,64.0,20450.0,154816.890625,328258.83647570654,2725.0,1700000.0,none
73,Chin,False,244.0,18800.0,71813.11475409837,158057.55985047983,1712.0,1200000.0,none
74,Christmas decoration,True,1.0,53000.0,53000.0,,53000.0,53000.0,none
75,Christmas decoration,False,307.0,19100.0,89178.11400651466,207751.5370109099,1712.0,1700000.0,none
76,Christmas ornament,True,1.0,53000.0,53000.0,,53000.0,53000.0,none
77,Christmas ornament,False,307.0,19100.0,89178.11400651466,207751.5370109099,1712.0,1700000.0,none
78,Christmas tree,True,1.0,53000.0,53000.0,,53000.0,53000.0,none
79,Christmas tree,False,307.0,19100.0,89178.11400651466,207751.5370109099,1712.0,1700000.0,none
80,City,True,1.0,16300.0,16300.0,,16300.0,16300.0,none
81,City,False,307.0,19700.0,89297.65798045603,207720.02111839966,1712.0,1700000.0,none
82,Clothing,True,27.0,10700.0,53295.333333333336,100716.07636206463,1712.0,494000.0,none
83,Clothing,False,281.0,19900.0,92497.17793594307,214699.84386967096,2233.0,1700000.0,none
84,Cloud,True,5.0,16300.0,18742.6,10940.391848558258,6313.0,35000.0,none
85,Cloud,False,303.0,19700.0,90221.01650165017,208930.3352664219,1712.0,1700000.0,none
86,Coat,True,28.0,28150.0,156173.0357142857,371071.2440320823,4028.0,1700000.0,none
87,Coat,False,280.0,18350.0,82349.41428571429,183084.0856598982,1712.0,1600000.0,none
88,Coffee cup,True,1.0,4576.0,4576.0,,4576.0,4576.0,none
89,Coffee cup,False,307.0,19700.0,89335.84690553746,207705.47151120543,1712.0,1700000.0,none
90,Collar,True,22.0,43150.0,168054.31818181818,257307.0715835341,4663.0,867300.0,none
91,Collar,False,286.0,18250.0,82984.21678321678,202357.10713568912,1712.0,1700000.0,none
92,Comb over,True,1.0,10700.0,10700.0,,10700.0,10700.0,none
93,Comb over,False,307.0,19700.0,89315.8990228013,207713.34224416447,1712.0,1700000.0,none
94,Communication Device,True,2.0,209306.0,209306.0,291885.19399243256,2912.0,415700.0,none
95,Communication Device,False,306.0,19400.0,88274.73529411765,207199.71590656802,1712.0,1700000.0,none
96,Community,True,14.0,13350.0,16373.785714285714,11420.571689708891,4255.0,41300.0,none
