,Tag,Presence,Count,Median,Mean,Std,Min,Max,Classification
0,Abdomen,True,1.0,31500.0,31500.0,,31500.0,31500.0,none
1,Abdomen,False,568.0,24450.0,90757.0352112676,188732.1361449795,1712.0,1700000.0,none
2,Accordion,True,1.0,77300.0,77300.0,,77300.0,77300.0,none
3,Accordion,False,568.0,24450.0,90676.4014084507,188747.67880254393,1712.0,1700000.0,none
4,Accordionist,True,1.0,77300.0,77300.0,,77300.0,77300.0,none
5,Accordionist,False,568.0,24450.0,90676.4014084507,188747.67880254393,1712.0,1700000.0,none
6,Active pants,True,1.0,84400.0,84400.0,,84400.0,84400.0,none
7,Active pants,False,568.0,24450.0,90663.9014084507,188748.3302975705,1712.0,1700000.0,none
8,Adaptation,True,22.0,22200.0,46128.36363636364,69290.37019848013,2764.0,302300.0,none
9,Adaptation,False,547.0,24500.0,92443.64168190128,191646.76185066559,1712.0,1700000.0,none
10,Advertising,True,9.0,28300.0,27811.11111111111,12171.117907206022,10600.0,43700.0,none
11,Advertising,False,560.0,24400.0,91662.85,189918.75024406426,1712.0,1700000.0,none
12,Afro,True,1.0,12400.0,12400.0,,12400.0,12400.0,none
13,Afro,False,568.0,24550.0,90790.66197183098,188719.85164336767,1712.0,1700000.0,none
14,Aircraft,True,1.0,4421.0,4421.0,,4421.0,4421.0,none
15,Aircraft,False,568.0,24550.0,90804.70950704225,188713.70816184065,1712.0,1700000.0,none
16,Animal,True,2.0,19414.0,19414.0,16385.07833365468,7828.0,31000.0,none
17,Animal,False,567.0,24500.0,90904.17636684304,188866.28698038417,1712.0,1700000.0,none
18,Aqua,True,1.0,15600.0,15600.0,,15600.0,15600.0,none
19,Aqua,False,568.0,24550.0,90785.02816901408,188722.14799912355,1712.0,1700000.0,none
20,Architecture,True,2.0,49350.0,49350.0,24253.76259469858,32200.0,66500.0,none
21,Architecture,False,567.0,24400.0,90798.58201058202,188896.41645960108,1712.0,1700000.0,none
22,Arm,True,11.0,33100.0,198536.36363636365,352630.0789006158,13700.0,1200000.0,none
23,Arm,False,558.0,24400.0,88526.15770609319,183844.40323452142,1712.0,1700000.0,none
24,Art,True,8.0,5456.0,14961.25,23851.635653706075,3919.0,73200.0,less
25,Art,False,561.0,25000.0,91732.27450980392,189687.11557233686,1712.0,1700000.0,less
26,Artist,True,1.0,134100.0,134100.0,,134100.0,134100.0,none
27,Artist,False,568.0,24450.0,90576.4014084507,188739.67843742872,1712.0,1700000.0,none
28,Asphalt,True,4.0,49100.0,171252.75,274931.73915886227,5511.0,581300.0,none
